rowname	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N	ID_O	C_ID16	C_ID15	ID_P
DEL:C:1:0	0.004769151	0.001859313	0.109573504	0.00497835	0.053749631	0.030421848	0.001220427	0.037402673	0.203624071	0.016712172	0.001662262	0.023695164	0.056426732	0.002037789	0.009847505	0.005482444	0.005842772	0.035767627	0.295799574	0.055293341	0.018529842	0.021927181	0.024195544	0.013262415	0.060555123	0.021056439	0.166012441	0.009051478	0.002164247	0.018663401	0.241017777	0.007999792	0.001093892	0	0.020019196	0.005943523
DEL:C:1:1	0.006290852	0.000368389	0.173882883	0.003521624	0.042524145	0.012676037	0.002186489	0.018588816	0.05565346	0.007994003	0.000428526	0.01919074	0.028422576	0.001397148	0.005934551	0.002536776	0.004571543	0.11922076	0.125588671	0.050150881	0.010205024	0.009597682	0.008184041	0.006022272	0.018101923	0.008137751	0.000244753	0.003266958	0.006234481	0.005310057	0.027474491	0.00205486	0.000633263	0	0.104483752	0.003192624
DEL:C:1:2	0.002361428	0.000310856	0.154698861	0.002681675	0.031662415	0.009662482	0.007464955	0.0064969	0.025331006	0.006422125	0.000219421	0.005290163	0.01044959	0.001400108	0.003245754	0.001191852	0.012026015	0.055549827	0.043179243	0.02967222	0.00723072	0.004892604	0.003331282	0.004286194	0.00932295	0.00532675	0.003245073	0.00301049	0.004913815	0.005513054	0.010525469	0.002076061	0.00026698	0	0.134649664	0.001758887
DEL:C:1:3	0.002358031	0.000865248	0.054534473	0.002106088	0.01616215	0.003283838	0.031715577	0.004318471	0.022825001	0.003954554	2.26E-06	0.001964381	0.007056774	0.000185497	0.001248454	0.000955139	0.006325208	0.038745083	0.013995137	0.01639759	0.004180476	0.003491853	0.003688814	0.002641504	0.007369508	0.010655885	0.000193569	0.006434206	0.010908679	0.002832199	0.002111281	0.005548324	0.000475502	0	0.127519539	0.002434015
DEL:C:1:4	0.00155448	0.004091984	0.038726138	0.003272751	0.005803331	0.00216856	0.092746954	0.002839009	0.013800595	0.003850429	2.80E-06	0.002965593	0.004530698	0.001152309	0.000455239	0.002885279	0.010740693	0.01328362	0.006269277	0.00573089	0.005918895	0.003157112	0.000874826	0.003559135	0.001904054	0.004200375	0.00013494	0.013911058	0.007858759	0.003510179	0.001584621	0.019368586	0.000842304	0	0.081447964	0.002414103
DEL:C:1:5+	0.006796531	0.015737637	0.020308069	0.007261192	0.001105608	0.00113216	0.185839734	0.002275646	0.006721408	0.001966608	0.000205978	0.010482383	0.001078647	0.007020273	1.13E-06	0.003653869	0.00609877	0.005973247	0.004979604	0.00138328	0.004483017	0.002857211	0.003396278	0.002652985	0.003526962	0.001724817	0.00020939	0.039574037	0.002572836	0.007660049	0.000500366	0.015379723	0.004152765	0	0.018099548	0.007993906
DEL:T:1:0	0.005872298	0.000622038	0.037710939	0.003203593	0.075532923	0.012631541	0.001497307	0.022517703	0.044658134	0.013654714	0.000921142	0.02348069	0.042833772	0.023600269	0.018033801	0.109232031	0.006238758	0.233231527	0.024490579	0.069056021	0.493065429	0.019733883	0.013867014	0.006595878	0.014415153	0.032072576	0.138055673	0.005459787	0.000836695	0.01128473	0.077540458	0.0043885	0.000899577	0	0.022487317	0.005380904
DEL:T:1:1	0.003978183	0.000183072	0.033240149	0.001577077	0.071172134	0.004622955	0.005503931	0.012788177	0.023174894	0.008274015	0.000436779	0.017912557	0.342669195	0.019500446	0.008286353	0.141242551	0.00944334	0.110175418	0.013251563	0.058645241	0.03930055	0.016811784	0.009209866	0.008782091	0.011317136	0.012874015	0.027014049	0.002891121	0.005337957	0.007813561	0.025335369	0.002907062	0.000399582	0	0.077197312	0.004778039
DEL:T:1:2	0.001904883	0.000462208	0.021670276	0.002618356	0.090303661	0.014412748	0.010240342	0.012076236	0.048569485	0.017569839	0.000433052	0.014023838	0.029106378	0.015214422	0.003245905	0.128592093	0.013485699	0.041620376	0.010329435	0.04529907	0.023077802	0.011770767	0.004380636	0.004391006	0.008009633	0.010781726	0.018775266	0.004693464	0.091501753	0.004424386	0.020439208	0.005421554	0.000503917	0	0.119840943	0.004816006
DEL:T:1:3	0.004029452	0.005233812	0.027068046	0.002070592	0.069866861	0.017897593	0.066557238	0.010340476	0.081987882	0.01299326	0.000661191	0.022135945	0.053976425	0.030915985	0.000520133	0.251099358	0.004494288	0.012630794	0.013336705	0.02756943	0.027157296	0.016821918	0.003978209	0.005134542	0.008159302	0.021813422	0.013581474	0.007483821	0.28154694	0.025719879	0.017856176	0.009185721	0.001025889	0	0.124914301	0.008911488
