hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7
A[Del(C):R1]A	0.00125805227814726	0.00117561363053358	0.00249180993260704	0.00243852189536661	0.0114791233834101	0.00412116769363672	0.00148838157436002
A[Del(C):R1]G	0.00131036565255714	0.000676972376509127	0.000328783109385036	0.00188335177724047	0.00118151404447194	0.000585177732840552	0.00133073219800381
A[Del(C):R1]T	0.000613311032648081	0.00120990807716525	0.000288109375469842	0.0050851699869205	0.00828314809688914	0.00281860066029655	0.00318823240280511
A[Del(C):R2]A	0.000891120363687641	1.49180842847756e-05	0.000409444709947274	0.000615264303743257	0.00641218193068356	0.00123678642263711	0.000752525723996426
A[Del(C):R2]G	0.000125404439865618	1.7147223315834e-06	9.59943438331309e-05	0.001295430327953	0.000751870066305206	0.000482423024874042	0.000708231488343472
A[Del(C):R2]T	0.000278231213091253	8.40213942475867e-06	9.38013734889126e-05	0.00155183218658604	0.00681003771569134	0.00305207496510653	0.000371500040960261
A[Del(C):R3]A	0.000844185985436842	5.65858369422523e-06	0.000281286801065607	0.000500484409214562	0.00474038499901236	0.000466642564324457	0.00144980272395261
A[Del(C):R3]G	0.000177084991197958	4.02959747922099e-05	0.000185265383524522	0.00130945230459699	0.000458025800952485	0.00031040644096808	0.000534864802562017
A[Del(C):R3]T	0.00108560798951792	7.20183379265029e-06	0.000255720196188361	0.000326211270924921	0.00327330127309024	0.00030329088784754	0.000761575083968535
A[Del(C):R4]A	1.97229859166279e-05	1.47466120516173e-05	0.000625826808479471	0.00129973707792223	0.00272144169068284	0.000532518814182361	6.57269303237385e-05
A[Del(C):R4]G	4.46140269664898e-05	0.000708351795177103	0.000331147546546292	0.000392815659983893	0.000743264499046554	7.86536409453257e-05	0.0001390743743082
A[Del(C):R4]T	8.33217052092836e-06	7.20183379265029e-06	0.000247913943728489	0.00027042383527703	0.00213435996279692	0.000418956881718256	4.14365430301829e-05
A[Del(C):R5]A	0.000627549551892705	9.25950059055037e-06	0.00129823844377728	0.000827496935947711	0.000517919997433776	0.00211366357775787	5.763013455922e-05
A[Del(C):R5]G	0.000141435957829936	2.05766679790008e-06	0.000465099228929968	0.000642607158199045	0.000151424885416665	4.69014415364637e-05	0.00051962377524057
A[Del(C):R5]T	0.000509317106905861	1.59469176837256e-05	0.00144799214703637	0.000432678136443248	0.000929415054907587	0.000415953812256093	0.00034673337156291
A[Del(C):R6]A	0.000384018137553166	1.25174730205588e-05	0.00246368035004355	0.00231663085553989	0.000277226142681767	0.000257977056281519	2.81006441239172e-05
A[Del(C):R6]G	3.3750564135406e-06	5.14416699475021e-07	0.000985943222535808	7.87233831584242e-05	0.000210932934649171	5.18555497574849e-05	5.38198777288583e-05
A[Del(C):R6]T	0.000587892639033603	1.7147223315834e-06	0.00143159450458598	0.00042706934578565	0.000356358746736487	0.000202487218639888	0.000722519951457328
A[Del(C):R7]A	0.00105523248179605	1.54325009842506e-06	0.00302819423457808	0.000207925882235227	0.00012185703893822	0.000513008426593783	0.000441037228114361
A[Del(C):R7]G	1.16017564215458e-06	1.7147223315834e-07	0.00075964312232338	0.000177478161522554	5.71222108739369e-05	2.03328843202532e-05	4.76282103795206e-06
A[Del(C):R7]T	0.000114330036008688	1.20030563210838e-06	0.000561391383550585	0.000312990550089155	3.1608910507741e-05	7.68747526651907e-05	0.000312441060089655
A[Del(C):R8]A	0.000572388473633901	5.65858369422523e-05	0.00298984883954688	0.00138487050754648	0.000197252289263621	0.000226243984703627	0.000406744916641106
A[Del(C):R8]G	4.53523205569518e-06	1.7147223315834e-06	0.000181520187257647	1.0015697602853e-05	5.29021730836364e-05	0.000146174884266581	1.1430770491085e-05
A[Del(C):R8]T	4.97820820997238e-05	8.05919495844199e-06	0.000628886137478195	0.000140019452487884	3.56220837004778e-05	1.26817519325756e-05	0.00013812181010061
A[Del(C):R(9,)]A	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0
G[Del(C):R1]A	0.00205583123789792	0.00130044541627285	0.000225108857062482	0.00162104065702175	0.00552771165733999	0.00221660956403408	0.001272149499237
G[Del(C):R1]G	0.000114646447547457	1.08027506889754e-05	0.000245305843195653	0.00213955332192145	0.000754986826241833	0.000817121811172998	0.000560107754063163
G[Del(C):R1]T	0.000997540111227094	1.93763623468924e-05	0.000189371562564108	0.00104664039949813	0.00802216772060272	0.00216963161117374	0.00321204650799487
G[Del(C):R2]A	0.000949340086821217	2.04051957458425e-05	0.000170636556660416	0.00216549397871284	0.00562611025091448	0.00291445022128318	0.00091112766456023
G[Del(C):R2]G	0.00016337382451795	1.11456951552921e-05	9.77631594194141e-05	0.00107408341092995	0.000622138381686393	0.000517924279152866	0.000596305193951598
G[Del(C):R2]T	0.000225812368168451	1.7147223315834e-05	0.000148571484678465	0.00062728314086668	0.00468606235569212	0.0021754273439574	7.3823726088257e-05
G[Del(C):R3]A	0.00125995074737988	1.69757510826757e-05	0.000290067707011798	0.000618569483952198	0.00393893638415771	0.00148353544213972	0.000446752613359904
G[Del(C):R3]G	4.63015551732601e-05	0.000712124184306587	1.36270996698343e-06	0.00049177075230008	0.00110707037129534	0.000171940072582085	0.000246714129765917
G[Del(C):R3]T	0.000383701726014397	2.74355573053344e-05	0.000127643508430554	0.00174834017355401	0.00277944652383972	0.000669015015978529	0.000326253241099716
G[Del(C):R4]A	0.00175228710170511	7.20183379265029e-06	0.000327068441214659	0.00134771226943989	0.0010432595384335	0.0016546721458211	0.000409126327160082
G[Del(C):R4]G	1.27619320637004e-05	0.000713495962171854	0.000133933633245041	0.000551564466989112	0.000234019023737285	0.000475556133556101	0.000114783987014645
G[Del(C):R4]T	0.00162909754261088	2.05766679790008e-05	0.000525509695943128	0.000540246728697888	0.00114976722423249	0.000191603482818416	7.1442315569281e-05
G[Del(C):R5]A	0.00111809290749825	9.08802835739203e-06	0.00140689425836324	0.000297366061828704	0.00103619856017	0.000598146402237666	0.000850163555274443
G[Del(C):R5]G	0.000833111581579912	6.85888932633361e-07	0.000401782850596486	0.000785731476943814	9.63713205183657e-05	0.000128500768451045	5.23910314174727e-05
G[Del(C):R5]T	0.000921284930383661	2.82929184711261e-05	0.00115091234966466	0.000297766689732818	0.000165450305131487	0.000828062930487377	0.000234330795067241
G[Del(C):R6]A	0.0016761373913746	4.2868058289585e-05	0.00204483203886716	0.000834708238221765	0.00011327905362591	0.000162739585885903	1.8575002048013e-05
G[Del(C):R6]G	7.06652436585063e-06	1.02883339895004e-06	0.000971630255597823	0.000127099202580204	1.74869539807223e-05	3.80452557977269e-05	0.000167651300535913
G[Del(C):R6]T	0.00136563220132887	6.85888932633361e-07	0.000935911010238085	0.000313691648921354	5.626717053734e-05	5.60254169087692e-05	0.000117641679637416
G[Del(C):R7]A	0.00111524520364932	2.31487514763759e-05	0.00162205804003754	0.000556372001838481	0.000122643124408962	0.00013575021638837	0.000474853257483821
G[Del(C):R7]G	8.4376410338515e-07	1.02883339895004e-06	0.000558043268333692	4.00627904114118e-06	1.47149683733681e-05	3.5788171743362e-05	2.52429515011459e-05
G[Del(C):R7]T	3.79693846523317e-06	3.89241969269432e-05	0.000755329378189486	8.16279354632515e-05	2.6975143522313e-05	7.64348125528992e-05	3.28634651618692e-05
G[Del(C):R8]A	0.000108634628310838	1.20030563210838e-06	0.0016019783733055	0.000569292251746162	5.17437313372794e-05	0.000100765413545714	0.000337207729487006
G[Del(C):R8]G	4.64070256861833e-06	3.4294446631668e-07	0.000413054537674382	1.27199359556232e-05	5.66395268129548e-05	4.200471680835e-05	9.04935997210892e-06
