hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26	hdp.27	hdp.28	hdp.29	hdp.30	hdp.31	hdp.32	hdp.33	hdp.34	hdp.35	hdp.36	hdp.37	hdp.38	hdp.39
A[Del(C):R1]A	0.00112941295667488	0.00260678259749103	0.00350419864756986	0.00242614376316468	0.00825081634792747	0.00464985478350165	0.00907936000904929	0.00121622309691668	0.000930967748269389	0.0035029827441624	0.00147763467250126	0.00171727190631986	0.000320235227265935	0.000617063638068089	0.00126011961436736	0.0102757167046502	0.000372141776672935	0.000565585095376696	0.00404242233644052	0.0240030475328979	0.0268648759567874	0.00426659445394664	0.00901855950154387	0.031780633421426	0.00647885896355747	0.0115684529473509	0.00444441442850301	0.00307939226275894	0.0220598950908015	0.00573823884946917	0.0121629850152269	0.00754913680856449	0.00140552854439922	0.00422066992367347	0.00563811260258776	0.000624886009710144	0.00227144772576838	0.010572552514144	0.0144794055138215
A[Del(C):R1]G	0.000111441527990168	0.000295230015837605	0.000140340986686491	0.000163453771215473	0.00182751618572417	0.000720219794873279	0.00214438214088392	0.000261102474625832	0.00103048352496322	0.000528271306892733	0.000665995930088693	0.000217492168553271	0.000129734773178675	0.000132436027565698	0.000110935583757217	0.00103110286984466	6.20980546764378e-05	0.00018081242926966	0.000569172615979428	0.00152433674926757	0.00230335117718159	0.000956820303112505	0.00116452023542841	0.00275960222835172	0.000922082999534228	0.000359815991042141	0.000106936184495911	0.000818584699596354	0.00114129439349266	0.0004375036071371	0.00168777011821424	0.00286444617265254	0.000572659610714578	6.91823897798082e-05	0.000387893310374588	8.74204767552092e-05	0.00226291314968405	0.00279754383274517	0.00218697077905796
A[Del(C):R1]T	0.000118666519851269	0.00296457258124077	0.00524175411781967	0.00173918284323857	0.00418325497442479	0.00395888109990617	0.00851232799772335	0.000299933884214325	0.0025707170844486	0.00291822077141749	0.00203017671281944	0.000243327406399701	0.000268712826764683	0.00112406816203685	0.00270775908314361	0.0104290408326999	0.000229645903108387	6.42146516614678e-05	0.00171099227551034	0.00688344897566646	0.0419680402757194	0.00138075038315339	0.00796582289203584	0.00704178530880852	0.00469852978232534	0.000336125354543547	0.0019986193298533	0.0103188138857632	0.016366371757029	0.00306768156139232	0.00621830264124169	0.00238096247536212	0.00278938439484569	0.00443914059266449	0.00312362973140881	0.000267124505407069	0.00113081570008112	0.0076638252908301	0.00644984926853666
A[Del(C):R2]A	0.000109794138717594	0.00107684885304662	0.00095459215513544	0.000459194309398643	0.00288057041783388	0.000855549505491377	0.00217677581584213	0.000846415641284127	0.000686520476359893	0.00178100637323685	0.00160041668686612	0.000419871704761522	0.000225447164242672	0.000568223697277087	0.00354425469139352	0.00588326953311782	0.00016319551987675	0.000129936868696266	0.00156600484465096	0.00282163693608656	0.00608130847257936	0.00114129484623812	0.005726738699086	0.0277223834347885	0.00141458676242247	0.00227658255961412	0.000858350744438489	0.00197197386037822	0.00995502092157155	0.000548593864748715	0.0153770505277276	0.0285939702760875	0.000523943997758826	0.000481765540265237	0.00109687959375416	8.21361903810441e-05	0.00155188604909119	0.00383500097908905	0.00356935110954571
A[Del(C):R2]G	4.38339160211174e-06	9.41706236363576e-05	0.000113982431079497	4.88558416137112e-05	0.000476569328577791	0.000154523011983347	0.000428457609353477	3.33483150359534e-05	0.000326986635585811	0.000365154030726405	0.000421236050030914	2.73009177351117e-05	5.36154702473357e-05	0.000232872222637886	4.36884729063065e-05	0.000584339250713081	1.32152682359719e-05	3.27466098814498e-05	0.000138121166105965	0.000434511823485508	0.000732580518661785	0.000263626138385164	0.00066309768465084	0.00463626253511056	0.000713498536967408	4.39803829605383e-05	1.55681273707328e-05	0.000153210427999206	0.000363712614052023	0.000383162206285597	0.00182977145725131	0.00567497611697891	0.000340516106757078	2.19909785993385e-05	0.000302488996983251	6.55174926535975e-05	0.00036779958839584	0.000749921738753142	0.000225069114847306
A[Del(C):R2]T	0.000122220829167632	0.00105240927442442	0.00198108733353499	0.000944947845953433	0.00239785769777153	0.00226133088339482	0.00188348883006434	0.000525678532711649	0.00243365270746057	0.000650465708564387	0.00119834235090337	0.000234400083441366	0.000171587280330719	0.000339951375003305	0.000534289197693124	0.00789040308758719	8.96728238079566e-05	0.000249893272958966	0.00138052372064627	0.00293214213055308	0.0146018836187176	0.00167287473890308	0.00656192080949314	0.0116161471782936	0.00238653121632189	0.000508664247995043	0.000545666436154627	0.00114453835916439	0.0124756793585777	0.00209910730769703	0.00650383051073998	0.0111586662810979	0.00162876733845199	0.00117650552577972	0.00172330098840208	0.000426342351376478	0.00149161255938213	0.00474086639532948	0.00562219078075782
A[Del(C):R3]A	0.000257329839444915	0.000709412254200463	0.00166809814867188	0.000230284970152454	0.0013580659671983	0.000268639464104236	0.000402234158196831	0.00021588847504337	0.00213773138221682	0.000685021101184149	0.000555253170126382	0.000583354621340233	0.000666889349734557	0.000183760277226142	0.000794159096251298	0.00470508487090837	0.000139673315102907	0.00013827618601456	0.000518229361357284	0.000434302713363517	0.00418286730008427	0.000740733304436141	0.00384161623781499	0.015076400823534	0.00150179712006531	0.00098815323987067	0.000559562879836446	0.000436207179716862	0.00404426137404317	0.00148110336941702	0.00976239157365852	0.0182530994422467	0.00155510940472718	0.000559398095214883	0.00114156360321085	0.000397508527900056	0.000557998712560761	0.00208701425452079	0.00110775147331343
A[Del(C):R3]G	8.62316386285636e-05	0.00013831863096735	0.000205765590981432	7.42639622746042e-05	0.000523077212093856	0.000142989229828396	0.000117032897026198	0.000151258770666661	0.00064045098070003	9.04845971442877e-05	0.000351665702071188	0.000167059456019992	8.25807114468496e-05	8.19277917674791e-05	8.72158611087182e-06	0.000852463563283429	2.51678129496308e-05	1.57817286549878e-05	9.21286422894909e-05	0.000369288475435511	0.000510428706142779	0.000165277908872026	0.000589869167678637	0.00235446135347727	0.00021938253462414	0.000170543380156288	3.31059076436691e-05	0.000617267112805565	0.000356764566705716	0.000125546765463791	0.00132477571646408	0.00253839463332769	0.000425690798625347	4.86900125868796e-05	0.000119969795086765	6.99593565623159e-05	0.00110568090458003	0.000407571082940278	0.00029449395579114
A[Del(C):R3]T	0.000218349733790344	0.000670498252666982	0.000955506924870557	0.000176474511498762	0.00121654514270753	0.000431069236072907	0.000777763363663398	0.000201448702478304	0.00126652976064903	0.000387816651587815	0.000678287916930983	0.000188490641377943	0.000140653398159836	0.000405836938694136	0.00044533016996726	0.00578749031605801	0.000122656612397451	0.00010865920551572	0.000504685475811002	0.00142843124331822	0.00445089657906116	0.000573475210151363	0.00317941180245327	0.00645647182123029	0.00114301485695173	0.000440080646236273	0.000377373042477119	0.000668121072099126	0.00304478101625598	0.000810047108143655	0.00442864209836401	0.00736806753317596	0.000821973221975567	0.000424469891907043	0.000205201773455404	6.54792007233499e-05	0.000875153563752924	0.00243160247423893	0.00312210680779774
A[Del(C):R4]A	0.00102139089283169	0.000783515210449743	0.000607848194412642	0.000498224694697696	0.00130771032812991	0.000540844140184343	0.000717621190746283	0.000170396971548127	0.0040205986434582	0.000415596226821648	0.000162897545255764	0.000701510160117533	0.000961812209115799	0.000106770880461912	0.000386482475819431	0.0028499623492918	0.000393175673329279	8.35076718188954e-05	0.000865697458796353	0.0004729690759207	0.00309170355586225	0.000674864228836901	0.00192998209781043	0.00674494033631637	0.00287852378133415	0.000591700111439075	0.000624179413797251	0.00117753811519509	0.00202863176830208	0.000513906486583863	0.00461512162979808	0.01117692023193	0.000805597688786654	0.000842106512899608	0.00194067289703183	7.4975599424748e-05	0.00070136708590401	0.00146634871112547	0.000701767717137006
