MutationType	CPCT02150038T	CPCT02040203T	CPCT02300038T	WIDE01010265T	CPCT02310012T	CPCT02080232T	CPCT02180068T	CPCT02290041T	CPCT02040278T	CPCT02310017T	CPCT02150022T	CPCT02150026T	CPCT02150030T	CPCT02180037T	CPCT02150033T	CPCT02230051T	CPCT02340030T	CPCT02340031T	CPCT02230066T	CPCT02180043T	CPCT02120032T	CPCT02300023T	CPCT02180001T	CPCT02330016T	CPCT02180015T	WIDE01010545T
[Del(C):R1]A	7	1	13	9	10	14	21	18	14	18	1	13	11	5	5	6	21	10	4	11	22	10	18	17	7	20
[Del(C):R1]T	12	0	17	21	30	20	70	20	17	36	8	21	15	18	5	9	35	25	12	30	31	10	34	14	12	30
[Del(C):R2]A	4	3	4	4	4	4	14	5	6	7	0	12	4	5	1	5	10	5	4	4	8	4	4	5	4	7
[Del(C):R2]T	14	0	10	7	16	11	35	13	10	14	1	14	4	5	6	1	24	6	4	4	10	3	13	12	6	8
[Del(C):R3]A	4	0	5	3	3	6	9	5	2	6	1	2	0	3	4	1	13	4	0	3	13	3	4	3	1	10
[Del(C):R3]T	6	0	1	1	4	3	6	0	4	9	0	6	6	7	0	1	1	3	1	5	5	1	4	6	1	4
[Del(C):R(4,5)]A	4	0	12	3	13	10	27	6	4	16	1	7	4	7	0	4	6	6	7	2	149	5	12	4	1	8
[Del(C):R(4,5)]T	1	0	6	2	6	6	14	5	4	4	1	6	9	8	5	0	11	4	2	4	56	5	1	4	0	6
[Del(C):R(1,5)]G	1	0	5	3	6	6	5	8	5	4	0	2	7	5	0	0	15	2	0	1	46	1	3	4	2	4
Del(C):R(6,9)	7	0	7	9	29	23	37	22	11	44	1	23	22	8	1	1	5	13	6	15	342	4	32	17	1	18
A[Del(T):R(1,4)]A	10	1	18	15	16	36	57	20	14	39	7	22	12	9	7	4	131	17	5	11	45	18	29	13	10	18
A[Del(T):R(1,4)]C	6	1	3	6	14	11	10	13	6	25	1	10	5	3	2	3	6	16	4	6	28	4	10	12	3	6
A[Del(T):R(1,4)]G	2	0	5	9	12	10	15	13	5	13	6	12	15	7	3	2	17	5	2	8	24	5	14	3	4	9
C[Del(T):R(1,4)]A	6	0	12	12	11	17	26	13	12	14	3	17	16	9	4	1	36	6	4	4	22	11	10	9	7	7
C[Del(T):R(1,4)]C	6	2	6	6	23	15	21	16	9	20	2	13	7	4	10	4	4	6	7	7	40	7	15	11	3	9
C[Del(T):R(1,4)]G	4	0	16	7	15	15	17	12	14	20	0	8	9	6	4	2	6	4	7	12	21	12	6	5	9	12
G[Del(T):R(1,4)]A	6	1	7	8	23	14	22	10	5	17	1	14	8	7	4	1	73	11	2	3	78	7	26	4	1	8
