MutationType	CPCT02011098T	WIDE01010618T	WIDE01010310T	CPCT02080230T	CPCT02010914T	DRUP01010057T	CPCT02010635T	WIDE01010556T	WIDE01010540T
[Del(C):R1]A	2	6	9	3	0	8	8	27	5
[Del(C):R1]T	1	10	8	3	4	6	2	32	12
[Del(C):R2]A	1	3	6	3	1	6	6	20	7
[Del(C):R2]T	1	10	3	4	1	6	6	22	7
[Del(C):R3]A	0	2	1	1	0	10	9	14	3
[Del(C):R3]T	1	2	2	1	2	5	5	8	2
[Del(C):R(4,5)]A	1	2	3	2	0	1	2	12	3
[Del(C):R(4,5)]T	0	2	0	3	0	2	3	4	5
[Del(C):R(1,5)]G	1	3	4	4	1	4	3	10	4
Del(C):R(6,9)	0	6	10	4	0	8	6	40	2
A[Del(T):R(1,4)]A	4	3	9	5	3	13	12	36	5
A[Del(T):R(1,4)]C	0	3	3	4	0	4	6	21	1
A[Del(T):R(1,4)]G	2	0	8	7	2	7	5	19	2
C[Del(T):R(1,4)]A	3	6	5	6	2	3	3	18	1
C[Del(T):R(1,4)]C	2	6	1	2	0	7	6	26	8
C[Del(T):R(1,4)]G	2	5	4	3	5	8	7	10	2
G[Del(T):R(1,4)]A	0	2	5	3	1	7	5	24	2
G[Del(T):R(1,4)]C	0	0	4	5	1	3	3	18	2
G[Del(T):R(1,4)]G	0	4	1	2	1	5	1	21	2
A[Del(T):R(5,7)]A	0	8	20	2	1	5	8	90	4
A[Del(T):R(5,7)]C	1	9	14	1	0	3	2	63	5
A[Del(T):R(5,7)]G	0	2	7	0	1	4	4	44	3
C[Del(T):R(5,7)]A	0	6	6	0	0	5	5	62	1
C[Del(T):R(5,7)]C	0	2	6	2	0	3	3	50	4
C[Del(T):R(5,7)]G	0	3	8	1	0	2	2	39	1
G[Del(T):R(5,7)]A	0	1	3	1	0	4	3	40	0
G[Del(T):R(5,7)]C	1	1	3	0	0	2	1	44	0
G[Del(T):R(5,7)]G	1	2	1	0	0	2	2	24	0
A[Del(T):R(8,)]A	2	5	22	0	0	4	6	182	3
A[Del(T):R(8,)]C	1	4	18	4	0	7	6	170	2
A[Del(T):R(8,)]G	0	3	18	0	0	4	2	91	3
C[Del(T):R(8,)]A	0	7	11	1	0	5	9	128	0
C[Del(T):R(8,)]C	0	10	17	1	1	5	6	137	3
C[Del(T):R(8,)]G	0	3	12	0	0	2	2	80	0
G[Del(T):R(8,)]A	1	2	7	1	2	6	4	65	0
G[Del(T):R(8,)]C	0	5	6	1	0	2	1	57	0
G[Del(T):R(8,)]G	0	1	3	0	0	2	1	64	1
A[Ins(C):R0]A	0	3	4	1	0	2	1	172	2
A[Ins(C):R0]T	0	0	1	0	0	0	0	107	0
Ins(C):R(0,3)	7	13	4	7	6	14	7	64	5
Ins(C):R(4,6)	0	6	8	4	2	4	4	20	4
Ins(C):R(7,)	1	15	7	5	2	1	4	28	6
A[Ins(T):R(0,4)]A	2	18	11	4	4	6	4	38	10
A[Ins(T):R(0,4)]C	0	1	4	0	3	1	1	6	1
A[Ins(T):R(0,4)]G	1	3	0	0	3	1	2	13	3
