MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
[Del(C):R1]A	5	5	7	7	9	9	23	42	4	8	20	15	15	13	87	29	27	14	5	11	5	6	6	5	37	14	8	31	13	14	14	11	3	8	27	11	19	9	3	40	11	17	18	15	10	13	31	31	9	90	11	4	4	12	8	8	7	26	2	3	18	36	9	33	175	22	33	182	5	52	19
[Del(C):R1]T	8	7	11	5	16	41	27	21	10	9	26	14	11	22	75	25	39	42	6	11	2	4	5	22	20	15	16	55	20	18	22	34	7	22	78	15	31	16	7	22	22	31	15	33	10	25	78	35	16	105	25	7	7	11	24	7	16	32	4	9	12	31	9	34	142	20	20	146	9	38	28
[Del(C):R2]A	3	4	3	1	6	13	10	14	2	1	15	6	9	6	26	6	23	15	7	10	1	1	9	9	14	7	11	5	3	8	6	8	2	0	13	5	9	3	3	16	15	7	8	12	7	3	16	9	12	38	11	1	2	3	5	1	12	23	4	4	9	8	2	19	47	20	17	49	3	16	13
[Del(C):R2]T	2	6	10	6	3	17	5	13	2	8	8	9	12	12	39	7	28	10	1	7	8	3	7	11	16	8	13	14	6	12	9	14	5	5	29	14	20	6	5	17	18	8	7	9	8	8	27	11	13	48	13	4	1	9	6	5	12	13	6	5	8	12	7	19	41	17	10	72	3	35	15
[Del(C):R3]A	0	2	2	1	9	4	8	3	2	2	10	11	3	9	51	9	15	11	3	5	0	2	0	3	16	7	4	6	2	8	5	2	3	1	10	2	11	3	3	18	9	4	5	11	3	4	11	4	4	37	8	1	2	5	2	2	2	13	3	2	7	10	2	10	44	8	20	42	0	32	8
[Del(C):R3]T	1	4	1	4	3	4	9	12	0	5	3	4	2	3	41	8	10	14	1	2	0	0	1	4	15	5	6	4	6	3	3	2	4	2	11	2	4	3	3	16	8	1	6	6	2	5	11	5	7	37	3	0	4	3	2	0	3	6	4	1	7	3	1	11	41	10	8	55	1	30	6
[Del(C):R(4,5)]A	0	4	7	0	6	5	3	60	5	1	4	7	7	5	523	4	8	9	1	1	1	3	1	3	153	1	3	6	3	5	1	2	1	1	15	2	9	3	1	130	5	4	0	10	3	4	14	4	3	393	8	1	2	8	3	3	7	12	2	2	1	6	1	2	471	8	4	497	1	356	16
[Del(C):R(4,5)]T	2	3	4	1	5	10	3	62	4	1	7	3	5	2	403	7	4	3	1	4	1	3	1	2	128	5	4	3	2	2	2	8	6	2	8	3	3	2	5	152	2	3	2	6	5	1	9	1	0	358	5	2	3	3	4	3	6	4	1	2	2	2	2	10	491	4	6	553	4	383	12
[Del(C):R(1,5)]G	3	7	8	2	11	5	5	57	6	5	8	10	6	4	159	3	5	9	2	4	9	0	1	5	66	2	11	9	8	9	7	5	4	2	15	6	12	2	5	84	19	2	8	12	8	9	15	0	9	141	3	1	2	7	7	3	5	12	1	0	8	8	3	11	271	9	8	298	2	181	13
Del(C):R(6,9)	1	9	20	4	21	6	11	489	10	9	6	3	6	18	2338	4	10	9	6	6	6	4	1	5	775	5	5	7	4	13	5	3	2	2	12	12	8	4	2	934	5	11	2	8	1	7	13	8	5	2194	6	4	2	2	9	2	4	6	7	5	1	7	4	7	3173	5	6	3341	8	1867	8
