MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241
1:Del:C:0	132	25	33	65	8	25	13	26	93	47	44	31	11	12	47	1	4	13	39	17	3	10	228	33	6	16	11	6	6	30	42	11	3	9	26
1:Del:C:1	84	13	6	32	7	20	13	8	33	26	16	29	12	20	57	0	1	8	15	11	0	4	188	10	2	10	2	2	6	32	21	10	6	12	63
1:Del:C:2	37	3	8	11	0	13	5	7	9	20	12	17	8	14	42	0	3	6	3	8	1	0	286	4	5	4	5	5	1	31	14	3	1	2	40
1:Del:C:3	16	6	1	7	2	8	9	4	7	10	2	10	0	4	28	0	8	1	7	5	0	2	773	7	2	6	4	2	0	7	1	2	1	2	28
1:Del:C:4	12	3	0	6	1	4	3	2	7	0	4	10	1	2	10	1	30	4	8	3	0	2	1824	1	0	3	0	0	0	3	6	1	1	0	13
1:Del:C:5	12	5	2	5	1	2	0	2	18	4	2	9	0	1	7	0	45	1	0	2	0	1	4401	0	0	3	2	0	0	1	2	2	1	0	6
1:Del:T:0	24	9	11	23	2	29	8	9	18	19	15	23	10	23	42	1	12	12	21	20	2	11	199	10	7	6	6	1	11	33	24	9	3	7	40
1:Del:T:1	20	7	6	9	2	26	4	9	9	10	11	13	7	13	29	0	4	5	16	19	0	10	277	7	5	13	5	3	4	29	18	12	3	7	23
1:Del:T:2	16	11	4	15	8	23	8	19	20	21	4	18	5	10	21	1	10	5	12	19	2	6	506	14	8	8	7	1	1	34	31	5	3	5	35
1:Del:T:3	22	10	7	12	6	24	6	13	29	15	18	29	5	15	26	0	43	8	13	18	2	4	1832	16	8	5	8	0	7	13	21	5	3	6	32
1:Del:T:4	35	15	4	21	1	11	3	18	34	17	7	34	5	9	11	0	107	6	10	10	1	7	5081	8	4	7	6	1	2	12	14	12	1	13	20
1:Del:T:5	349	136	50	217	12	25	19	164	388	106	87	261	6	13	29	1	561	11	25	11	0	33	75876	11	10	27	17	1	3	9	17	72	0	9	40
1:Ins:C:0	19	6	2	6	0	2	0	16	14	7	21	7	0	1	7	1	0	1	5	3	0	0	277	1	0	4	2	0	0	0	2	2	1	2	7
1:Ins:C:1	1	0	0	1	1	2	2	0	1	2	0	2	0	2	2	0	1	1	1	3	0	1	40	1	0	1	0	0	1	0	2	0	0	0	3
1:Ins:C:2	2	1	0	1	0	2	1	3	0	6	1	1	1	0	2	0	0	0	0	0	1	0	43	1	1	3	1	0	0	0	2	0	0	0	1
1:Ins:C:3	4	1	1	2	0	0	0	0	1	0	3	2	0	1	3	0	2	0	0	2	0	0	119	1	0	1	1	0	0	1	1	0	0	0	5
1:Ins:C:4	3	2	1	3	0	1	1	0	1	2	3	4	0	0	1	0	8	0	1	0	0	0	338	0	0	1	2	0	0	0	1	0	0	1	4
1:Ins:C:5	16	9	5	9	0	13	12	14	26	14	11	44	1	0	5	1	12	3	6	2	1	1	1551	0	3	7	2	0	0	1	3	7	0	1	4
1:Ins:T:0	6	3	2	7	1	4	2	4	8	8	2	16	0	3	5	0	1	3	2	2	0	2	127	0	1	1	4	1	3	4	2	2	0	0	4
1:Ins:T:1	13	7	7	7	2	7	6	8	18	13	8	9	6	21	18	5	2	8	10	11	8	1	145	5	9	6	6	2	3	8	10	13	0	6	26
1:Ins:T:2	10	5	4	9	4	5	4	7	10	7	4	10	3	7	8	0	13	2	3	2	0	5	931	5	4	2	1	1	2	11	7	5	1	3	9
1:Ins:T:3	7	6	3	3	0	5	0	8	11	8	3	10	1	4	6	0	11	1	3	9	2	2	558	2	4	1	4	0	1	8	10	3	0	2	10
1:Ins:T:4	15	13	6	7	1	4	7	11	15	9	9	24	3	4	6	1	12	3	11	1	0	4	560	2	2	11	4	0	0	6	3	6	1	1	5
1:Ins:T:5	379	352	172	266	32	124	161	420	538	294	142	831	47	49	130	4	208	67	188	63	3	77	19768	16	96	206	148	9	1	43	124	204	3	40	124
2:Del:R:0	10	3	3	12	2	4	4	4	8	6	8	4	3	2	6	0	3	4	3	1	2	2	189	2	0	4	6	0	0	3	8	2	1	3	9
2:Del:R:1	11	4	5	15	6	14	7	13	16	13	14	6	1	2	11	0	12	9	3	9	0	3	592	6	3	5	5	0	0	6	10	7	0	3	12
2:Del:R:2	6	1	2	5	2	8	0	1	3	1	1	7	0	2	2	0	9	1	4	0	0	0	323	0	0	3	2	1	3	7	1	3	1	2	5
2:Del:R:3	0	1	0	2	0	1	1	2	0	1	3	3	0	0	2	0	9	0	2	0	0	1	1639	0	1	1	1	0	0	0	0	1	0	0	2
2:Del:R:4	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	5	0	0	1	0	0	866	0	0	0	0	0	0	0	1	0	0	1	0
2:Del:R:5	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	6	0	0	0	0	0	1711	0	2	0	0	0	0	0	0	0	0	0	0
3:Del:R:0	2	1	2	3	0	4	1	4	3	2	1	5	2	0	1	0	2	1	3	3	0	0	32	4	0	5	0	0	0	3	5	1	1	2	1
3:Del:R:1	21	7	11	19	3	8	4	5	30	15	12	4	2	4	7	1	28	4	11	7	1	5	527	7	3	3	6	1	3	7	7	7	0	5	9
3:Del:R:2	1	3	1	7	1	1	1	5	7	1	2	2	0	4	4	0	7	2	1	1	0	1	202	1	1	0	0	0	0	3	0	0	1	1	0
3:Del:R:3	2	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	2	0	1	0	0	0	71	0	0	1	0	0	0	0	1	0	0	0	2
3:Del:R:4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	1	0	0	0
4:Del:R:0	1	3	3	4	0	3	1	1	5	1	4	1	1	2	4	0	1	3	5	6	0	1	24	3	1	4	1	0	0	0	2	0	0	0	2
4:Del:R:1	8	5	7	11	1	9	5	4	15	6	5	4	0	3	3	0	14	7	2	3	0	4	211	1	3	7	2	1	1	3	5	12	0	3	7
4:Del:R:2	5	2	2	3	0	1	1	1	5	0	2	3	0	1	0	0	3	1	1	1	0	1	92	0	1	3	1	0	0	0	1	0	0	0	0
4:Del:R:3	1	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	60	0	0	0	0	0	0	1	0	0	0	2	2
4:Del:R:4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	18	7	12	24	5	11	11	9	11	21	9	14	1	8	34	1	0	7	8	73	1	4	37	30	7	4	5	4	3	22	24	11	0	5	48
5:Del:R:1	8	3	3	5	4	3	1	1	9	0	5	1	0	3	0	0	2	1	1	1	0	0	33	2	1	3	1	0	0	1	1	5	0	1	3
5:Del:R:2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
2:Ins:R:0	6	1	1	3	2	1	0	4	3	6	2	1	1	0	3	0	0	3	0	0	0	1	86	0	2	2	2	0	0	0	0	2	0	1	5
2:Ins:R:1	2	4	1	2	2	2	2	1	6	4	0	7	0	0	2	0	0	2	1	2	0	5	38	1	2	0	0	0	0	3	2	6	0	2	1
2:Ins:R:2	4	1	0	2	1	1	1	5	2	2	1	3	0	1	1	0	0	0	1	3	0	0	26	2	1	0	1	0	0	1	0	3	0	0	2
2:Ins:R:3	1	1	0	4	0	0	0	1	0	1	2	1	0	0	1	0	0	0	1	1	0	0	118	0	0	0	0	0	0	1	1	0	0	0	0
2:Ins:R:4	1	0	0	2	1	0	1	0	2	3	1	3	0	1	0	0	3	0	1	1	0	1	452	0	0	2	1	0	0	0	0	1	0	0	2
2:Ins:R:5	8	6	2	7	0	1	2	11	12	2	1	30	0	3	3	1	22	4	3	1	0	3	1275	1	3	4	2	0	0	0	0	8	0	2	0
