MutationType	SP85623	SP85491	SP87582	SP89090	SP85511	SP85952	SP85840	SP87675	SP85836	SP120767	SP105708	SP85818	SP105922	SP86118	SP86306	SP87099	SP87434	SP85864	SP105807	SP89291	SP88050	SP88593	SP88158	SP87534	SP88776	SP85725	SP86660	SP87903	SP88098	SP85487	SP105759	SP86775	SP88322	SP85582	SP87446	SP87337	SP86929	SP86130	SP86425	SP85495	SP85787	SP86836	SP89245	SP86989	SP88757	SP85733	SP85737	SP85647
A[Del(C):R1]A	1	3	1	0	2	3	0	0	2	3	4	0	4	1	3	1	0	0	1	0	0	1	0	3	2	1	3	0	2	2	0	1	1	2	4	0	1	1	2	0	0	0	0	5	0	1	1	3
A[Del(C):R1]G	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R1]T	0	2	1	0	0	0	2	2	0	2	0	0	0	3	0	2	1	0	0	0	0	2	1	0	0	0	1	2	1	3	1	1	0	0	0	1	1	2	0	0	0	0	0	1	0	1	0	1
A[Del(C):R2]A	0	1	0	0	1	0	1	0	0	1	0	0	0	4	2	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	1	1	0	2	0	7	0	0	0	0	3	1	0	0	0
A[Del(C):R2]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A[Del(C):R2]T	1	1	1	0	0	0	0	1	1	0	3	0	0	2	0	1	1	0	1	0	0	0	0	0	0	2	0	0	2	2	0	0	1	0	1	0	3	0	1	0	0	0	0	1	1	0	0	2
A[Del(C):R3]A	0	1	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	1	0	0
A[Del(C):R3]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R3]T	0	0	1	1	2	0	0	0	0	0	1	0	2	1	0	0	1	0	2	0	0	0	0	0	1	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
A[Del(C):R4]A	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R4]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
