MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064
[Del(C):R1]A	9	19	11	14	10	1	18	25	12	14	8	1	14	3	29	16	10	20	18	8	8	7	9	6	3	10	17	14	8	10	7	16	10	13	25	16	14	22	31	11	9	15	9	8	6	16	11	22	6	8	10	13	14	17	7	9	10	5	9	11	10	16	4	7	15	23	18	10	16	29	11	7	15	11	3	3	24	9	10	4	3	5	5	15	6	10	15	12	12	21	9	11	13	14	8	22	15	19
[Del(C):R1]T	14	45	15	23	3	0	22	64	13	20	6	3	22	9	25	33	16	33	22	21	19	5	8	8	7	16	23	15	8	11	21	16	19	22	25	22	15	43	91	12	14	15	24	14	16	15	21	47	16	24	14	21	23	17	9	13	14	11	12	13	18	33	6	25	26	28	25	17	17	32	18	12	25	6	1	8	59	24	28	5	16	12	14	42	17	13	21	29	16	29	23	34	16	26	15	43	17	21
[Del(C):R2]A	10	11	7	10	6	0	2	11	4	10	6	1	11	3	11	6	1	12	7	6	7	6	8	6	1	4	14	1	0	5	7	8	8	12	10	6	7	11	27	5	4	12	5	5	7	4	5	13	15	12	1	8	5	5	4	8	4	2	5	9	6	8	4	8	10	4	8	6	9	13	7	4	17	8	2	3	7	9	13	5	10	7	3	9	5	10	7	7	7	11	5	10	4	9	4	9	11	12
[Del(C):R2]T	4	23	8	16	4	0	13	17	11	7	6	2	8	3	7	13	7	16	9	12	12	1	6	6	0	4	10	8	6	9	8	13	7	16	13	19	8	16	49	7	4	11	12	7	8	10	12	23	5	4	8	14	8	6	5	7	7	3	13	10	4	15	9	11	9	13	8	13	5	17	7	11	19	8	2	6	17	13	9	2	8	8	6	14	7	4	6	14	11	10	12	15	5	6	7	18	7	8
[Del(C):R3]A	9	7	3	6	3	0	4	7	5	3	4	1	5	0	2	5	3	6	3	8	5	4	3	7	1	3	3	4	5	2	3	5	7	10	6	7	5	8	12	3	3	7	1	5	5	4	4	8	10	2	1	4	4	3	0	3	5	3	1	2	7	5	1	3	5	0	3	4	4	9	2	4	3	4	1	2	9	4	6	0	6	3	4	7	6	7	5	6	4	9	3	9	3	4	1	6	3	9
[Del(C):R3]T	1	7	4	3	4	0	3	7	6	3	6	1	8	0	3	10	2	4	4	8	3	2	1	2	0	3	6	1	2	1	4	2	5	5	6	3	2	5	6	4	0	1	3	2	3	6	1	11	9	1	0	5	3	3	1	3	1	0	2	3	3	7	3	4	5	4	0	2	4	10	0	1	7	1	1	1	4	5	3	3	3	3	2	4	4	6	1	8	2	4	4	5	1	5	1	4	1	3
[Del(C):R(4,5)]A	6	11	4	12	5	0	15	10	3	9	2	1	13	1	12	7	2	11	4	5	14	4	4	3	0	3	12	8	3	5	2	6	4	14	8	11	5	15	11	12	6	10	2	1	2	11	11	10	7	10	8	5	10	6	6	5	6	2	2	6	7	12	2	7	4	6	8	4	5	12	3	6	6	2	3	1	18	6	9	3	3	11	11	3	9	13	8	5	8	8	4	10	4	10	3	18	10	8
[Del(C):R(4,5)]T	3	6	4	3	3	0	6	6	5	4	2	0	2	1	7	5	5	5	2	10	6	2	7	2	0	3	8	4	2	0	4	7	12	6	5	4	6	10	8	6	8	2	2	0	4	7	6	11	4	6	4	8	3	5	3	2	7	1	4	8	2	8	1	5	9	9	2	4	6	10	1	1	7	2	1	2	7	3	5	0	7	6	2	8	5	3	4	5	6	5	4	9	4	11	6	12	8	4
[Del(C):R(1,5)]G	5	9	3	5	0	0	9	9	4	3	3	2	6	1	7	9	6	9	0	5	6	1	6	2	0	5	8	2	8	1	3	2	8	4	5	1	2	2	13	6	3	3	2	1	1	5	7	5	3	2	10	5	5	2	2	0	3	1	0	4	7	5	3	3	5	3	4	10	6	3	4	3	2	1	0	3	5	4	6	1	1	4	4	8	2	4	6	5	2	6	1	8	1	6	1	10	6	7
Del(C):R(6,9)	15	12	7	24	11	0	12	18	28	12	2	1	15	4	24	7	11	20	5	8	8	5	4	6	0	4	32	12	6	3	8	26	17	13	15	16	17	24	19	7	23	7	4	3	12	20	7	21	15	15	16	15	19	9	11	11	11	2	3	3	16	9	1	9	19	15	11	8	16	15	5	9	6	1	5	3	30	13	9	3	13	28	11	35	8	16	10	5	12	13	5	34	9	15	7	35	23	18
