MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
1:Del:C:0	66	1	21	29	13	33	91	19	31	77	16	275	27	58	60	30	7	13	24	14	35	14	8	162	15	36	8	26	7	12	3	0	18	64	29	10	6	27	78	199	69	6	12	10	15	18	17	5	0	11	27	8	8	11	14	23	13	16	13	42	23	12	51	15	51	128	78	26	18	29	180	3	9	10	22	43	10	13	15	122	42	5	100	17	72	26	53	181	41	6	95	11	38	32	28	58	14	66	43	28	17	40	11	16	2	28	16	12	7	11	11	11	21	41	51	5	28	41	53	20	56	11
1:Del:C:1	57	3	12	25	8	11	56	8	20	29	7	560	12	31	17	39	3	7	5	7	33	6	9	314	5	20	7	13	6	5	3	1	18	26	16	13	7	10	33	348	60	4	7	5	16	13	10	4	0	6	8	4	2	4	15	14	2	12	13	23	35	14	42	14	13	162	87	15	10	21	61	1	11	4	5	39	10	13	9	166	23	6	56	12	53	30	45	70	25	1	44	5	30	14	17	24	6	44	31	34	10	29	11	15	2	22	8	3	6	5	3	5	12	23	37	8	34	12	47	20	30	5
1:Del:C:2	62	2	9	11	9	8	43	5	15	23	5	464	9	22	13	31	0	6	4	3	16	0	2	270	7	13	0	6	0	3	1	0	6	17	8	3	5	4	9	331	25	4	4	5	16	4	5	1	1	4	4	1	3	7	5	6	4	11	3	14	17	2	34	3	6	115	48	6	10	11	38	0	4	6	5	34	7	5	6	117	11	4	36	6	22	16	32	60	17	0	32	1	14	7	12	17	10	26	17	22	3	16	3	3	1	4	2	4	1	4	4	2	5	16	35	2	21	17	34	9	5	3
1:Del:C:3	27	2	7	5	6	5	19	2	4	9	2	156	2	14	8	14	1	5	6	4	14	2	1	108	4	13	4	4	1	4	4	0	4	8	7	4	4	5	6	100	15	2	2	3	5	4	5	1	0	0	3	1	0	3	3	3	4	4	3	5	5	2	9	4	3	43	20	5	14	4	16	2	1	3	2	20	2	3	1	44	5	1	22	4	23	10	11	102	11	3	14	2	4	3	11	5	7	14	8	15	4	10	3	2	1	3	1	3	0	3	1	2	2	16	16	0	14	8	9	7	10	1
1:Del:C:4	26	0	4	3	6	6	4	4	3	9	3	117	5	17	4	12	0	0	3	0	10	2	0	79	5	9	2	2	4	0	0	0	2	10	2	1	1	3	4	89	11	0	1	2	3	3	4	1	0	1	2	0	0	1	3	1	3	1	1	6	4	1	6	5	6	40	14	5	12	4	11	0	2	2	7	13	3	2	2	38	5	1	14	3	14	3	9	275	4	0	4	0	7	3	1	3	4	13	7	2	1	6	2	0	0	3	9	2	2	1	2	1	6	3	13	1	2	4	7	4	3	0
1:Del:C:5	16	2	3	2	7	5	8	5	5	7	0	76	7	5	4	4	0	1	0	4	7	1	6	53	7	5	1	4	2	4	1	0	6	4	1	4	4	4	0	48	10	2	1	1	4	4	5	1	0	3	12	0	2	5	6	6	2	0	6	5	3	1	9	5	1	28	9	15	16	9	9	0	1	2	13	9	1	8	4	27	6	2	8	3	19	1	15	1078	3	0	5	6	3	15	1	6	3	14	12	2	3	5	4	4	1	1	2	0	0	0	1	2	7	6	9	0	2	7	9	5	9	1
1:Del:T:0	44	6	21	25	14	22	64	8	37	27	6	136	3	53	11	27	1	3	6	6	31	2	6	88	5	50	10	16	5	5	5	0	34	37	36	7	10	22	30	97	55	5	7	3	13	11	8	2	1	6	16	3	4	10	12	13	9	23	5	32	31	13	32	9	17	51	67	36	12	27	56	3	10	9	9	37	9	11	16	61	28	11	76	15	53	42	32	127	29	4	36	15	46	19	23	24	14	63	32	51	14	53	15	8	5	30	6	132	4	3	7	9	11	30	44	11	55	33	33	26	22	10
1:Del:T:1	35	1	10	26	6	12	53	5	18	13	3	136	6	31	12	19	1	4	7	4	18	6	3	63	5	25	5	4	6	5	2	0	19	22	16	2	2	10	13	69	44	7	3	2	13	4	16	2	1	7	10	4	4	6	13	8	6	11	8	27	29	10	25	7	9	38	39	19	7	23	52	1	8	1	6	17	7	7	6	44	12	1	58	15	59	23	18	83	31	1	20	6	27	13	25	16	8	35	18	32	18	36	8	7	1	17	7	233	4	5	4	4	12	21	12	5	34	19	29	11	9	6
1:Del:T:2	34	4	11	11	7	19	40	6	22	21	8	69	8	54	8	11	2	8	11	9	16	7	8	47	4	18	7	7	6	5	2	0	18	23	15	10	3	12	14	37	34	4	5	5	16	10	10	1	0	1	16	5	1	8	11	10	3	6	3	23	20	6	17	13	10	49	38	13	9	17	39	0	2	2	3	22	7	11	11	51	8	2	41	12	49	30	20	119	16	2	20	6	19	9	15	10	6	35	21	31	12	30	7	10	2	17	6	179	3	6	3	3	11	17	21	7	31	18	18	19	11	6
1:Del:T:3	30	0	10	14	17	17	40	9	28	18	3	84	17	40	17	17	1	5	10	6	21	2	7	65	4	22	5	10	11	6	2	0	19	34	24	5	8	11	18	60	32	5	10	3	7	7	9	1	0	5	16	1	1	17	16	15	7	4	9	19	15	10	17	10	15	50	31	14	17	16	36	3	1	2	10	19	7	12	7	54	18	3	46	9	26	19	15	348	17	0	17	3	24	18	14	13	6	32	25	23	12	23	6	9	0	11	6	325	3	4	0	4	15	24	16	6	23	19	20	14	19	5
