InsDel1a	InsDel1b	InsDel1c	InsDel2b	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_N	InsDel_O	InsDel_P	InsDel15	InsDel16	InsDel_M	InsDel23	InsDel2c	InsDel2a	InsDel_N_beta	InsDel_D	InsDel_N_alpha
A[Del(C):R1]A	0.00111490384540048	0.00120618508649484	0.00167285410199589	0.00127755929052034	0.0061099142838483	0.0316513911976817	0.00354690213726061	0.010240503072802	0.0129003072902153	0.0156285251968382	0.00433419733785044	0.00127720496553123	0.0049629545502981	0.0271896664318534	0.00128630831721622	0.000570849717695053	0.0179394423422089	0.00798421516064666	0.00286581951821522	0.00192310228168503	0.000807132153322601	0.0125725069111762	0.00452933653533624	0.00331706393552425	0.0214562400174895	0.00612065103539464	0.00741303573526451	0.00281767055895852	0.00112509503272885	0.00183817781674	0.000848598037927717	0.00199524467318391	0.0470528242501199	0.00950731417083684	0.00172882361380051	0.000329820822406193	0.00049678198556943	0.000506876867927616	0.00536714953000071	0.00370218017276841	0	0.102685783942703	0.00108314979961729	0.000846171642316292	0.00270401390799209	0.00263965133878543	0.000405001825115288	9.39868076040543e-05
A[Del(C):R1]G	0.000137663686305962	9.26204961632194e-05	0.00019778899389979	0.000395810629763527	0.00312500779418295	0.0026258519384744	0.000806729588942924	0.00103182722761051	0.0017191601363781	0.00230525963354403	0.00017774767258977	3.93698150804842e-05	0.000301558322164672	0.00224495139050321	0.000326351690171105	2.99202658695522e-06	0.00171130718118193	0.00186943453566881	0.000750570351662047	0.000448396066317694	0.000137334661856545	0.00136770308474932	0.000525312374805582	0.000547554827894796	0.00118412376033041	0.000795622072374299	0.00210773168210454	5.0689683838304e-05	0.000329208595387369	0.000360756208934884	0.000958245979570458	0.00273399472865654	1.01312332412517e-05	0.000901730703567594	7.76521717029532e-05	0.000164243905972505	8.29358980465031e-05	0.000131504931933965	9.55280127007273e-05	0.00109694227341286	0	0.000210213017843095	0.00057767989312922	0.000134617247072442	0.000103895363442656	0.000224459492729732	0.000105356193311086	1.05288407285117e-05
A[Del(C):R1]T	0.000910607402772131	0.00248103378093523	0.00150635529339104	0.000155808702001022	0.00118459802939037	0.00705828436284226	0.00153572339488341	0.010435498985429	0.00761714765915007	0.0088279692776198	0.00450789891612298	8.89607775520962e-05	0.00371904650110766	0.0414965641797728	0.00195815344815468	0.000182417104817592	0.00792391251642371	0.00710229170828657	0.00691215123597044	0.00244899683323421	0.00101489547198283	0.00889476391446436	0.00303203395794616	0.00388411622759811	0.016563282012151	0.00450830064961303	0.00687519834008341	0.0074926111337525	0.00120614739291383	0.000175170671032874	0.00264387546136237	0.00133193318233539	0.0322646007956395	0.000359642714180608	0.00958351043848386	4.62299372707967e-05	0.000350803364212991	0.000672744688684633	0.00328174779683415	0.00150829562594268	0	0.00136965988962923	0.00314113441889013	0.000103374955831669	0.00185701664813339	0.00543006588077515	0.000532439566504848	0.000104786966273627
A[Del(C):R2]A	0.000221581180045782	0.00329584154052709	0.000601195927104748	0.000335759476495373	0.0253378449220402	0.0271262229030374	0.000721388618363364	0.00584677581170581	0.0163611738314586	0.00499072177220012	0.00104129305843089	0.000125787974807756	0.00257242171522675	0.00606149890092453	0.00100550489896729	2.55770014691333e-06	0.00284505341209287	0.00165584818985696	0.000430301431246686	0.0010947010257067	0.000547924711083287	0.0030258070368816	0.00210182100311167	0.000392806994014291	0.00983285635269368	0.00129408491391782	0.00713690573180262	0.0011685661780857	0.0010819641879777	0.000788828020804424	0.000668358968103342	0.00192726567612319	3.37707774708389e-05	0.00193898613962938	0.00432669372380515	0.000105931788776948	0.000238052360946536	0.000194949442681489	0.000528819751130354	0.0156314273961333	0	0.00354741911413971	0.0130700075820486	0.000234867603127629	0.00060847877126856	0.000950694172821627	0.000155416374472789	0.000141098113966857
A[Del(C):R2]G	9.99704022478945e-05	3.800740526273e-05	8.55393928993005e-05	6.9960212873625e-05	0.00584114314313741	0.0044478578610745	0.000452501759579538	0.000578017851358891	0.00195362952872798	0.000673948885018765	0.000204715155029492	2.27039907936788e-05	0.000191003589545992	0.000718710120994284	0.00024703468515523	1.68904726682956e-06	0.000397748174457544	0.000398820668724291	0.000305885585666168	0.000229366461337587	0.000248883269114925	0.000696789928555765	0.000167090184656302	0.000355956911779765	0.000398961429557293	0.000548505058186313	0.00050290106867819	2.9737947851805e-05	0.000375296897993015	2.07373624134891e-05	0.0003172207628909	0.000370238988951285	6.75415549416779e-06	7.31560770096737e-05	0.000140145724252107	1.9427918423617e-05	6.32695666510069e-05	4.93472707583973e-06	1.58938435148843e-05	0.00452488687782805	0	0.000292392611220849	0.000469364913167491	7.82632553741735e-06	4.12639124224066e-05	6.51204586437177e-05	4.57457697060174e-06	2.31969737043439e-05
A[Del(C):R2]T	0.00062440114335569	0.000445460758710226	0.000505629835242077	0.000105441402438214	0.00970922870982555	0.0113467152326617	0.00129208134204977	0.00785524569901845	0.00740177390264484	0.00600631735273545	0.00202892885234729	9.07884218204602e-05	0.00566982995468085	0.0145361009042916	0.00103065551357988	0.000385392327797167	0.00350128646976525	0.00185729819331382	0.00259757032514277	0.00131970924490438	0.000338503673952081	0.00468652018539551	0.00207185100481955	0.00235350901077996	0.0123318762860046	0.00212029212338763	0.00525559505152256	4.32551968753527e-05	0.000424582858075861	0.000900839798517819	0.00160648075904299	0.00157017575541924	0	0.000427747885574209	0.00204224041530976	0.000248960975069358	0.000213962584400147	6.48999780030382e-05	0.000904438228736216	0.013986013986014	0	0.00475331532131328	0.000252734953244034	0.000158340854272176	0.000720355580184271	0.0017520022831645	5.10791627617901e-05	0.000109214704610213
A[Del(C):R3]A	0.000434502126460818	0.000676950884607515	0.000336158322226249	0.000934525663450952	0.0162965765361977	0.0146969967294215	0.000725584583923155	0.00463910852010937	0.0101533323087298	0.0039190813779473	0.0016465826588813	0.000175083693961754	0.00196231115738363	0.00416455238107594	0.00221705428639446	0.000390266435624304	0.0004145594153854	0.000519219243719749	0.000377262884359037	0.000642561341140621	0.000183848291895115	0.00276800767480321	0.000807666640046984	0.00135451097283267	0.00401400700193193	0.00160936222620884	0.00330431836799887	5.67724458989004e-05	0.000472938044620743	0.000407703934755177	0.00165486547094242	0.000639289154627437	1.01312332412517e-05	0.0008455216001304	0.00290859580159552	0.00011580173857464	0.000652095703548655	6.37771889773556e-05	0.000617375108065403	0.0159056629644865	0	0.00163763682455669	0.0079069935372062	0.000208942320640551	0.000348511403229628	0.00074120506651036	5.15561328724689e-05	0.000146765959960753
A[Del(C):R3]G	0.000181226873316107	8.06711542023641e-06	0.00010257595481752	7.73244458076908e-05	0.00258689047526364	0.00221343989304581	0.000278410596403089	0.000839465271169969	0.00129456880822857	0.000246023843245989	0.000288797271527266	3.26640461464689e-05	0.000600873313579644	0.00053139195170818	0.000508880408102123	2.41292466689937e-06	0.000370731256675778	0.000104388313820706	0.000100833169647987	0.00022450534510461	7.99361597989899e-05	0.000641001544065931	9.27236328544296e-05	0.000123525627772073	0.000368636409263452	0.000230799393432354	0.000944074292600066	4.7310371582417e-05	9.15761061545419e-05	0.000160287341327425	0.0006568886620237	0.00107797072958406	0.00019924758707795	0.000333567641866591	0.000107241380274177	1.18836464518183e-05	7.41925666612938e-05	1.04377794609756e-05	2.56719910302021e-05	0.00383929795694502	0	0.000184606332950027	0.000722099866411525	4.7237795790488e-05	4.09003891132413e-05	0.000163484901794698	9.06243210289824e-06	1.85717840912793e-05
A[Del(C):R3]T	0.000227929182339754	0.000348888190851235	0.000450294990337978	0.000222593511682894	0.00694615736850278	0.00627085084729341	0.000935134416583494	0.00572276820410599	0.00484411846265614	0.00307323136029107	0.00120683857698502	0.000146478141778307	0.00205591837450667	0.00455832528278778	0.00105208171518054	2.31640768022339e-06	0.00197053137327122	0.000562925845765493	0.000609913323927232	0.000649825078040472	0.000455872579518485	0.00314183557906911	0.000820228232846921	0.000736526401817649	0.0030278578750465	0.00120633136697051	0.00343736579444716	3.10896727541598e-05	0.00030819112840108	0.000129008101473226	0.00121470902463342	0.00105192545978646	4.72790884591745e-05	0.000399240355465305	0.000689223151319616	0.000111093659073442	0.000161561772612649	0.000127817748219995	0.000470744954710659	0.0113807760866584	0	0.00194968107767222	0.00126367476622017	8.42733841257351e-05	0.00024790682952215	0.000380423087484983	0.000103730158842863	4.87278499069264e-05
A[Del(C):R4]A	0.000377227186438849	0.000320146909505544	0.000537448717075659	0.00130522583535062	0.0104660173161573	0.00654944658061913	0.00165637120724568	0.00282316473902831	0.00495708917482075	0.00250673873884525	0.000735411660452265	0.000703443643915324	0.00130915315612082	0.00300734015100905	0.000561141284871387	2.36466617356138e-06	0.000469332559823387	0.00051430577839292	0.000599545336795522	3.40836885300677e-06	9.76713096171556e-05	0.00182801105465399	0.0010575277225488	0.00038867363165946	0.00200921903861918	0.00257847911286671	0.00150459579557063	3.78482972659336e-05	0.000310292875099709	0.000213123739102551	0.00361639613454296	0.000631281709220409	3.37707774708389e-06	0.00250962177462114	0.00152699036992166	8.40647448286143e-05	0.000930866444217511	0.000190555317729126	0.000633343212664314	0.0202934320581379	0	0.000264403909128426	0.00267176950572264	0.000476453281100898	0.000618730731111843	0.000973474776921259	0.00015194750094058	0.000255778951756146
