MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	2.61E-03	3.09E-03	4.70E-04	5.64E-03	4.93E-03	7.98E-04	6.69E-04	6.25E-03	5.28E-03	2.74E-03
1:Del:C:1	6.21E-04	7.95E-04	3.48E-04	3.66E-03	3.06E-03	6.47E-04	4.15E-04	3.61E-03	3.39E-03	1.24E-03
1:Del:C:2	3.65E-04	4.45E-04	1.60E-04	1.85E-03	1.55E-03	3.17E-04	2.63E-04	2.01E-03	1.59E-03	6.05E-04
1:Del:C:3	4.06E-04	2.39E-04	1.82E-04	1.33E-03	1.06E-03	1.07E-04	1.32E-04	1.14E-03	1.02E-03	3.61E-04
1:Del:C:4	1.20E-03	5.93E-04	1.42E-04	1.46E-03	7.84E-04	1.82E-04	5.53E-05	1.87E-03	1.55E-03	1.71E-04
1:Del:C:5	2.10E-03	1.48E-03	1.61E-04	1.55E-03	2.66E-04	3.48E-04	1.21E-04	1.24E-03	6.99E-04	3.40E-04
1:Del:T:0	5.80E-04	9.00E-04	1.86E-04	2.15E-03	1.27E-03	9.19E-04	4.70E-04	2.60E-03	2.17E-03	1.24E-03
1:Del:T:1	4.94E-04	6.87E-04	2.71E-04	1.56E-03	1.38E-03	5.06E-04	3.33E-04	2.12E-03	2.13E-03	1.09E-03
1:Del:T:2	7.97E-04	1.01E-03	2.11E-04	1.64E-03	1.38E-03	3.78E-04	3.50E-04	2.77E-03	1.84E-03	9.47E-04
1:Del:T:3	1.15E-03	1.41E-03	1.99E-04	2.65E-03	1.66E-03	6.15E-04	4.15E-04	4.28E-03	2.99E-03	1.07E-03
1:Del:T:4	1.95E-03	1.71E-03	2.36E-04	3.25E-03	1.43E-03	3.20E-04	3.45E-04	5.67E-03	4.54E-03	7.56E-04
1:Del:T:5	1.20E-02	9.12E-03	8.42E-04	5.75E-03	7.22E-04	2.25E-04	7.50E-04	1.74E-02	1.11E-03	2.36E-03
1:Ins:C:0	2.70E-04	3.25E-04	6.42E-05	1.70E-03	2.17E-05	1.52E-09	2.74E-04	4.57E-04	2.24E-04	4.99E-03
1:Ins:C:1	4.20E-05	6.62E-05	7.78E-05	3.15E-04	2.57E-04	3.48E-04	7.47E-05	3.34E-04	4.05E-04	7.06E-04
1:Ins:C:2	6.60E-05	7.15E-05	1.26E-04	2.97E-04	1.89E-04	1.81E-04	1.20E-04	2.44E-04	4.52E-04	8.49E-05
1:Ins:C:3	8.65E-05	7.12E-05	6.23E-05	3.08E-04	1.82E-04	2.69E-04	6.43E-05	3.55E-04	3.39E-04	3.12E-04
1:Ins:C:4	2.07E-04	1.30E-04	1.13E-04	3.36E-04	1.10E-04	2.37E-04	5.50E-05	4.21E-04	4.25E-04	2.12E-04
1:Ins:C:5	5.08E-04	6.36E-04	3.06E-04	9.99E-04	3.35E-04	7.44E-04	9.80E-05	8.82E-04	1.13E-03	8.58E-04
1:Ins:T:0	2.93E-04	3.33E-04	1.86E-04	6.94E-04	3.97E-04	6.42E-04	2.20E-04	1.03E-03	1.07E-03	9.55E-04
1:Ins:T:1	2.51E-04	2.29E-04	2.73E-04	1.31E-03	1.04E-03	6.09E-04	2.31E-04	1.32E-03	2.05E-03	8.49E-04
1:Ins:T:2	4.00E-04	2.65E-04	2.25E-04	8.25E-04	7.04E-04	3.49E-04	1.19E-04	1.33E-03	1.36E-03	5.56E-04
1:Ins:T:3	2.59E-04	1.25E-04	2.15E-04	6.03E-04	5.28E-04	1.46E-04	1.72E-04	7.87E-04	9.78E-04	6.53E-04
1:Ins:T:4	3.14E-04	2.84E-04	2.43E-04	8.58E-04	5.11E-04	3.46E-04	7.24E-05	9.00E-04	1.17E-03	6.64E-04
1:Ins:T:5	4.43E-03	5.27E-03	2.25E-03	1.39E-02	2.35E-03	9.04E-03	1.57E-03	1.39E-02	9.55E-03	9.36E-03
2:Del:R:0	2.69E-04	3.36E-04	8.44E-05	9.73E-04	5.28E-04	5.33E-04	1.81E-04	8.83E-04	1.45E-03	8.26E-04
2:Del:R:1	3.68E-04	3.34E-04	2.49E-04	2.10E-03	9.00E-04	2.78E-04	2.87E-04	1.13E-03	3.03E-03	1.02E-03
2:Del:R:2	1.74E-04	1.45E-04	1.11E-04	5.06E-04	4.10E-04	2.77E-04	8.65E-05	5.25E-04	7.04E-04	5.07E-04
2:Del:R:3	8.10E-04	4.61E-04	8.11E-05	7.59E-04	1.49E-04	1.85E-04	5.70E-05	7.54E-04	7.29E-04	2.91E-04
2:Del:R:4	4.89E-04	2.63E-04	6.25E-06	3.81E-04	1.56E-04	1.84E-04	2.46E-05	7.21E-04	4.58E-04	2.01E-04
2:Del:R:5	1.26E-03	7.52E-04	0.00E+00	9.09E-04	1.23E-04	3.66E-04	2.25E-05	7.39E-04	9.32E-04	2.10E-04
3:Del:R:0	8.29E-05	7.63E-05	1.03E-04	3.48E-04	4.25E-04	2.64E-04	1.76E-04	3.42E-04	6.34E-04	0.00E+00
3:Del:R:1	4.71E-04	4.12E-04	1.38E-04	2.44E-03	7.21E-04	4.43E-04	1.90E-04	1.38E-03	3.71E-03	6.28E-04
3:Del:R:2	1.24E-04	1.39E-04	5.65E-05	4.74E-04	2.42E-04	1.99E-04	8.61E-05	5.18E-04	8.39E-04	2.72E-04
3:Del:R:3	7.44E-05	8.37E-05	1.23E-05	1.86E-04	7.78E-05	7.34E-05	4.27E-05	2.78E-04	2.54E-04	1.99E-04
3:Del:R:4	2.94E-05	4.28E-05	1.23E-05	6.09E-05	3.71E-06	5.92E-05	3.27E-05	8.20E-05	9.21E-05	1.50E-04
3:Del:R:5	6.01E-05	3.77E-05	2.99E-05	7.88E-05	1.75E-05	2.22E-05	2.18E-05	8.12E-05	1.15E-04	2.30E-05
4:Del:R:0	4.83E-05	6.64E-05	1.17E-04	4.89E-04	3.80E-04	2.87E-04	1.96E-04	3.11E-04	7.06E-04	2.83E-04
4:Del:R:1	2.63E-04	1.74E-04	2.46E-04	1.72E-03	5.18E-04	5.52E-04	2.56E-04	9.15E-04	2.52E-03	6.94E-04
4:Del:R:2	1.19E-04	1.51E-04	1.07E-04	4.23E-04	8.53E-05	2.64E-04	6.11E-05	3.46E-04	6.31E-04	1.30E-04
4:Del:R:3	7.01E-05	6.84E-05	6.92E-05	2.39E-04	9.84E-05	1.61E-04	2.92E-05	2.23E-04	3.40E-04	1.35E-04
4:Del:R:4	3.14E-05	4.99E-05	3.35E-05	8.20E-05	2.80E-05	1.08E-04	3.94E-05	9.28E-05	8.60E-05	1.50E-04
4:Del:R:5	6.35E-05	5.37E-05	2.06E-05	9.20E-05	2.08E-05	5.88E-05	1.31E-05	1.30E-04	1.40E-04	6.67E-05
5:Del:R:0	9.30E-05	2.62E-04	1.91E-04	2.46E-03	2.80E-03	3.15E-03	9.63E-04	2.91E-03	3.11E-03	3.17E-04
5:Del:R:1	2.99E-04	3.63E-04	2.00E-04	8.31E-04	2.39E-04	4.25E-04	2.04E-04	8.53E-04	1.19E-03	5.96E-04
5:Del:R:2	1.20E-04	1.32E-04	5.58E-05	2.06E-04	2.35E-05	1.70E-04	7.49E-05	2.64E-04	2.04E-04	1.96E-04
5:Del:R:3	3.55E-05	3.32E-05	3.58E-05	8.62E-05	4.27E-09	7.56E-05	2.96E-05	9.62E-05	1.04E-04	3.61E-05
5:Del:R:4	7.53E-06	3.83E-06	7.34E-10	1.03E-05	6.33E-09	1.32E-09	1.68E-05	2.77E-06	1.95E-05	6.57E-09
