Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP117655	2.24E+01	1.94E+01	1.32E+01	3.17E+01	0.00E+00	1.60E+01	1.47E+00	4.38E+00	1.43E+01	6.26E+00	1.78E+01	2.45E+00	9.71E+00
SP117556	6.26E+00	5.89E+00	8.56E+00	7.64E+00	4.10E-01	9.94E+00	8.67E-01	1.62E+00	2.07E+00	2.06E+00	6.09E+00	8.77E-01	2.27E+00
SP117627	3.04E+00	2.74E+00	5.42E+00	7.43E+00	2.55E-01	7.29E+00	8.87E-01	2.05E+00	2.76E+00	1.33E+00	3.07E+00	5.25E-01	3.55E+00
SP117775	1.27E+01	1.09E+01	7.46E+00	1.56E+01	8.50E-01	1.02E+01	1.33E+00	2.74E+00	5.83E+00	2.93E+00	1.03E+01	1.07E+00	6.20E+00
SP117332	8.33E-01	7.65E-01	1.35E+00	1.90E+00	2.50E-01	2.18E+00	6.51E-01	1.52E+00	1.13E+00	8.07E-01	1.12E+00	2.41E-01	1.55E+00
SP117712	1.87E+00	1.52E+00	4.04E+00	4.66E+00	2.02E-01	5.04E+00	9.24E-01	5.05E+00	5.79E+00	3.46E+00	4.01E+00	4.84E-01	3.40E+00
SP117017	1.13E+00	1.12E+00	4.28E+00	3.52E+00	4.14E-01	4.58E+00	7.07E-01	2.19E+00	2.02E+00	8.50E-01	1.11E+00	0.00E+00	2.24E+00
SP117031	1.08E+01	9.49E+00	9.18E+00	9.26E+00	0.00E+00	9.47E+00	1.14E+00	2.41E+00	2.09E+00	2.23E+00	8.74E+00	1.69E+00	2.18E+00
SP117759	2.22E+01	2.04E+01	1.43E+01	2.69E+01	3.54E-01	1.81E+01	1.15E+00	1.96E+00	9.06E+00	4.97E+00	1.87E+01	1.83E+00	7.56E+00
SP117621	7.12E+00	5.76E+00	7.65E+00	9.04E+00	4.17E-01	8.69E+00	9.55E-01	3.73E+00	3.78E+00	3.02E+00	6.24E+00	1.17E+00	4.54E+00
SP117425	4.98E+00	4.51E+00	4.68E+00	9.93E+00	2.10E-01	7.59E+00	1.04E+00	2.52E+00	4.81E+00	2.41E+00	5.23E+00	1.74E+00	5.19E+00
SP117930	1.35E+01	1.29E+01	1.72E+01	1.03E+01	0.00E+00	1.82E+01	1.51E+00	3.97E+00	4.85E+00	4.07E+00	1.03E+01	1.09E+00	2.36E+00
SP99287	4.18E-01	3.94E-01	1.82E+00	2.55E+00	0.00E+00	2.08E+00	5.59E-01	1.98E+00	2.15E+00	6.92E-01	1.21E+00	1.24E-01	1.53E+00
SP99293	9.70E-01	8.07E-01	1.92E+00	3.79E+00	3.58E-01	3.13E+00	7.60E-01	4.00E+00	4.47E+00	2.64E+00	3.07E+00	2.31E-01	3.02E+00
SP99289	2.24E+00	1.72E+00	4.07E+00	1.11E+01	0.00E+00	3.78E+00	1.45E+00	1.09E+01	1.11E+01	4.23E+00	3.58E+00	9.74E-01	4.50E+00
SP99297	1.58E-01	1.27E-01	2.54E-01	4.28E-01	2.24E-01	2.97E-01	0.00E+00	3.66E-01	4.31E-01	2.29E-01	2.25E-01	2.57E-01	4.45E-01
SP99301	4.29E+01	3.41E+01	4.77E+00	1.01E+01	1.45E-01	7.68E+00	1.41E-02	1.00E-01	7.16E-01	2.84E+00	2.74E+01	0.00E+00	7.43E+00
SP99305	7.72E-01	7.26E-01	2.30E+00	2.27E+00	3.54E-01	3.26E+00	7.01E-01	1.63E+00	1.56E+00	1.38E+00	1.54E+00	4.26E-01	1.96E+00
SP99309	1.52E+00	1.22E+00	5.31E+00	6.78E+00	0.00E+00	6.40E+00	3.17E-01	3.10E+00	4.07E+00	1.95E+00	3.43E+00	7.00E-01	3.13E+00
SP99313	6.33E-01	7.14E-01	2.77E+00	3.78E+00	0.00E+00	3.93E+00	4.32E+00	8.43E+00	5.51E+00	1.44E+00	2.06E+00	5.59E-01	2.79E+00
SP99317	0.00E+00	0.00E+00	1.71E-01	5.45E-01	0.00E+00	3.96E-01	6.67E-02	9.47E-01	1.02E+00	6.15E-01	3.70E-01	0.00E+00	8.69E-01
SP99321	2.04E+00	1.90E+00	2.77E+00	2.71E+00	0.00E+00	3.56E+00	3.55E-01	2.06E+00	1.63E+00	1.82E+00	1.89E+00	1.41E-02	2.08E+00
SP99325	4.61E+03	4.30E+03	4.06E+02	6.88E+02	7.85E-01	2.11E+02	1.31E+00	9.33E+00	3.98E+01	2.79E+02	2.16E+03	1.64E+01	2.07E+02
SP99329	8.03E-01	6.59E-01	2.43E-01	1.96E+00	2.77E-01	9.55E-01	2.25E+00	3.20E+00	2.66E+00	1.45E+00	2.16E+00	2.12E-01	1.62E+00
SP99333	8.31E-01	6.34E-01	3.55E+00	2.00E+00	0.00E+00	4.35E+00	5.10E-01	1.84E+00	1.65E+00	1.56E+00	2.14E+00	2.23E-02	2.17E+00
SP99337	1.61E+00	1.35E+00	4.89E+00	4.10E+00	0.00E+00	5.70E+00	7.11E-01	1.97E+00	2.00E+00	1.38E+00	1.92E+00	7.55E-01	1.73E+00
SP99341	1.15E+00	8.42E-01	3.79E+00	2.52E+00	1.94E-01	4.67E+00	2.65E-01	1.64E+00	1.53E+00	1.38E+00	1.70E+00	5.78E-01	1.94E+00
SP99345	1.03E-01	6.49E-02	3.92E-01	9.28E-01	0.00E+00	5.52E-01	4.13E-01	9.12E-01	9.48E-01	4.81E-01	1.83E-01	0.00E+00	4.42E-01
SP99113	3.31E-01	2.27E-01	0.00E+00	7.65E-01	0.00E+00	2.63E-01	3.59E-01	1.51E+00	1.75E+00	1.11E+00	1.29E+00	1.90E-01	1.37E+00
SP99185	5.84E-01	5.05E-01	1.78E+00	5.76E+00	0.00E+00	2.52E+00	8.79E-01	8.60E+00	8.36E+00	3.48E+00	3.74E+00	0.00E+00	2.42E+00
SP99209	1.05E+00	8.70E-01	4.35E+00	5.07E+00	0.00E+00	5.81E+00	8.45E-01	5.17E+00	5.71E+00	2.88E+00	3.87E+00	3.70E-01	3.20E+00
SP99213	4.52E+00	3.91E+00	8.00E+00	4.94E+00	2.86E-01	1.01E+01	4.20E-01	3.28E+00	2.08E+00	2.83E+00	3.81E+00	6.56E-01	3.71E+00
SP99221	1.04E-01	1.00E-02	1.57E-01	7.01E-01	0.00E+00	2.61E-01	3.15E-01	7.21E-01	9.59E-01	5.66E-01	6.48E-01	3.33E-01	6.22E-01
SP99225	8.56E-01	5.73E-01	1.40E+00	2.23E+00	0.00E+00	2.27E+00	6.14E-01	2.09E+00	2.04E+00	1.28E+00	1.89E+00	3.17E-01	1.84E+00
SP99241	2.88E+00	2.19E+00	4.78E+00	1.07E+01	2.36E-01	6.09E+00	2.22E+00	1.32E+01	1.46E+01	3.48E+00	4.89E+00	1.17E+00	4.26E+00
CPCT02020318T	6.12E+00	4.70E+00	4.40E+00	4.12E+00	1.46E+00	5.26E+00	5.40E-01	1.11E+00	1.54E+00	2.24E+00	4.00E+00	7.62E-01	2.08E+00
CPCT02010377T	2.68E+00	1.81E+00	5.08E+00	4.27E+00	1.68E+00	6.06E+00	9.57E-01	4.93E+00	5.32E+00	2.91E+00	2.69E+00	8.98E-01	2.03E+00
CPCT02060017T	3.98E+00	3.10E+00	8.84E+00	7.39E+00	1.94E+00	1.08E+01	1.12E+00	3.14E+00	1.56E+00	4.23E+00	1.99E+00	7.75E-01	6.89E+00
CPCT02060166T	7.21E+00	6.71E+00	5.70E+00	6.07E+00	2.05E+00	6.04E+00	9.99E-01	1.42E+00	1.40E+00	3.66E+00	5.65E+00	2.27E+00	2.11E+00
DRUP01080024T	1.38E+00	9.30E-01	1.59E+00	1.53E+00	1.29E+00	2.90E+00	4.68E-01	6.74E-01	9.52E-01	2.63E+00	1.67E+00	3.30E+00	1.46E+00
CPCT02300029T	9.08E+00	8.94E+00	8.97E+00	1.09E+01	3.16E+00	1.11E+01	1.18E+00	3.11E+00	2.35E+00	3.42E+00	7.59E+00	1.48E+00	5.19E+00
CPCT02130024T	4.20E+00	3.73E+00	5.30E+00	3.86E+00	2.40E+00	6.18E+00	9.85E-01	2.03E+00	1.77E+00	3.57E+00	2.42E+00	1.20E+00	2.36E+00
CPCT02370015T	1.14E+00	1.13E+00	1.24E+00	3.31E+00	1.55E+00	2.29E+00	7.57E-01	2.10E+00	2.25E+00	2.31E+00	1.19E+00	8.99E-01	2.22E+00
CPCT02080291T	2.96E+00	2.28E+00	5.29E+00	3.33E+00	8.58E-01	6.42E+00	5.79E-01	1.38E+00	1.50E+00	2.83E+00	2.15E+00	8.74E-01	2.54E+00
CPCT02330082T	1.18E+00	1.16E+00	3.83E+00	2.33E+00	1.38E+00	4.88E+00	1.51E-01	2.02E+00	1.79E+00	2.33E+00	1.59E+00	4.13E-01	1.85E+00
CPCT02130035T	9.89E+00	8.81E+00	7.65E+00	8.16E+00	2.57E+00	8.52E+00	1.17E+00	2.75E+00	1.92E+00	3.60E+00	5.02E+00	1.17E+00	3.42E+00
CPCT02020667T	1.70E+00	1.12E+00	5.44E+00	3.94E+00	2.27E+00	6.95E+00	9.85E-01	2.10E+00	1.85E+00	2.04E+00	1.80E+00	5.65E-01	2.88E+00
CPCT02190030T	3.31E+00	2.70E+00	5.45E+00	5.80E+00	2.22E+00	7.31E+00	1.27E+00	6.55E+00	5.87E+00	2.71E+00	3.30E+00	9.39E-01	2.39E+00
CPCT02070304T	6.49E+00	5.40E+00	8.94E+00	7.48E+00	2.40E+00	9.72E+00	1.41E+00	3.83E+00	2.29E+00	4.39E+00	4.35E+00	1.38E+00	4.04E+00
CPCT02230093T	1.45E+01	1.35E+01	7.39E+00	1.07E+01	2.26E+00	9.42E+00	1.26E+00	3.44E+00	2.38E+00	4.04E+00	1.07E+01	2.16E-01	4.29E+00
CPCT02170024T	1.73E+00	1.31E+00	5.40E+00	3.17E+00	2.75E+00	6.79E+00	4.77E-01	3.45E+00	3.22E+00	3.98E+00	1.59E+00	1.21E+00	2.30E+00
CPCT02050342T	4.17E+00	4.13E+00	7.06E+00	6.35E+00	3.11E+00	8.33E+00	3.77E-01	2.90E+00	2.67E+00	5.78E+00	3.31E+00	1.72E+00	3.34E+00
CPCT02130064T	2.20E+00	1.93E+00	5.66E+00	3.61E+00	3.12E+00	6.47E+00	9.86E-01	2.85E+00	2.38E+00	4.39E+00	1.44E+00	1.24E+00	1.69E+00
CPCT02130063T	5.08E+01	3.94E+01	1.04E+01	2.02E+01	7.05E+00	1.24E+01	2.97E+00	6.15E+00	9.15E+00	1.61E+01	3.48E+01	1.90E+00	4.59E+00
CPCT02080208T	1.50E+00	1.33E+00	1.84E+00	2.39E+00	2.01E+00	2.51E+00	6.27E-01	2.13E+00	1.88E+00	2.56E+00	1.70E+00	4.92E-01	1.30E+00
CPCT02130066T	1.55E+01	1.38E+01	1.35E+01	1.91E+01	2.24E+00	1.48E+01	6.15E-01	2.86E+00	7.79E+00	4.90E+00	1.01E+01	1.41E+00	6.54E+00
CPCT02130067T	5.45E+00	4.25E+00	8.76E+00	9.21E+00	2.94E+00	8.79E+00	1.10E+00	5.55E+00	6.90E+00	4.08E+00	3.49E+00	8.82E-01	4.87E+00
CPCT02100172T	2.39E+00	1.89E+00	2.52E+00	2.69E+00	2.59E+00	2.19E+00	2.96E-01	7.77E-01	1.03E+00	1.62E+00	1.86E+00	7.51E-01	8.40E-01
CPCT02130084T	2.43E+00	1.93E+00	6.49E+00	4.13E+00	2.15E+00	7.94E+00	1.06E+00	2.15E+00	2.37E+00	3.16E+00	2.19E+00	8.39E-01	2.49E+00
CPCT02060220T	3.18E+00	2.43E+00	5.66E+00	3.29E+00	3.66E+00	6.61E+00	8.96E-01	3.35E+00	3.14E+00	2.92E+00	2.66E+00	5.15E-01	1.52E+00
CPCT02100169T	2.08E+01	1.87E+01	1.49E+01	1.39E+01	3.45E+00	1.56E+01	1.53E+00	3.73E+00	1.90E+00	9.65E+00	9.33E+00	2.39E+00	4.55E+00
CPCT02080218T	1.25E+01	1.25E+01	1.09E+01	1.29E+01	3.68E+00	1.26E+01	1.45E+00	3.49E+00	2.92E+00	4.24E+00	9.42E+00	1.35E+00	3.94E+00
CPCT02050332T	3.26E+00	2.78E+00	2.86E+00	2.82E+00	1.55E+00	3.58E+00	3.10E+00	4.92E+00	1.60E+00	2.00E+00	2.30E+00	9.15E-01	2.02E+00
DRUP01080031T	2.24E+03	2.21E+03	9.17E+01	3.65E+02	1.30E+01	2.56E+02	3.02E+00	5.11E+00	8.85E+00	1.44E+02	8.50E+02	6.01E+00	8.08E+01
CPCT02040245T	1.15E+01	1.15E+01	1.24E+01	1.29E+01	2.19E+00	1.53E+01	6.56E-01	3.44E+00	3.09E+00	4.74E+00	7.89E+00	2.24E+00	5.22E+00
DRUP01050048T	3.35E+03	3.26E+03	1.96E+02	6.11E+02	1.95E+01	3.39E+02	2.52E+00	7.57E+00	1.40E+01	2.35E+02	1.38E+03	6.64E+00	1.31E+02
DRUP01010142T	1.74E+03	1.70E+03	8.13E+01	2.95E+02	6.44E+00	1.63E+02	1.86E+00	6.42E+00	5.31E+00	1.08E+02	7.02E+02	2.88E+00	6.78E+01
CPCT02080224T	2.06E+00	1.85E+00	4.45E+00	3.41E+00	2.31E+00	5.27E+00	8.04E-01	3.02E+00	2.78E+00	2.86E+00	2.54E+00	5.51E-01	2.33E+00
CPCT02260021T	1.83E+00	1.50E+00	4.08E+00	2.91E+00	2.02E+00	4.32E+00	3.33E-01	1.86E+00	1.92E+00	2.42E+00	1.59E+00	3.15E-01	2.40E+00
CPCT02020762T	1.19E+00	1.06E+00	3.29E+00	2.54E+00	3.22E+00	3.75E+00	1.05E+00	2.04E+00	1.50E+00	1.60E+00	1.23E+00	0.00E+00	1.96E+00
CPCT02130116T	1.90E+00	1.38E+00	6.40E+00	3.51E+00	1.62E+00	7.29E+00	6.99E-01	2.05E+00	1.97E+00	3.25E+00	2.67E+00	9.88E-01	2.37E+00
CPCT02050342TII	3.93E+00	3.17E+00	7.52E+00	5.91E+00	1.70E+00	8.38E+00	6.30E-01	2.83E+00	2.90E+00	3.27E+00	3.43E+00	1.89E+00	3.63E+00
CPCT02130138T	3.88E+00	3.13E+00	6.41E+00	4.36E+00	2.76E+00	8.30E+00	1.02E+00	3.12E+00	2.61E+00	5.40E+00	3.72E+00	3.39E-01	2.96E+00
CPCT02130139T	9.12E+00	8.43E+00	8.25E+00	9.21E+00	2.56E+00	8.07E+00	1.10E+00	2.31E+00	2.74E+00	2.80E+00	7.86E+00	4.64E+00	2.65E+00
CPCT02230115T	6.32E+00	5.72E+00	4.92E+00	6.46E+00	2.78E+00	5.53E+00	8.45E-01	3.07E+00	1.94E+00	1.20E+00	4.60E+00	7.52E-01	2.56E+00
CPCT02010902T	1.92E+00	1.54E+00	8.53E+00	3.96E+00	2.80E+00	1.12E+01	8.12E-01	1.62E+00	9.97E-01	1.87E+00	1.63E+00	5.60E-01	3.15E+00
CPCT02290056T	1.96E+00	1.40E+00	6.08E+00	5.37E+00	2.50E+00	6.99E+00	2.81E+00	5.74E+00	4.82E+00	3.38E+00	2.31E+00	1.62E+00	2.98E+00
CPCT02130152T	1.28E+00	9.93E-01	2.26E+00	1.65E+00	1.74E+00	2.60E+00	7.20E-01	2.84E+00	2.44E+00	1.09E+00	1.33E+00	5.89E-01	9.38E-01
DRUP01170003T	5.46E-01	4.40E-01	2.39E+00	1.97E+00	2.19E+00	3.14E+00	2.19E+00	2.74E+00	1.81E+00	1.92E+00	1.26E+00	2.97E-01	1.30E+00
DRUP01010095T	2.86E+00	2.38E+00	1.17E+01	6.32E+00	1.69E+00	1.32E+01	8.87E-01	1.94E+00	9.26E-01	3.64E+00	1.80E+00	7.54E-01	3.40E+00
DRUP01030024T	1.05E+01	1.02E+01	6.89E+00	6.40E+00	3.37E+00	8.93E+00	1.85E+00	4.02E+00	2.26E+00	2.59E+00	5.01E+00	3.90E-01	3.91E+00
CPCT02040292T	3.52E+00	2.91E+00	7.43E+00	4.95E+00	5.62E+00	7.18E+00	1.53E+00	3.56E+00	1.62E+00	1.96E+00	3.26E+00	3.61E-01	3.25E+00
DRUP01050035T	5.30E+01	4.26E+01	1.23E+01	2.09E+01	6.09E+00	1.44E+01	2.81E+00	8.75E+00	1.12E+01	1.91E+01	3.58E+01	2.25E+00	4.78E+00
CPCT02020577T	2.20E+00	1.53E+00	5.92E+00	4.13E+00	2.68E+00	7.25E+00	1.11E+00	3.15E+00	3.17E+00	2.88E+00	2.06E+00	7.12E-01	2.63E+00
CPCT02050263T	8.66E+00	7.40E+00	8.56E+00	7.16E+00	1.90E+00	1.01E+01	7.87E-01	2.36E+00	2.60E+00	3.44E+00	7.02E+00	9.76E-01	3.08E+00
DRUP01010108T	8.24E+01	6.81E+01	4.61E+01	5.01E+01	4.26E+00	5.46E+01	2.37E+00	4.19E+00	7.91E+00	2.43E+01	4.32E+01	5.65E+00	8.74E+00
DRUP01010109T	2.15E+00	1.68E+00	5.97E+00	3.06E+00	1.04E+00	7.25E+00	2.87E-01	2.37E+00	2.42E+00	2.53E+00	1.92E+00	1.27E+00	2.52E+00
DRUP01010113T	2.60E+00	1.92E+00	4.09E+00	5.91E+00	1.63E+00	7.46E+00	3.65E+00	1.15E+01	1.01E+01	5.32E+00	3.15E+00	1.08E+00	6.10E+00
CPCT02120059T	9.27E+00	7.89E+00	1.34E+01	1.01E+01	3.70E+00	1.63E+01	1.60E+00	3.48E+00	2.15E+00	6.10E+00	5.20E+00	2.62E+00	2.86E+00
CPCT02170010T	1.35E+00	1.00E+00	2.86E+00	3.28E+00	2.96E+00	4.11E+00	1.79E+00	3.52E+00	2.71E+00	2.89E+00	1.97E+00	1.10E+00	1.31E+00
CPCT02030398T	5.41E+00	5.38E+00	6.11E+00	6.13E+00	2.56E+00	6.25E+00	7.65E-01	1.64E+00	1.63E+00	2.55E+00	3.43E+00	1.21E+00	1.87E+00
CPCT02050250T	6.79E+00	6.50E+00	4.57E+00	4.67E+00	1.57E+00	4.59E+00	6.28E-01	1.98E+00	1.57E+00	1.39E+00	4.77E+00	1.02E+00	9.07E-01
CPCT02050076TII	1.03E+01	8.39E+00	1.41E+01	1.05E+01	2.59E+00	1.56E+01	1.07E+00	2.34E+00	2.50E+00	7.98E+00	4.12E+00	8.90E-01	4.04E+00
CPCT02050182T	1.92E+00	1.62E+00	5.33E+00	3.40E+00	1.59E+00	6.47E+00	7.24E-01	2.21E+00	1.97E+00	2.85E+00	2.11E+00	9.33E-01	2.76E+00
CPCT02070187T	3.49E+00	2.59E+00	8.07E+00	3.32E+00	2.45E+00	9.48E+00	7.36E-01	1.50E+00	1.47E+00	3.14E+00	1.74E+00	1.12E+00	2.20E+00
CPCT02030373T	2.48E+01	2.15E+01	1.50E+01	1.95E+01	3.39E+00	1.80E+01	1.71E+00	4.32E+00	6.52E+00	8.31E+00	1.37E+01	1.26E+00	6.38E+00
CPCT02020589T	2.16E+00	1.90E+00	4.68E+00	3.85E+00	2.61E+00	6.01E+00	2.35E+00	2.37E+00	2.43E+00	2.85E+00	2.32E+00	7.45E-01	2.24E+00
CPCT02040154T	4.34E+00	3.83E+00	5.57E+00	4.32E+00	2.32E+00	6.29E+00	7.99E-01	2.77E+00	1.99E+00	2.89E+00	2.03E+00	3.83E-01	1.99E+00
CPCT02050091T	1.19E+00	1.07E+00	2.74E+00	2.26E+00	1.23E+00	3.43E+00	6.58E-01	1.57E+00	1.44E+00	1.45E+00	1.45E+00	7.08E-01	1.47E+00
CPCT02020406T	1.75E+00	1.40E+00	3.95E+00	3.08E+00	1.57E+00	5.03E+00	6.87E-01	2.10E+00	1.68E+00	1.87E+00	1.50E+00	5.09E-01	2.40E+00
CPCT02020405T	5.03E+00	4.84E+00	7.15E+00	4.83E+00	2.38E+00	7.85E+00	1.67E+00	1.59E+00	1.64E+00	2.63E+00	3.47E+00	7.12E-01	2.65E+00
CPCT02070052T	4.02E+00	3.32E+00	5.61E+00	4.81E+00	1.84E+00	6.49E+00	7.64E-01	2.02E+00	1.98E+00	2.97E+00	4.04E+00	9.60E-01	2.36E+00
CPCT02060063T	5.79E+00	5.51E+00	6.13E+00	6.63E+00	3.69E+00	6.83E+00	6.63E+00	6.92E+00	3.18E+00	1.83E+00	5.21E+00	3.54E+00	2.07E+00
CPCT02230004T	3.91E+00	3.45E+00	7.05E+00	6.03E+00	1.57E+00	8.27E+00	7.85E-01	2.37E+00	2.79E+00	3.45E+00	3.66E+00	9.38E-01	2.95E+00
CPCT02300006T	4.12E+00	3.67E+00	4.87E+00	3.30E+00	2.03E+00	6.11E+00	8.71E-01	2.25E+00	1.46E+00	2.29E+00	3.50E+00	7.83E-01	1.79E+00
CPCT02080066T	4.20E+00	3.52E+00	2.89E+00	3.63E+00	8.09E-01	3.45E+00	6.11E-01	1.63E+00	1.61E+00	1.90E+00	2.61E+00	9.05E-01	1.97E+00
CPCT02010492T	1.34E+00	1.12E+00	6.37E-02	9.29E-01	1.41E+00	2.06E-01	4.80E-01	2.11E+00	1.82E+00	2.18E+00	7.29E-01	1.02E+00	1.67E+00
