Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP117655	436	0	377	0	0	15	396	0	201	0	0	0	0	0	39	0	0	0
SP117556	167	0	119	351	0	16	54	0	15	13	0	0	38	0	13	0	0	0
SP117627	57	0	0	236	2	10	91	0	0	27	0	0	0	2	2	30	0	0
SP117775	269	0	54	281	11	21	183	0	46	32	0	0	21	0	9	55	0	0
SP117332	14	0	0	30	1	12	18	0	17	10	0	0	6	0	0	28	0	18
SP117712	25	0	126	0	0	17	29	0	90	41	0	0	69	86	5	39	0	0
SP117017	23	0	190	0	4	5	25	0	54	39	0	0	0	0	0	45	0	0
SP117031	202	0	274	245	0	30	51	0	0	28	0	0	56	13	43	0	0	0
SP117759	482	0	448	154	0	10	275	0	0	0	0	0	76	0	28	69	0	0
SP117621	126	0	0	409	3	7	116	0	78	40	0	0	41	2	19	26	0	0
SP117425	93	0	54	48	0	13	121	78	21	12	0	0	16	0	54	80	0	0
SP117930	301	0	958	0	0	28	40	0	119	10	0	55	114	6	19	0	0	0
SP99287	6	0	47	0	0	6	20	0	45	0	0	0	10	32	0	0	0	0
SP99293	14	0	49	0	2	5	0	0	80	11	0	0	15	137	1	0	0	0
SP99289	0	58	111	0	0	20	73	0	330	69	0	0	14	24	17	9	0	0
SP99297	1	0	4	0	2	0	0	0	0	0	0	0	0	14	2	0	0	0
SP99301	361	561	12	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0
SP99305	9	0	69	0	0	8	25	0	19	26	11	5	21	27	3	42	0	0
SP99309	22	0	104	120	0	0	105	0	21	10	0	0	49	52	9	0	0	0
SP99313	9	0	1	69	4	79	14	0	4	313	0	0	40	5	6	0	0	0
SP99317	0	0	3	0	0	0	3	0	0	1	0	0	0	30	0	0	0	0
SP99321	31	0	7	56	0	2	15	50	0	21	0	0	26	28	0	10	0	0
SP99325	60839	64427	556	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0
