Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP117655	428	0	344	31	37	0	0	0	14	372	0	6	189	0	0	43	0	0	0
SP117556	161	0	199	29	272	0	1	0	16	50	18	14	13	0	0	13	0	0	0
SP117627	53	0	41	0	198	0	1	0	10	79	5	27	0	0	26	3	14	0	0
SP117775	259	0	156	29	159	0	11	0	21	169	0	40	50	0	77	11	0	0	0
SP117332	12	0	0	2	31	0	1	0	11	13	12	8	11	0	20	0	0	0	33
SP117712	24	0	129	14	0	0	0	0	15	10	191	29	61	0	51	3	0	0	0
SP117017	21	0	187	4	0	0	3	4	5	24	0	39	52	0	40	0	6	0	0
SP117031	198	0	383	31	122	0	0	0	31	41	59	25	0	0	11	41	0	0	0
SP117759	466	0	520	83	59	0	1	0	13	255	0	6	0	0	89	30	20	0	0
SP117621	121	0	152	30	233	0	4	0	8	107	21	40	71	0	37	19	24	0	0
SP117425	96	0	130	13	0	0	0	0	14	107	29	14	15	0	88	53	14	17	0
SP117930	321	0	822	90	0	0	0	179	26	40	54	8	93	0	0	17	0	0	0
SP99287	5	0	48	7	0	0	0	0	5	18	24	0	39	0	0	0	20	0	0
SP99293	13	0	42	21	0	0	2	0	3	3	34	9	78	0	0	0	109	0	0
SP99289	0	49	68	15	0	0	0	0	18	68	25	63	295	0	0	16	38	70	0
SP99297	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	15	0	0
SP99301	556	272	65	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP99305	0	0	68	19	0	15	0	0	7	22	13	26	18	9	33	3	32	0	0
SP99309	22	0	151	29	67	0	0	0	0	89	85	8	11	0	0	10	20	0	0
SP99313	8	0	0	33	75	0	3	0	78	10	21	290	11	0	0	6	9	0	0
SP99317	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	32	0	0
SP99321	37	0	73	10	13	0	0	0	2	9	59	18	0	0	25	0	0	0	0
SP99325	76970	39881	4447	4774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP99329	7	0	0	20	4	0	1	0	344	50	54	21	5	0	8	0	0	6	0
SP99333	9	0	55	12	74	0	0	0	6	0	28	11	4	0	0	0	51	0	0
SP99337	21	19	152	9	117	0	0	0	9	28	41	5	24	0	5	10	0	0	0
SP99341	15	0	89	18	85	0	0	0	0	13	19	18	0	0	18	4	16	0	39
SP99345	1	0	7	0	1	0	1	0	5	13	0	8	12	0	2	0	5	0	0
SP99113	2	0	0	1	0	0	0	0	0	4	38	5	12	0	4	0	13	0	0
SP99185	7	0	34	1	0	0	0	0	0	23	164	57	146	0	1	0	0	0	0
SP99209	13	0	114	37	14	0	0	0	0	82	140	96	30	0	9	1	0	0	0
SP99213	82	0	0	16	314	0	0	0	0	11	0	16	5	2	0	4	77	0	10
SP99221	0	0	1	3	0	0	0	0	1	4	16	0	21	0	0	2	0	0	0
SP99225	7	0	32	46	3	0	0	0	11	18	0	12	26	0	10	4	28	0	0
SP99241	41	0	11	68	136	0	0	0	61	0	0	158	322	0	0	19	42	0	0
CPCT02020318T	97	0	80	2	22	0	31	0	4	6	19	0	5	20	14	10	32	160	0
CPCT02010377T	32	2	98	40	106	0	16	73	19	0	13	23	99	66	0	9	0	0	0
CPCT02060017T	0	95	193	0	0	2	37	31	31	0	0	2	0	0	200	11	10	0	65
CPCT02060166T	221	0	135	0	63	0	77	95	26	31	40	0	0	49	38	56	0	0	0
DRUP01080024T	14	0	33	23	9	0	0	0	4	0	0	3	8	99	0	119	14	0	0
CPCT02300029T	274	0	413	22	16	0	141	0	31	33	27	34	34	1	130	29	0	0	0
CPCT02130024T	70	52	190	0	0	0	64	0	17	4	22	0	36	78	37	17	3	0	0
CPCT02370015T	0	0	14	0	0	28	25	26	10	57	0	22	36	33	12	15	46	0	0
CPCT02080291T	58	0	118	0	65	0	0	28	10	0	0	0	18	55	0	6	39	0	16
CPCT02330082T	16	0	18	0	127	0	19	31	0	0	36	8	11	24	0	1	23	0	0
CPCT02130035T	225	0	116	0	182	0	66	0	19	1	9	41	5	83	17	12	40	168	0
CPCT02020667T	18	0	103	22	107	0	90	0	22	12	0	22	36	0	37	7	22	0	0
CPCT02190030T	70	0	147	0	77	0	63	0	16	40	126	66	93	0	6	12	0	0	48
CPCT02070304T	134	0	319	19	0	0	55	0	33	28	22	27	0	46	77	24	50	0	125
CPCT02230093T	352	0	177	48	192	0	69	0	30	35	102	22	0	0	87	0	1	0	0
CPCT02170024T	0	52	133	1	0	0	87	12	0	8	6	9	67	57	0	16	74	0	47
CPCT02050342T	91	0	169	24	62	0	51	112	0	29	36	52	8	135	22	39	54	0	0
CPCT02130064T	1	0	155	0	43	45	86	0	9	8	2	55	32	150	18	15	0	0	0
CPCT02130063T	853	0	267	165	0	0	182	0	161	149	248	42	0	57	0	27	0	0	0
CPCT02080208T	22	0	26	2	21	0	53	0	5	10	41	25	16	83	0	0	0	0	0
CPCT02130066T	372	0	231	0	0	0	49	311	0	218	0	0	0	0	0	15	136	0	0
CPCT02130067T	3	214	248	0	0	0	86	0	18	63	0	5	185	33	80	9	21	0	0
CPCT02100172T	38	0	63	11	5	0	94	0	1	20	14	0	0	2	0	8	21	0	0
CPCT02130084T	29	0	40	9	3	0	42	219	26	38	20	16	37	23	0	9	6	89	0
CPCT02060220T	52	0	121	39	100	15	147	78	12	14	33	25	46	24	0	4	0	0	0
CPCT02100169T	247	0	270	0	328	694	111	0	31	19	0	43	0	37	67	53	0	47	0
CPCT02080218T	265	0	581	0	0	130	151	0	50	9	47	19	56	0	91	21	3	175	82
CPCT02050332T	27	0	75	7	0	63	32	0	223	13	0	137	12	0	31	10	0	0	0
DRUP01080031T	47272	20266	936	0	0	3343	235	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02040245T	242	0	246	0	612	103	20	0	0	33	0	38	27	53	0	60	0	76	0
DRUP01050048T	61136	45417	3561	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0
DRUP01010142T	32147	22121	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02080224T	6	38	31	18	135	22	71	0	6	25	54	50	24	19	0	6	0	27	24
CPCT02260021T	0	45	121	0	0	0	73	15	0	0	64	4	19	0	30	1	45	0	0
CPCT02020762T	15	0	87	5	0	0	137	0	33	16	13	39	14	0	51	0	20	0	0
CPCT02130116T	22	0	75	14	6	0	18	172	13	18	37	5	4	47	0	18	28	3	0
CPCT02050342TII	91	0	170	32	136	0	13	28	0	34	22	40	10	85	14	37	82	0	0
CPCT02130138T	23	0	44	29	226	67	40	0	15	51	0	50	9	139	0	0	0	0	0
