NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	332.538	25.992	78.871	16.409	0.112	0.973	1000000.0
2	344.503	25.937	86.5	16.063	0.11	0.974	1000000.0
3	296.847	26.353	66.011	16.703	16.765	0.972	1000000.0
4	334.432	25.558	78.936	15.766	8.433	0.974	1000000.0
5	345.704	25.709	84.911	16.019	8.435	0.973	1000000.0
6	317.666	26.087	73.283	16.353	8.435	0.973	1000000.0
7	298.768	26.289	65.742	16.586	8.447	0.971	1000000.0
8	346.65	25.659	85.078	15.949	0.109	0.974	1000000.0
9	316.063	25.694	72.134	16.166	0.11	0.972	1000000.0
10	341.681	25.562	83.523	15.931	8.443	0.975	1000000.0
11	334.844	25.558	79.624	16.005	0.107	0.975	1000000.0
12	337.096	25.925	81.598	16.718	0.11	0.973	1000000.0
13	322.229	25.867	74.174	16.298	0.11	0.973	1000000.0
14	320.935	26.117	73.459	16.794	0.111	0.972	1000000.0
15	342.602	25.943	83.987	16.261	8.44	0.974	1000000.0
16	346.345	26.14	85.234	16.493	0.113	0.973	1000000.0
17	351.543	25.991	88.318	16.461	0.111	0.973	1000000.0
18	312.614	25.909	70.466	16.219	8.442	0.972	1000000.0
19	344.291	25.921	84.344	16.01	8.437	0.975	1000000.0
20	299.371	26.38	67.96	16.929	8.446	0.971	1000000.0
21	352.494	25.898	88.024	16.164	0.11	0.974	1000000.0
22	315.326	25.817	71.288	16.284	8.436	0.972	1000000.0
23	308.592	26.212	69.707	16.917	0.115	0.972	1000000.0
24	335.626	25.639	80.45	15.955	8.437	0.974	1000000.0
25	341.011	26.042	82.418	16.292	16.767	0.973	1000000.0
26	317.01	25.802	72.163	16.37	0.107	0.973	1000000.0
27	307.745	25.855	69.246	16.349	0.108	0.973	1000000.0
28	333.92	25.685	81.507	16.224	8.433	0.974	1000000.0
29	341.128	25.836	82.584	16.186	0.112	0.974	1000000.0
30	341.039	25.617	83.389	15.972	0.111	0.974	1000000.0
31	322.355	26.085	74.902	16.513	25.099	0.972	1000000.0
32	316.835	26.032	71.603	16.54	0.115	0.972	1000000.0
33	342.575	25.994	84.555	16.008	8.444	0.973	1000000.0
34	340.131	26.042	81.953	16.493	0.113	0.972	1000000.0
35	356.768	26.039	91.592	16.435	0.119	0.973	1000000.0
36	302.366	26.155	65.55	16.754	8.439	0.972	1000000.0
37	309.5	25.724	70.103	16.277	0.11	0.972	1000000.0
38	350.084	25.795	88.092	16.005	0.134	0.975	1000000.0
39	342.783	25.556	85.309	16.066	0.108	0.974	1000000.0
40	313.006	25.802	71.807	16.253	8.44	0.973	1000000.0
41	335.754	25.682	80.298	15.958	0.11	0.974	1000000.0
42	326.962	26.119	76.83	16.629	25.108	0.972	1000000.0
43	304.308	26.37	66.779	16.81	8.441	0.971	1000000.0
44	295.017	26.421	64.389	16.9	16.772	0.972	1000000.0
