Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP117655	0	329	2	916	197	0	4	0	16
SP117556	90	97	311	204	43	0	27	0	14
SP117627	0	25	77	284	17	0	27	27	0
SP117775	0	220	42	600	77	0	42	0	1
SP117332	0	10	15	44	29	0	17	39	0
SP117712	42	0	125	0	228	0	21	94	17
SP117017	0	26	193	0	93	5	18	50	0
SP117031	69	155	392	175	44	0	45	0	62
SP117759	47	365	193	907	0	0	14	0	16
SP117621	0	100	193	364	147	0	25	15	23
SP117425	0	69	0	345	41	0	19	36	80
SP117930	336	115	920	42	186	0	25	0	26
SP99287	0	0	34	51	79	0	2	0	0
SP99293	0	19	52	0	195	1	0	40	7
SP99289	49	2	139	0	486	0	27	0	22
SP99297	0	1	3	0	4	3	0	8	4
SP99301	1078	0	0	0	0	0	0	199	0
SP99305	0	9	56	33	64	3	15	77	8
SP99309	0	0	113	251	114	0	0	0	14
SP99313	0	10	53	0	194	31	198	58	0
SP99317	0	0	1	0	15	0	0	21	0
SP99321	30	21	72	7	48	0	8	59	1
SP99325	86712	39360	0	0	0	0	0	0	0
SP99329	0	9	0	26	72	0	401	12	0
SP99333	17	0	110	0	50	1	10	62	0
SP99337	27	0	203	121	60	0	12	1	16
SP99341	20	0	146	41	35	1	6	75	10
SP99345	0	0	5	12	28	0	8	2	0
SP99113	0	4	0	0	61	0	0	14	0
SP99185	0	12	46	0	364	0	11	0	0
SP99209	0	0	75	153	237	0	32	39	0
SP99213	0	108	232	0	62	1	7	118	9
SP99221	0	0	2	1	40	0	0	0	5
SP99225	1	0	12	77	56	0	14	32	5
SP99241	72	0	125	0	507	9	123	0	22
CPCT02020318T	0	127	138	110	14	49	5	36	23
CPCT02010377T	60	0	240	0	158	55	25	31	27
CPCT02060017T	0	57	248	0	0	48	27	279	18
CPCT02060166T	0	249	179	140	6	115	30	9	103
DRUP01080024T	22	0	11	23	0	35	0	0	235
CPCT02300029T	73	250	350	110	41	174	47	107	33
CPCT02130024T	41	77	186	31	43	115	14	46	37
CPCT02370015T	0	10	0	94	98	46	16	32	28
CPCT02080291T	0	73	200	0	35	22	9	52	22
CPCT02330082T	0	24	140	0	68	40	0	33	9
CPCT02130035T	0	298	324	0	53	124	38	119	28
CPCT02020667T	26	0	161	41	56	118	32	61	3
CPCT02190030T	0	85	218	14	276	83	40	27	21
CPCT02070304T	0	149	313	100	44	90	47	164	52
CPCT02230093T	84	328	213	183	54	76	43	134	0
CPCT02170024T	19	14	177	0	137	145	0	38	39
CPCT02050342T	0	116	288	0	116	130	7	140	87
CPCT02130064T	0	39	190	0	79	186	27	59	39
CPCT02130063T	222	749	0	549	190	217	194	0	30
