MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	1.52E-04	8.15E-04	4.92E-03	5.71E-04	1.06E-03	3.61E-03	7.70E-04	3.51E-04	3.66E-03	1.58E-03	5.73E-04
1:Del:C:1	5.21E-05	3.94E-04	1.20E-03	5.87E-04	7.79E-04	1.41E-03	7.88E-04	3.33E-04	1.02E-03	7.19E-04	4.04E-04
1:Del:C:2	3.55E-05	2.79E-04	4.04E-04	3.88E-04	6.72E-04	8.52E-04	3.58E-04	1.85E-04	5.24E-04	4.39E-04	2.65E-04
1:Del:C:3	1.45E-04	1.97E-04	1.00E-03	1.91E-04	5.24E-04	5.21E-04	2.30E-04	9.00E-05	3.61E-04	1.80E-04	1.17E-04
1:Del:C:4	3.02E-04	1.55E-04	2.24E-03	1.41E-04	4.70E-04	2.72E-04	2.43E-05	1.34E-04	2.83E-04	7.65E-05	1.29E-04
1:Del:C:5	1.06E-03	2.11E-04	8.60E-03	1.12E-04	8.66E-04	2.45E-04	1.37E-04	2.25E-04	3.20E-04	1.46E-04	1.48E-04
1:Del:T:0	6.41E-05	3.21E-04	6.27E-04	3.57E-04	3.80E-04	1.16E-03	6.59E-04	8.84E-04	1.25E-03	6.16E-04	3.66E-04
1:Del:T:1	2.56E-05	2.15E-04	3.74E-04	3.28E-04	4.70E-04	1.03E-03	6.38E-04	1.09E-03	6.46E-04	2.89E-04	2.94E-04
1:Del:T:2	7.21E-05	2.74E-04	4.20E-04	4.27E-04	3.77E-04	1.09E-03	4.88E-04	1.17E-03	5.71E-04	4.27E-04	3.06E-04
1:Del:T:3	1.48E-04	4.48E-04	8.60E-04	2.30E-04	5.25E-04	4.02E-04	7.32E-04	1.71E-03	7.16E-04	1.51E-04	5.11E-04
1:Del:T:4	2.34E-04	3.71E-04	8.17E-04	2.70E-04	3.26E-04	6.21E-04	4.63E-04	7.61E-04	6.24E-04	3.88E-04	3.20E-04
1:Del:T:5	2.25E-03	2.93E-03	1.45E-02	1.14E-03	1.51E-03	3.08E-03	1.48E-03	3.39E-03	5.33E-03	9.40E-04	1.24E-03
1:Ins:C:0	3.68E-05	1.23E-04	1.89E-03	9.97E-05	1.67E-04	3.43E-03	2.04E-04	1.58E-04	6.89E-03	2.06E-04	8.69E-04
1:Ins:C:1	4.18E-06	9.69E-05	5.26E-04	7.17E-05	1.25E-04	5.44E-04	3.65E-05	9.86E-05	8.99E-04	2.61E-04	1.24E-04
1:Ins:C:2	7.95E-06	5.92E-05	5.57E-04	8.37E-05	9.55E-05	4.08E-04	7.97E-05	5.37E-05	3.47E-04	6.14E-05	4.96E-05
1:Ins:C:3	1.33E-05	8.24E-05	2.13E-04	6.22E-05	1.19E-04	2.34E-04	1.72E-04	0.00E+00	3.01E-04	1.44E-04	2.52E-05
1:Ins:C:4	5.93E-05	1.35E-04	4.62E-04	6.45E-05	1.17E-04	3.36E-04	1.72E-04	0.00E+00	3.17E-04	2.25E-05	3.66E-05
1:Ins:C:5	1.07E-04	3.84E-04	7.10E-04	1.15E-04	1.87E-04	6.30E-04	3.13E-04	1.76E-04	5.94E-04	1.29E-04	1.47E-04
1:Ins:T:0	4.43E-05	2.42E-04	5.60E-04	1.35E-04	2.36E-04	9.87E-04	3.57E-04	2.65E-04	1.76E-03	2.82E-04	3.00E-04
1:Ins:T:1	2.78E-05	2.47E-04	1.14E-03	1.92E-04	6.15E-04	2.13E-03	3.88E-04	2.07E-04	1.45E-03	5.06E-04	2.42E-04
1:Ins:T:2	4.69E-05	3.47E-04	4.44E-04	1.94E-04	4.65E-04	2.00E-03	2.39E-04	1.97E-04	1.31E-03	2.31E-04	1.24E-04
1:Ins:T:3	3.37E-05	2.16E-04	5.67E-04	9.91E-05	2.47E-04	1.02E-03	2.57E-04	2.18E-04	6.51E-04	2.53E-04	1.48E-04
1:Ins:T:4	5.43E-05	2.46E-04	4.85E-04	3.84E-05	1.61E-04	6.47E-04	1.21E-04	2.01E-04	4.94E-04	2.31E-04	6.78E-05
1:Ins:T:5	1.92E-03	4.14E-03	2.04E-02	6.08E-04	3.36E-03	5.81E-03	4.73E-03	1.89E-03	1.35E-02	3.91E-03	1.25E-03
2:Del:R:0	7.93E-05	1.62E-04	6.16E-04	2.43E-04	1.79E-04	6.16E-04	2.91E-04	3.34E-04	3.91E-04	7.32E-04	2.25E-04
2:Del:R:1	8.54E-05	4.18E-04	5.02E-04	2.20E-04	2.59E-04	5.21E-04	1.78E-04	4.02E-04	4.84E-04	1.22E-03	2.06E-04
2:Del:R:2	5.94E-05	1.61E-04	4.66E-04	1.01E-04	2.40E-04	2.19E-04	1.71E-04	1.49E-04	2.26E-04	4.67E-04	4.09E-05
2:Del:R:3	3.29E-04	5.17E-05	2.59E-03	4.80E-06	3.36E-04	2.54E-05	1.51E-04	3.84E-05	8.95E-05	2.33E-04	5.93E-05
2:Del:R:4	2.09E-04	0.00E+00	1.60E-03	5.88E-06	1.98E-04	3.24E-05	7.39E-05	4.17E-10	4.27E-05	1.55E-04	1.96E-05
2:Del:R:5	6.51E-04	3.38E-05	5.36E-03	7.49E-06	4.66E-04	1.28E-04	3.38E-04	8.34E-05	2.40E-04	2.80E-04	1.03E-04
3:Del:R:0	3.40E-05	5.31E-05	2.74E-04	1.98E-04	1.26E-04	3.83E-04	2.67E-05	3.28E-04	2.45E-04	3.50E-04	2.04E-04
3:Del:R:1	4.95E-05	6.14E-04	8.99E-04	1.82E-04	1.80E-04	6.68E-04	8.88E-05	2.23E-04	6.56E-04	7.22E-04	2.68E-04
3:Del:R:2	3.24E-05	2.19E-04	3.18E-04	3.28E-05	4.89E-05	1.98E-04	9.86E-05	1.45E-04	2.41E-04	3.57E-04	1.19E-04
3:Del:R:3	1.25E-05	5.04E-05	9.88E-05	2.69E-06	1.63E-05	7.06E-05	8.54E-05	0.00E+00	6.62E-05	1.39E-04	4.11E-05
3:Del:R:4	1.32E-05	2.37E-05	9.27E-05	7.52E-06	3.22E-05	6.51E-05	0.00E+00	7.03E-05	7.76E-05	9.53E-05	0.00E+00
3:Del:R:5	2.49E-05	3.50E-05	1.40E-04	0.00E+00	6.88E-07	9.09E-05	6.08E-06	1.05E-05	4.27E-05	1.24E-04	4.16E-05
4:Del:R:0	1.39E-05	4.46E-05	2.68E-04	1.73E-04	1.08E-04	2.61E-04	1.62E-04	2.87E-04	2.83E-04	2.91E-04	2.04E-04
4:Del:R:1	4.14E-05	3.47E-04	5.14E-04	5.37E-05	8.20E-05	5.11E-04	2.95E-04	2.57E-04	3.44E-04	6.64E-04	2.30E-04
4:Del:R:2	2.44E-05	1.34E-04	1.80E-04	2.59E-05	6.98E-05	1.07E-04	8.30E-05	6.28E-05	2.10E-04	2.85E-04	7.31E-05
4:Del:R:3	2.16E-05	6.85E-05	1.32E-04	3.87E-06	2.16E-05	7.48E-05	9.37E-05	7.95E-05	1.50E-04	1.83E-04	3.42E-05
4:Del:R:4	9.71E-06	3.86E-05	8.38E-05	7.99E-06	2.22E-05	8.01E-05	2.43E-05	2.82E-05	1.08E-04	4.18E-05	1.47E-05
4:Del:R:5	2.48E-05	1.21E-05	1.51E-04	0.00E+00	5.45E-06	4.08E-05	2.76E-05	2.37E-05	2.91E-05	9.94E-05	2.10E-10
5:Del:R:0	1.40E-47	3.99E-04	5.40E-03	1.30E-03	2.07E-04	9.51E-04	1.94E-03	1.15E-03	4.22E-03	4.91E-04	2.25E-03
5:Del:R:1	1.85E-05	1.47E-04	9.01E-04	1.15E-04	5.00E-05	5.39E-04	2.74E-04	1.11E-04	5.83E-04	4.84E-04	2.53E-04
5:Del:R:2	1.12E-05	5.86E-05	1.40E-04	3.48E-05	3.44E-05	1.30E-04	4.82E-05	5.98E-05	1.78E-04	1.96E-04	6.25E-05
5:Del:R:3	8.04E-06	2.13E-05	6.29E-05	4.62E-06	1.26E-05	1.05E-05	0.00E+00	1.99E-05	3.33E-05	9.56E-05	3.08E-05
5:Del:R:4	4.62E-06	1.25E-05	1.76E-05	5.90E-11	1.28E-06	3.09E-06	2.09E-05	3.53E-06	6.02E-06	2.22E-05	3.13E-06
