NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	218.291	18.278	43.387	11.88	5.101	0.991	1000000.0
2	218.47	18.147	43.776	11.694	0.051	0.991	1000000.0
3	215.394	18.113	41.597	11.63	0.053	0.991	1000000.0
4	217.215	18.009	43.434	11.539	0.051	0.991	1000000.0
5	218.243	18.321	43.411	11.868	0.051	0.991	1000000.0
6	218.798	18.091	43.886	11.546	0.051	0.991	1000000.0
7	216.954	18.037	43.12	11.498	0.051	0.991	1000000.0
8	218.107	18.201	43.575	11.695	0.051	0.991	1000000.0
9	204.277	18.059	38.718	11.41	0.052	0.991	1000000.0
10	221.67	18.168	44.835	11.641	0.051	0.991	1000000.0
11	215.169	17.895	42.437	11.461	0.05	0.991	1000000.0
12	209.672	17.892	40.889	11.405	0.052	0.991	1000000.0
13	217.506	18.134	43.057	11.654	0.052	0.991	1000000.0
14	215.076	17.901	42.332	11.403	0.051	0.992	1000000.0
15	220.452	18.237	44.04	11.859	0.051	0.991	1000000.0
16	213.606	17.993	42.193	11.541	5.101	0.991	1000000.0
17	214.341	18.0	42.644	11.569	0.05	0.991	1000000.0
18	216.554	18.105	42.635	11.666	0.051	0.991	1000000.0
19	217.462	18.114	42.82	11.609	0.051	0.991	1000000.0
20	209.988	18.013	40.497	11.428	10.15	0.991	1000000.0
21	220.954	17.896	44.842	11.509	5.1	0.991	1000000.0
22	217.649	18.054	43.768	11.524	0.051	0.991	1000000.0
23	213.887	18.127	42.739	11.63	0.055	0.991	1000000.0
24	213.456	18.042	41.859	11.415	5.1	0.991	1000000.0
25	214.635	18.229	42.498	11.602	0.051	0.991	1000000.0
26	210.949	18.087	41.019	11.65	0.051	0.991	1000000.0
27	219.707	18.001	44.43	11.462	0.05	0.992	1000000.0
28	217.613	18.037	43.091	11.473	5.1	0.991	1000000.0
29	205.404	17.854	38.662	11.337	0.05	0.992	1000000.0
30	209.989	18.069	40.682	11.712	0.05	0.991	1000000.0
31	224.27	18.013	44.795	11.442	0.051	0.991	1000000.0
32	217.171	18.136	43.205	11.707	5.101	0.991	1000000.0
33	222.845	18.265	44.859	11.71	0.051	0.991	1000000.0
34	249.028	18.088	62.154	11.751	5.101	0.991	1000000.0
35	218.412	18.273	43.325	11.704	0.052	0.991	1000000.0
36	214.866	18.054	42.336	11.521	0.051	0.991	1000000.0
37	214.135	18.155	42.014	11.639	0.051	0.991	1000000.0
38	212.621	18.106	42.089	11.551	0.051	0.991	1000000.0
39	216.678	18.186	43.205	11.766	0.05	0.991	1000000.0
40	221.905	18.335	44.943	11.827	0.052	0.991	1000000.0
41	220.614	18.239	44.375	11.945	0.051	0.991	1000000.0
42	221.458	18.108	44.442	11.553	0.05	0.991	1000000.0
43	212.2	17.945	41.676	11.398	0.05	0.991	1000000.0
44	211.416	18.17	41.305	11.652	0.051	0.991	1000000.0
45	217.697	18.056	43.084	11.487	0.051	0.991	1000000.0
46	222.706	18.123	44.158	11.611	0.051	0.991	1000000.0
47	214.97	18.149	42.459	11.667	0.051	0.991	1000000.0
48	210.22	17.954	41.107	11.459	0.051	0.991	1000000.0
49	212.293	18.152	41.089	11.597	0.051	0.992	1000000.0
50	215.61	18.062	42.806	11.603	0.05	0.991	1000000.0
51	222.712	18.084	45.53	11.55	10.152	0.992	1000000.0
52	223.072	18.182	43.773	11.527	0.05	0.991	1000000.0
53	216.725	17.907	42.384	11.33	0.053	0.991	1000000.0
54	219.229	18.25	43.491	11.652	0.051	0.991	1000000.0
55	214.23	17.923	42.785	11.451	0.05	0.991	1000000.0
56	215.136	18.026	42.404	11.49	0.05	0.992	1000000.0
57	213.637	18.078	41.923	11.512	0.051	0.991	1000000.0
58	211.411	18.135	41.261	11.631	0.051	0.991	1000000.0
59	215.839	17.899	43.017	11.439	0.051	0.992	1000000.0
60	215.78	18.157	41.974	11.646	0.053	0.991	1000000.0
61	217.175	17.955	42.539	11.394	5.102	0.991	1000000.0
62	211.558	18.002	41.743	11.454	0.05	0.991	1000000.0
63	215.163	18.034	42.363	11.482	0.05	0.992	1000000.0
64	219.166	18.458	44.085	11.855	0.052	0.991	1000000.0
65	217.365	18.02	43.424	11.521	0.051	0.991	1000000.0
66	215.128	18.006	42.169	11.594	0.051	0.991	1000000.0
67	212.286	17.73	41.992	11.359	0.049	0.991	1000000.0
68	221.461	18.131	44.586	11.58	0.051	0.991	1000000.0
69	219.476	18.13	44.597	11.632	10.151	0.991	1000000.0
70	211.463	18.13	41.832	11.605	0.052	0.991	1000000.0
71	214.59	18.036	42.522	11.414	0.051	0.991	1000000.0
72	219.369	18.162	43.291	11.603	0.052	0.991	1000000.0
73	219.39	18.074	44.459	11.56	5.1	0.991	1000000.0
74	215.898	17.964	42.641	11.389	5.1	0.991	1000000.0
75	215.879	18.05	42.684	11.609	0.05	0.991	1000000.0
76	211.925	18.012	40.978	11.372	10.151	0.992	1000000.0
77	214.074	17.715	43.058	11.25	10.151	0.992	1000000.0
78	211.23	17.97	40.984	11.482	0.05	0.992	1000000.0
79	211.636	18.098	40.819	11.603	0.053	0.991	1000000.0
80	219.52	17.988	43.54	11.409	0.05	0.992	1000000.0
81	217.518	18.088	42.887	11.599	0.051	0.991	1000000.0
82	215.586	17.844	42.453	11.357	5.1	0.992	1000000.0
83	218.364	18.022	43.855	11.527	5.101	0.991	1000000.0
84	219.625	18.248	43.185	11.843	10.152	0.991	1000000.0
85	214.89	18.014	41.887	11.476	0.051	0.991	1000000.0
86	211.233	18.234	41.747	11.765	0.053	0.991	1000000.0
87	209.722	18.016	40.74	11.595	0.05	0.991	1000000.0
88	213.959	18.079	41.765	11.573	0.051	0.991	1000000.0
89	217.329	18.127	42.544	11.683	0.052	0.991	1000000.0
90	215.016	18.031	41.617	11.499	0.051	0.991	1000000.0
91	208.142	17.835	40.44	11.292	0.05	0.992	1000000.0
92	214.856	18.194	42.388	11.568	0.051	0.991	1000000.0
93	209.065	17.991	41.974	11.449	0.051	0.991	1000000.0
94	218.047	18.088	43.102	11.563	0.051	0.991	1000000.0
95	214.752	18.121	42.271	11.591	0.051	0.991	1000000.0
96	207.24	18.144	40.831	11.642	0.051	0.991	1000000.0
97	218.759	18.235	43.743	11.781	5.101	0.991	1000000.0
98	211.44	17.961	41.09	11.402	0.05	0.991	1000000.0
99	216.734	18.115	42.444	11.451	0.051	0.991	1000000.0
100	217.929	18.068	43.558	11.688	0.05	0.991	1000000.0
