Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP1086	20	0	22	78	45	77	0	8	0	2	35	42	0	0	1	16	10	96	3
SP1003	79	21	13	140	46	68	0	0	0	0	91	58	32	0	40	25	32	0	3
SP1677	25	0	10	105	51	202	0	11	9	0	65	50	12	0	16	22	24	21	9
SP1305	85	48	0	129	542	118	0	127	0	23	83	110	0	0	455	58	30	0	18
SP963	14	0	1	92	74	78	39	4	0	0	28	84	60	9	10	15	12	0	10
SP1144	11	19	8	33	20	94	0	31	0	1	3	19	0	0	18	12	10	100	10
SP1132	32	10	0	100	54	332	0	11	0	5	0	186	59	0	11	13	22	0	5
SP1712	0	12	4	128	10	0	11	0	0	2	11	42	0	68	0	5	9	1	5
SP1114	14	8	21	115	0	315	0	0	13	0	14	0	33	0	22	13	0	0	10
SP1431	31	0	9	210	6	0	27	11	0	0	4	13	42	0	0	34	9	0	0
SP975	51	7	3	144	556	0	67	149	0	15	40	26	0	0	256	0	37	0	8
SP1059	58	0	10	135	59	269	26	40	0	2	129	144	63	0	0	55	21	0	92
SP1419	90	0	1	146	32	15	174	36	0	0	29	38	0	0	4	0	66	146	2
SP1009	12	26	20	108	23	49	0	11	0	9	35	41	113	0	1	37	12	0	12
SP1724	12	12	8	48	11	64	0	4	0	0	18	32	32	17	11	18	1	0	5
SP96136	64	0	15	63	241	98	53	70	0	0	53	128	5	112	198	19	27	0	6
SP967	52	0	0	142	11	29	8	0	0	0	9	0	7	13	1	16	5	0	0
SP1781	65	52	6	355	18	49	4	1	3	1	8	95	7	0	17	15	22	93	5
SP1174	310	100	3	276	23	10	141	27	0	0	18	15	45	0	1	0	34	0	15
SP953	90	8	36	171	0	224	0	0	2	6	71	57	0	0	38	1	1	174	13
SP1377	1	42	0	130	21	33	35	8	0	1	7	16	13	0	0	15	6	46	7
SP1365	45	47	0	173	129	58	0	3	0	3	48	55	126	0	29	0	15	24	3
SP1491	46	22	0	84	142	12	80	55	0	0	0	9	24	0	152	13	13	0	4
CPCT02060013T	61	0	4	47	643	52	253	90	21	63	80	63	174	0	0	5	99	0	15
CPCT02100026T	101	48	2	80	25	83	0	39	9	53	25	5	6	0	18	12	7	51	9
CPCT02070020T	221	294	8	44	43	34	66	92	30	60	86	146	15	0	64	67	68	0	26
CPCT02030269T	19	0	2	101	16	0	70	13	34	42	15	19	24	26	28	10	13	0	0
CPCT02010944TIII	40	41	26	77	18	122	97	24	61	16	40	41	33	0	15	31	27	0	10
CPCT02020867T	41	92	4	29	112	0	0	299	68	56	38	57	79	0	0	42	8	0	306
CPCT02070272T	363	367	0	230	478	116	176	211	130	114	61	24	0	0	310	54	24	0	18
CPCT02020648T	37	45	26	85	42	134	63	31	101	31	37	118	0	0	62	5	35	7	5
CPCT02020362T	90	235	22	239	57	55	0	0	209	51	30	64	0	0	8	150	21	0	26
CPCT02440020T	71	485	2	176	56	35	0	33	43	27	26	40	33	233	35	19	12	0	15
CPCT02210077T	155	276	14	53	0	214	35	21	62	19	48	60	0	73	34	58	21	0	33
CPCT02070445T	176	192	11	78	4	0	95	9	80	11	27	116	0	0	17	12	15	14	17
CPCT02020894T	116	102	15	66	27	57	0	2	83	0	16	18	11	0	28	24	15	121	20
CPCT02020896T	153	18	13	40	11	19	0	0	0	26	20	54	82	32	0	18	25	0	16
CPCT02140101T	21	307	47	203	75	249	102	29	101	35	78	200	0	0	10	466	42	0	28
CPCT02210040T	249	203	14	228	0	10	0	0	28	20	170	4	0	0	14	2	25	97	47
DRUP01010020T	50425	12415	7988	190	0	384	2171	0	0	135	308	0	0	0	0	0	110	0	37
CPCT02020902T	105	0	0	35	245	21	158	87	117	39	13	57	0	200	219	19	29	0	39
CPCT02070443T	189	123	0	19	8	0	50	46	97	10	10	38	12	115	0	4	32	99	11
