Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP1086	29	82	172	50	59	59	4
SP1003	75	163	161	62	35	151	1
SP1677	23	100	334	64	0	110	1
SP1305	63	165	301	1004	118	124	51
SP963	23	91	194	88	88	46	0
SP1144	19	56	167	59	76	12	0
SP1132	34	59	596	74	75	0	2
SP1712	0	189	40	7	56	10	6
SP1114	12	122	408	7	0	25	4
SP1431	23	264	23	19	48	19	0
SP975	46	194	0	939	60	86	34
SP1059	74	104	499	66	166	193	1
SP1419	159	197	47	51	238	87	0
SP1009	8	146	147	40	73	83	12
SP1724	13	67	134	23	25	31	0
SP96136	87	106	269	436	166	81	7
SP967	45	177	40	14	0	17	0
SP1781	43	446	158	31	127	8	3
SP1174	368	454	2	51	87	56	0
SP953	114	191	410	6	43	117	11
SP1377	0	214	70	31	45	19	2
SP1365	28	243	168	177	30	106	6
SP1491	68	141	28	332	87	0	0
CPCT02060013T	143	55	184	801	149	227	111
CPCT02100026T	113	134	123	67	20	40	76
CPCT02070020T	251	310	147	119	330	121	86
CPCT02030269T	41	138	22	43	83	33	72
CPCT02010944TIII	88	132	221	34	117	85	42
CPCT02020867T	66	120	0	308	598	54	85
CPCT02070272T	432	676	171	923	149	109	216
CPCT02020648T	73	116	288	85	183	48	71
CPCT02020362T	90	534	182	34	231	46	140
CPCT02440020T	42	894	91	112	88	48	66
CPCT02210077T	187	381	356	18	110	75	49
CPCT02070445T	221	270	81	3	238	22	39
CPCT02020894T	144	193	124	39	145	49	27
CPCT02020896T	171	56	91	11	115	49	34
CPCT02140101T	54	519	653	49	526	105	87
CPCT02210040T	260	489	20	0	30	278	34
DRUP01010020T	61798	10993	554	0	0	646	172
CPCT02020902T	188	162	93	479	311	44	106
CPCT02070443T	245	224	33	27	248	45	41
CPCT02080295T	235	864	34	8	0	442	64
CPCT02020916T	141	23	402	41	245	63	52
CPCT02020915T	84	246	31	12	124	17	46
CPCT02160036T	56	191	6	50	110	24	129
CPCT02120184T	127	131	261	294	138	160	29
CPCT02050315T	8	114	77	5	127	41	99
CPCT02120182T	65	193	126	51	108	38	49
CPCT02020940T	3	70	82	57	135	115	33
CPCT02010712T	406	1131	0	22	247	92	195
CPCT02070294T	82	90	2	27	226	31	143
CPCT02070299T	466	323	583	52	3	108	162
CPCT02050437T	293	779	152	59	181	61	69
CPCT02050436T	115	30	1259	118	116	26	98
CPCT02020952T	284	299	104	27	305	34	37
CPCT02020642TII	414	235	217	1588	753	155	225
CPCT02020958T	66	59	574	22	37	51	62
