MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	1.80E-04	2.37E-03	4.70E-03	1.14E-03	2.68E-03	7.60E-03	2.19E-03	3.93E-03	3.86E-03	4.08E-03	5.26E-03	2.03E-03	4.32E-03	6.51E-03	7.68E-03	2.56E-03
1:Del:C:1	2.51E-04	1.78E-03	2.43E-03	9.06E-04	9.35E-04	4.24E-03	6.15E-04	2.57E-03	1.75E-03	3.37E-03	4.34E-03	1.19E-03	3.72E-03	4.08E-03	3.80E-03	1.01E-03
1:Del:C:2	3.61E-04	1.25E-03	1.93E-03	2.73E-04	4.55E-05	3.68E-03	5.41E-04	1.56E-03	9.37E-04	1.71E-03	2.69E-03	8.85E-04	1.08E-03	2.70E-03	2.28E-03	8.99E-04
1:Del:C:3	2.87E-04	5.53E-04	9.42E-04	2.50E-04	3.30E-04	1.81E-03	4.08E-04	7.62E-04	5.80E-04	1.45E-03	1.69E-03	2.39E-04	8.99E-04	1.12E-03	1.72E-03	7.22E-04
1:Del:C:4	1.20E-04	1.77E-04	7.99E-04	1.08E-04	4.24E-04	1.70E-03	1.72E-04	5.68E-04	5.75E-04	8.38E-04	1.28E-03	4.78E-04	5.45E-04	1.09E-03	1.19E-03	2.23E-04
1:Del:C:5	6.52E-05	1.03E-04	6.18E-04	3.37E-04	5.42E-04	1.73E-03	1.39E-04	9.61E-04	1.16E-03	9.68E-04	1.67E-03	1.74E-04	3.52E-04	7.67E-04	6.91E-04	3.46E-04
1:Del:T:0	8.30E-04	2.54E-03	3.43E-03	7.90E-04	1.41E-03	7.73E-03	6.41E-04	3.35E-03	2.98E-03	2.75E-03	4.26E-03	7.34E-04	2.84E-03	4.39E-03	3.97E-03	1.19E-03
1:Del:T:1	6.66E-05	2.72E-03	6.88E-04	1.94E-05	1.05E-04	3.50E-03	2.50E-04	7.05E-04	7.11E-03	1.06E-03	1.92E-03	9.21E-04	7.15E-04	2.12E-03	1.68E-03	4.42E-04
1:Del:T:2	2.76E-04	1.55E-03	2.94E-03	3.73E-04	8.18E-04	4.61E-03	9.84E-04	1.96E-03	1.56E-03	3.55E-03	3.66E-03	7.29E-04	1.31E-03	4.38E-03	3.09E-03	9.36E-04
1:Del:T:3	4.11E-04	1.36E-03	4.25E-03	4.89E-04	1.48E-03	3.91E-03	1.20E-03	1.56E-03	2.26E-03	2.98E-03	2.68E-03	1.59E-03	2.39E-03	5.36E-03	1.83E-03	7.53E-04
1:Del:T:4	4.22E-04	6.89E-04	2.98E-03	1.60E-04	1.40E-03	2.48E-03	8.63E-04	8.77E-04	1.57E-03	2.18E-03	1.50E-03	1.01E-03	1.39E-03	3.17E-03	5.13E-03	6.48E-04
1:Del:T:5	1.69E-03	1.90E-03	3.22E-03	5.38E-04	7.48E-03	3.17E-03	1.95E-03	2.37E-03	9.57E-04	4.71E-03	4.40E-03	3.84E-03	2.27E-03	4.02E-03	2.78E-03	1.22E-03
1:Ins:C:0	4.32E-08	1.41E-04	2.99E-07	2.14E-05	2.86E-04	1.39E-03	3.67E-04	1.31E-03	1.18E-03	2.81E-04	5.07E-04	3.18E-05	6.55E-04	7.57E-04	2.10E-04	6.36E-03
