NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	106.238	36.248	19.195	26.465	10.53	0.94	1000000.0
2	106.017	36.321	19.197	26.662	10.471	0.937	1000000.0
3	105.435	35.878	18.871	26.165	20.849	0.941	1000000.0
4	106.394	36.303	19.484	26.574	10.487	0.94	1000000.0
5	105.992	35.991	19.22	26.412	13.949	0.942	1000000.0
6	106.27	36.122	19.36	26.44	7.144	0.942	1000000.0
7	106.122	35.895	19.162	26.246	10.573	0.941	1000000.0
8	105.811	35.968	19.165	26.074	17.468	0.942	1000000.0
9	105.164	35.884	18.935	26.102	10.716	0.942	1000000.0
10	105.851	35.823	19.241	26.249	7.122	0.943	1000000.0
11	106.558	36.258	19.337	26.713	10.474	0.939	1000000.0
12	105.782	36.078	19.279	26.45	10.483	0.942	1000000.0
13	106.633	36.537	19.225	26.631	20.75	0.939	1000000.0
14	105.732	35.946	19.063	26.004	13.908	0.943	1000000.0
15	106.179	35.754	19.468	26.303	0.299	0.941	1000000.0
16	105.942	35.854	19.016	26.281	7.192	0.943	1000000.0
17	107.044	36.215	19.533	26.613	10.504	0.94	1000000.0
18	106.391	35.903	19.293	26.491	3.746	0.942	1000000.0
19	106.993	35.976	19.545	26.27	7.043	0.943	1000000.0
20	105.499	35.95	19.139	26.343	13.912	0.942	1000000.0
21	105.809	36.007	19.365	26.694	7.13	0.938	1000000.0
22	107.165	36.253	19.301	26.56	13.97	0.941	1000000.0
23	106.275	36.368	19.263	26.532	24.27	0.94	1000000.0
24	106.731	36.414	19.312	26.629	3.739	0.939	1000000.0
25	106.17	35.741	19.312	26.259	10.589	0.943	1000000.0
26	105.628	35.94	19.061	26.29	17.441	0.941	1000000.0
27	105.899	36.213	19.189	26.553	10.604	0.94	1000000.0
28	105.703	35.959	19.129	26.458	34.488	0.941	1000000.0
29	106.05	35.818	19.184	26.224	7.111	0.943	1000000.0
30	106.459	36.22	19.222	26.475	17.427	0.938	1000000.0
31	106.067	36.447	19.117	26.516	13.963	0.939	1000000.0
32	106.084	36.081	19.246	26.28	27.592	0.941	1000000.0
33	105.237	35.667	19.054	26.209	7.097	0.941	1000000.0
34	107.079	36.143	19.352	26.299	10.55	0.942	1000000.0
