Samples	ID83A	ID83B
SP116536	45	55
SP116539	17	6
SP116542	12	18
SP116545	17	12
SP116548	13	27
SP116550	3	3
SP116553	4	31
SP116557	9	0
SP116559	16	24
SP116562	8	38
SP116564	19	27
SP116571	10	16
SP116393	2	0
SP116442	4	0
SP116446	3	7
SP116419	99	32
SP116383	276	227
SP116385	55	171
SP116440	63	116
SP116450	171	273
SP116493	8	75
SP116391	17	57
SP116401	35	31
SP116409	23	121
SP116416	21	10
SP116424	22	12
SP116515	84	10
SP116499	89	69
SP116505	0	278
SP116509	93	89
SP116437	41	24
SP116512	196	190
SP116465	78	114
SP116496	386	166
SP116525	155	99
SP116481	12	29
SP116586	56	19
SP116528	0	375
SP116589	183	212
SP116406	61	56
SP116484	25	18
SP116453	52	47
SP116469	364	68
SP116578	681	38
SP116531	2	96
SP116593	42	20
SP116487	12	18
SP116456	29	20
SP116472	77	162
SP116518	90	477
SP116412	22	81
SP116534	47	42
SP116596	310	88
SP116490	46	111
SP116459	83	118
SP116475	14	99
SP116520	146	106
SP116431	111	173
SP116582	97	296
SP116599	14	145
SP116478	69	100
SP116462	16	86
SP116523	9	118
SP116434	12	15
SP122725	68	227
SP122476	202	77
SP122372	287	0
SP122489	68	113
SP122560	56	127
SP122590	122	71
SP122714	87	61
SP121870	44	182
SP123010	60	218
SP121865	125	89
SP122676	28	343
SP122412	109	79
SP122392	346	414
SP122634	110	107
SP122702	150	126
SP121828	120	89
SP121783	200	42
SP121774	277	172
SP121790	153	78
SP121859	124	106
SP121808	85	47
SP121781	338	216
SP121763	115	46
SP121811	151	50
SP121852	147	108
SP122361	249	440
SP121837	122	32
SP121824	113	4
SP121841	77	39
SP121831	104	116
SP121761	185	199
SP121816	171	97
SP121861	12	4
SP121847	136	109
DRUP01010001T	326	232
CPCT02010424T	364	287
CPCT02010349T	101	43
CPCT02020325T	123	218
CPCT02030246T	203	157
CPCT02070010T	65	232
CPCT02010370T	190	63
CPCT02010369T	513	453
CPCT02070013T	613	282
CPCT02060018T	93	186
CPCT02060022T	122	202
CPCT02070009T	239	342
CPCT02010398T	561	130
CPCT02010408T	181	203
CPCT02030246TII	161	224
CPCT02010386T	145	470
CPCT02020309T	181	396
CPCT02080045T	989	271
CPCT02020398T	132	134
CPCT02010392T	230	34
CPCT02090003T	82	280
CPCT02060274T	147	393
CPCT02020650T	500	230
CPCT02080181T	180	203
DRUP01340015T	319	341
CPCT02070436T	2277	522
CPCT02050225TII	123	259
DRUP01070031T	0	375
CPCT02070278T	97	127
CPCT02010732T	146	354
CPCT02060181T	166	182
CPCT02080175T	232	283
CPCT02020903T	178	137
CPCT02070441T	44	309
CPCT02080181TII	239	298
CPCT02070290T	222	284
DRUP01090011T	160	245
CPCT02080297T	184	162
CPCT02010680T	183	120
CPCT02090064T	54	206
CPCT02020937T	17	322
CPCT02090065T	125	304
CPCT02060191T	566	342
CPCT02060192T	243	68
CPCT02011090T	80	103
CPCT02070463T	190	149
CPCT02011094T	86	76
CPCT02030458T	183	95
CPCT02060282T	24	122
DRUP01090012T	53	382
CPCT02090042T	143	167
CPCT02340078T	100	53
WIDE01010040T	763	129
CPCT02020683T	1180	190
CPCT02020691T	431	393
DRUP01010077T	104	325
DRUP01050021T	1516	2314
CPCT02080206T	101	94
CPCT02060292T	380	263
CPCT02060290T	93	73
CPCT02090044T	1038	269
WIDE01010138T	239	229
CPCT02130062T	272	215
WIDE01010160T	168	423
CPCT02020706T	186	23
