Samples	ID83A	ID83B
SP116536	9.17E-01	9.18E-01
SP116539	3.21E-01	3.21E-01
SP116542	5.42E-01	5.42E-01
SP116545	5.92E-01	5.90E-01
SP116548	5.72E-01	5.72E-01
SP116550	2.19E-01	2.19E-01
SP116553	4.50E-01	4.50E-01
SP116557	3.03E-01	3.03E-01
SP116559	6.91E-01	6.91E-01
SP116562	4.33E-01	4.34E-01
SP116564	6.54E-01	6.55E-01
SP116571	3.71E-01	3.71E-01
SP116393	7.18E-02	7.18E-02
SP116442	1.45E-01	1.45E-01
SP116446	2.28E-01	2.28E-01
SP116419	1.33E+00	1.33E+00
SP116383	1.87E+00	1.87E+00
SP116385	1.07E+00	1.07E+00
SP116440	1.21E+00	1.21E+00
SP116450	1.79E+00	1.79E+00
SP116493	7.04E-01	7.04E-01
SP116391	7.12E-01	7.12E-01
SP116401	6.92E-01	6.91E-01
SP116409	9.54E-01	9.54E-01
SP116416	5.26E-01	5.26E-01
SP116424	5.24E-01	5.23E-01
SP116515	6.68E-01	6.68E-01
SP116499	1.16E+00	1.16E+00
SP116505	7.12E-01	7.11E-01
SP116509	1.26E+00	1.26E+00
SP116437	7.33E-01	7.33E-01
SP116512	3.48E+00	3.48E+00
SP116465	1.65E+00	1.65E+00
SP116496	2.03E+00	2.03E+00
SP116525	1.40E+00	1.40E+00
SP116481	5.18E-01	5.18E-01
SP116586	7.12E-01	7.12E-01
SP116528	1.25E+00	1.25E+00
SP116589	1.54E+00	1.54E+00
SP116406	1.07E+00	1.07E+00
SP116484	7.50E-01	7.50E-01
SP116453	1.03E+00	1.03E+00
SP116469	1.20E+00	1.20E+00
SP116578	1.37E+00	1.38E+00
SP116531	7.22E-01	7.22E-01
SP116593	8.65E-01	8.65E-01
SP116487	4.65E-01	4.66E-01
SP116456	8.84E-01	8.84E-01
SP116472	1.26E+00	1.26E+00
SP116518	2.01E+00	2.01E+00
SP116412	7.80E-01	7.78E-01
SP116534	6.54E-01	6.54E-01
SP116596	1.41E+00	1.41E+00
SP116490	9.73E-01	9.74E-01
SP116459	1.38E+00	1.38E+00
SP116475	7.88E-01	7.88E-01
SP116520	1.60E+00	1.60E+00
SP116431	1.62E+00	1.62E+00
SP116582	1.68E+00	1.68E+00
SP116599	8.25E-01	8.24E-01
SP116478	1.35E+00	1.35E+00
SP116462	8.45E-01	8.45E-01
SP116523	6.98E-01	6.96E-01
SP116434	3.94E-01	3.94E-01
SP122725	1.47E+00	1.47E+00
SP122476	1.43E+00	1.43E+00
SP122372	2.79E-01	2.79E-01
SP122489	1.34E+00	1.34E+00
SP122560	1.11E+00	1.11E+00
SP122590	1.49E+00	1.49E+00
SP122714	1.00E+00	1.00E+00
SP121870	1.09E+00	1.09E+00
SP123010	1.36E+00	1.36E+00
SP121865	1.36E+00	1.35E+00
SP122676	1.43E+00	1.43E+00
SP122412	1.14E+00	1.14E+00
SP122392	2.10E+00	2.10E+00
SP122634	1.39E+00	1.39E+00
SP122702	1.74E+00	1.74E+00
SP121828	1.34E+00	1.34E+00
SP121783	1.22E+00	1.22E+00
SP121774	2.33E+00	2.33E+00
SP121790	1.51E+00	1.51E+00
SP121859	1.52E+00	1.52E+00
SP121808	9.07E-01	9.07E-01
SP121781	2.54E+00	2.54E+00
SP121763	9.40E-01	9.40E-01
SP121811	8.30E-01	8.29E-01
SP121852	1.51E+00	1.51E+00
SP122361	3.53E+00	3.53E+00
SP121837	1.04E+00	1.04E+00
SP121824	2.94E-01	2.94E-01
SP121841	9.02E-01	9.02E-01
SP121831	1.53E+00	1.53E+00
SP121761	2.15E+00	2.14E+00
