Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP116536	9.42E-01	6.71E-01	1.10E+00	0.00E+00	7.19E-01	9.77E-01
SP116539	5.30E-01	1.41E-01	4.10E-01	7.50E-02	3.61E-01	1.46E-01
SP116542	4.93E-01	2.76E-01	4.01E-01	5.84E-02	0.00E+00	5.67E-01
SP116545	6.98E-01	2.23E-01	7.15E-01	0.00E+00	1.31E-01	5.67E-01
SP116548	6.56E-01	3.66E-01	5.64E-01	0.00E+00	1.55E-01	5.45E-01
SP116550	1.71E-01	8.39E-02	8.59E-02	0.00E+00	1.04E-01	1.72E-01
SP116553	3.76E-01	4.48E-01	2.51E-01	1.50E-01	2.84E-01	5.34E-01
SP116557	1.19E-01	0.00E+00	6.82E-02	1.73E-01	2.17E-01	2.53E-01
SP116559	8.88E-01	4.07E-01	7.39E-01	6.14E-02	3.94E-02	8.34E-01
SP116562	5.41E-01	4.65E-01	2.76E-01	1.76E-01	4.44E-01	5.00E-01
SP116564	3.28E-01	4.26E-01	5.62E-01	2.28E-01	4.44E-01	4.97E-01
SP116571	2.85E-01	2.61E-01	3.97E-01	7.94E-02	1.75E-01	3.42E-01
SP116393	2.00E-02	1.00E-02	0.00E+00	7.59E-02	7.56E-02	8.29E-02
SP116442	1.38E-01	0.00E+00	1.46E-01	0.00E+00	0.00E+00	1.68E-01
SP116446	8.91E-02	1.64E-01	1.17E-01	1.82E-01	1.25E-01	2.74E-01
SP116419	2.29E+00	4.31E-01	2.09E+00	1.71E-02	6.82E-01	1.79E+00
SP116383	4.82E+00	2.33E+00	2.55E+00	2.74E-01	4.84E+00	1.73E+00
SP116385	1.28E+00	1.12E+00	1.21E+00	1.08E-01	1.20E+00	1.37E+00
SP116440	1.22E+00	8.75E-01	8.57E-01	0.00E+00	1.03E+00	1.28E+00
SP116450	4.99E+00	1.90E+00	1.69E+00	2.27E-01	5.30E+00	2.03E+00
SP116493	1.09E+00	6.60E-01	8.06E-01	0.00E+00	2.90E-01	1.06E+00
SP116391	8.65E-01	6.05E-01	8.61E-01	5.09E-02	3.84E-01	7.24E-01
SP116401	9.26E-01	5.43E-01	4.57E-01	8.29E-02	7.14E-01	6.91E-01
SP116409	9.56E-01	8.96E-01	9.85E-01	0.00E+00	5.31E-01	1.16E+00
SP116416	6.10E-01	2.04E-01	5.04E-01	0.00E+00	2.91E-01	6.05E-01
SP116424	4.64E-01	2.35E-01	3.42E-01	0.00E+00	3.86E-01	5.42E-01
SP116515	1.13E+00	2.11E-01	9.01E-01	3.02E-01	1.34E+00	8.85E-01
SP116499	1.74E+00	7.43E-01	1.35E+00	5.50E-01	7.89E-01	1.29E+00
SP116505	8.58E-01	2.02E+00	2.01E+00	2.42E-01	5.83E-01	7.46E-01
SP116509	1.83E+00	1.03E+00	1.61E+00	3.33E-01	9.58E-01	1.63E+00
SP116437	9.33E-01	3.89E-01	8.48E-01	0.00E+00	5.40E-01	9.37E-01
SP116512	1.77E+00	1.36E+00	2.81E+00	0.00E+00	1.03E+00	3.17E+00
SP116465	1.97E-01	7.49E-01	1.89E+00	0.00E+00	9.06E-01	1.49E+00
SP116496	6.30E+00	1.33E+00	2.37E+00	1.00E-02	8.09E+00	2.51E+00
SP116525	2.15E+00	1.04E+00	1.89E+00	0.00E+00	1.59E+00	2.23E+00
SP116481	6.17E-01	5.00E-01	7.34E-01	1.67E-01	3.16E-01	4.23E-01
SP116586	1.66E+00	2.75E-01	1.25E+00	0.00E+00	5.88E-01	1.45E+00
SP116528	1.68E+00	1.64E+00	1.64E+00	0.00E+00	1.28E+00	1.63E+00
SP116589	2.51E+00	1.55E+00	3.04E+00	4.72E-01	2.32E+00	2.93E+00
SP116406	1.17E+00	6.26E-01	9.95E-01	1.00E-02	7.00E-01	1.20E+00
SP116484	9.96E-01	2.67E-01	8.50E-01	1.66E-01	2.79E-01	9.31E-01
SP116453	1.21E+00	5.82E-01	1.10E+00	9.00E-02	5.41E-01	1.37E+00
SP116469	7.98E+00	8.42E-01	1.48E+00	0.00E+00	8.31E+00	1.87E+00
SP116578	1.78E+01	1.23E+00	1.95E+00	2.00E-02	1.60E+01	2.46E+00
SP116531	1.31E+00	6.49E-01	9.01E-01	0.00E+00	2.06E-01	1.17E+00
SP116593	1.78E+00	2.89E-01	1.79E+00	1.77E-01	2.24E-01	1.39E+00
SP116487	3.51E-01	3.56E-01	3.03E-01	2.43E-02	4.31E-01	4.99E-01
