MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	5.25E-03	6.37E-04	4.30E-03	7.86E-04	1.27E-03	4.01E-03
1:Del:C:1	1.84E-03	5.90E-04	1.99E-03	5.38E-04	7.54E-04	1.57E-03
1:Del:C:2	5.40E-04	3.55E-04	7.77E-04	3.08E-04	3.98E-04	7.04E-04
1:Del:C:3	4.63E-04	2.25E-04	5.89E-04	2.41E-04	2.37E-04	5.67E-04
1:Del:C:4	4.05E-04	1.48E-04	3.65E-04	1.30E-04	1.70E-04	3.53E-04
1:Del:C:5	3.35E-04	1.18E-04	2.38E-04	1.81E-04	1.25E-04	2.53E-04
1:Del:T:0	1.23E-03	6.13E-04	1.75E-03	5.67E-04	1.32E-03	1.49E-03
1:Del:T:1	1.24E-03	3.76E-05	1.43E-03	5.03E-04	1.35E-03	7.95E-04
1:Del:T:2	1.37E-03	4.86E-04	1.64E-03	3.19E-04	5.36E-04	1.44E-03
1:Del:T:3	2.17E-03	3.75E-04	1.71E-03	3.75E-04	6.84E-04	1.60E-03
1:Del:T:4	1.66E-03	3.63E-04	1.07E-03	1.04E-04	8.71E-04	1.21E-03
1:Del:T:5	1.48E-03	3.77E-03	5.77E-03	3.61E-04	2.78E-03	5.13E-04
1:Ins:C:0	7.58E-04	1.57E-04	2.29E-04	5.54E-04	2.11E-04	6.14E-04
1:Ins:C:1	3.17E-04	1.47E-04	1.42E-04	2.48E-04	1.02E-04	3.09E-04
1:Ins:C:2	1.56E-04	9.29E-05	2.95E-05	1.44E-04	1.24E-04	2.40E-04
1:Ins:C:3	1.15E-04	1.29E-04	5.45E-05	1.40E-04	7.04E-05	2.20E-04
1:Ins:C:4	8.81E-05	1.05E-04	1.17E-04	1.12E-04	3.63E-05	2.05E-04
1:Ins:C:5	2.80E-04	2.29E-04	3.22E-04	2.06E-04	8.92E-05	3.13E-04
1:Ins:T:0	8.59E-04	2.72E-04	3.58E-04	4.82E-04	1.17E-04	4.61E-04
1:Ins:T:1	6.69E-04	3.94E-04	2.17E-04	4.16E-04	2.42E-04	5.89E-04
1:Ins:T:2	3.85E-04	2.43E-04	3.09E-04	2.73E-04	1.81E-04	2.73E-04
1:Ins:T:3	3.66E-04	1.89E-04	2.33E-04	2.26E-04	8.04E-05	2.67E-04
1:Ins:T:4	1.64E-04	1.68E-04	2.00E-04	1.18E-04	1.45E-04	1.99E-04
1:Ins:T:5	1.44E-03	2.19E-03	6.78E-03	1.08E-03	2.03E-03	2.12E-03
2:Del:R:0	7.67E-04	3.21E-04	3.15E-04	3.60E-04	8.33E-04	9.84E-04
2:Del:R:1	6.92E-04	4.01E-04	5.97E-04	3.27E-04	5.16E-04	1.71E-03
2:Del:R:2	1.15E-04	9.77E-05	1.97E-04	1.49E-04	1.19E-04	4.22E-04
2:Del:R:3	1.01E-04	8.09E-05	1.20E-04	1.16E-04	1.24E-04	2.44E-04
2:Del:R:4	2.96E-05	9.32E-05	7.48E-05	1.00E-04	5.10E-05	1.67E-04
2:Del:R:5	2.42E-04	1.99E-04	1.31E-04	2.25E-04	9.84E-05	3.94E-04
3:Del:R:0	7.53E-04	1.80E-04	9.61E-05	1.57E-04	7.48E-04	2.69E-04
3:Del:R:1	1.49E-04	2.36E-04	3.20E-04	2.56E-04	1.91E-04	9.35E-04
3:Del:R:2	3.34E-05	1.21E-04	1.68E-04	3.88E-05	9.21E-05	2.77E-04
