MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	6.81E-04	5.38E-04	8.91E-04	8.06E-04	1.48E-03	7.64E-04	1.64E-03	1.30E-03
1:Del:C:1	3.90E-04	4.44E-04	4.60E-04	5.89E-04	8.45E-04	4.85E-04	1.18E-03	9.15E-04
1:Del:C:2	2.67E-04	2.72E-04	2.80E-47	3.24E-04	4.35E-04	3.13E-04	6.05E-04	5.42E-04
1:Del:C:3	1.76E-04	1.94E-04	1.50E-04	2.57E-04	3.52E-04	2.84E-04	3.47E-04	4.44E-04
1:Del:C:4	1.40E-04	1.52E-04	1.90E-04	1.82E-04	2.75E-04	1.96E-04	3.04E-04	3.67E-04
1:Del:C:5	1.31E-04	9.09E-05	2.22E-04	1.98E-04	2.95E-04	1.36E-04	1.24E-04	5.73E-04
1:Del:T:0	4.54E-04	4.27E-04	4.96E-04	5.40E-04	7.35E-04	5.12E-04	9.53E-04	1.15E-03
1:Del:T:1	9.68E-04	0.00E+00	9.81E-04	0.00E+00	7.98E-04	2.31E-05	7.11E-05	4.37E-03
1:Del:T:2	3.37E-04	3.88E-04	4.23E-04	4.11E-04	6.53E-04	4.41E-04	6.91E-04	8.61E-04
1:Del:T:3	4.00E-04	3.47E-04	5.61E-04	4.26E-04	7.15E-04	4.83E-04	7.57E-04	6.31E-04
1:Del:T:4	2.46E-04	3.28E-04	5.89E-04	1.46E-04	5.86E-04	4.18E-04	6.31E-04	5.03E-04
1:Del:T:5	1.08E-03	1.53E-03	2.91E-03	6.00E-04	2.08E-03	2.52E-03	1.51E-03	1.04E-03
1:Ins:C:0	1.67E-04	1.96E-04	2.05E-04	3.54E-04	1.61E-04	2.96E-04	2.52E-04	8.44E-04
1:Ins:C:1	1.17E-04	1.71E-04	1.65E-04	1.84E-04	1.64E-04	1.40E-04	2.64E-04	4.62E-04
1:Ins:C:2	1.01E-04	9.71E-05	0.00E+00	1.61E-04	1.74E-04	1.33E-04	2.74E-04	4.36E-04
1:Ins:C:3	6.81E-05	1.36E-04	6.80E-05	1.57E-04	4.14E-05	6.74E-05	2.87E-04	2.69E-04
1:Ins:C:4	4.89E-05	1.21E-04	1.55E-04	1.31E-04	7.39E-05	3.94E-05	2.39E-04	2.61E-04
1:Ins:C:5	1.06E-04	2.71E-04	3.29E-04	2.04E-04	2.30E-04	8.93E-05	3.39E-04	5.01E-04
1:Ins:T:0	1.66E-04	3.05E-04	4.55E-04	4.04E-04	2.52E-04	2.48E-04	1.66E-04	1.04E-03
1:Ins:T:1	2.03E-04	3.93E-04	0.00E+00	3.55E-04	4.27E-04	2.97E-04	7.93E-04	9.61E-04
1:Ins:T:2	1.70E-04	2.32E-04	2.00E-04	2.58E-04	2.90E-04	1.17E-04	1.40E-47	7.38E-04
1:Ins:T:3	1.34E-04	2.01E-04	2.29E-04	2.56E-04	2.58E-04	1.47E-04	4.06E-04	6.45E-04
1:Ins:T:4	1.03E-04	1.86E-04	2.18E-04	3.72E-05	1.99E-04	1.68E-04	2.09E-04	3.38E-04
1:Ins:T:5	8.76E-04	2.34E-03	4.37E-03	2.82E-04	1.80E-03	1.24E-03	6.82E-04	1.63E-03
2:Del:R:0	2.52E-04	3.13E-04	2.06E-04	3.52E-04	3.45E-04	2.88E-04	8.77E-04	4.85E-04
2:Del:R:1	2.68E-04	2.30E-04	3.77E-04	1.52E-04	1.35E-04	2.84E-04	9.67E-04	4.47E-04
2:Del:R:2	1.07E-04	3.65E-05	2.00E-04	1.73E-04	1.83E-04	9.63E-05	4.16E-04	1.96E-04
2:Del:R:3	1.52E-05	8.72E-05	6.02E-05	1.41E-04	1.37E-04	1.16E-04	3.36E-04	2.15E-04
2:Del:R:4	1.54E-05	1.09E-04	7.68E-05	1.21E-04	7.03E-05	6.12E-05	2.28E-04	1.56E-04
2:Del:R:5	0.00E+00	2.10E-04	6.18E-05	2.58E-04	2.45E-04	1.14E-04	7.30E-04	7.53E-04
