MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	7.95E-04	5.08E-04	1.52E-03	1.50E-03	8.91E-04	9.77E-04	2.22E-03	2.39E-03	1.90E-03
1:Del:C:1	4.18E-04	5.41E-04	7.10E-04	9.17E-04	6.29E-04	5.16E-04	2.44E-03	1.28E-03	1.39E-03
1:Del:C:2	3.06E-04	3.09E-04	1.40E-47	5.13E-04	3.30E-04	3.37E-04	9.28E-04	5.77E-04	7.04E-04
1:Del:C:3	2.05E-04	2.35E-04	1.80E-04	3.43E-04	2.64E-04	3.10E-04	6.47E-04	4.35E-04	3.00E-04
1:Del:C:4	1.56E-04	1.76E-04	2.33E-04	3.03E-04	1.88E-04	2.05E-04	4.17E-04	5.86E-04	3.73E-04
1:Del:C:5	1.63E-04	1.08E-04	2.86E-04	3.40E-04	2.32E-04	1.56E-04	5.02E-04	7.04E-04	1.91E-04
1:Del:T:0	5.17E-04	5.73E-04	5.54E-04	8.43E-04	5.97E-04	5.54E-04	2.00E-03	1.68E-03	1.02E-03
1:Del:T:1	1.42E-03	7.39E-06	7.15E-04	1.13E-03	9.53E-09	6.84E-05	2.43E-04	6.30E-03	7.57E-04
1:Del:T:2	3.94E-04	4.77E-04	5.72E-04	6.76E-04	4.33E-04	4.94E-04	1.08E-03	1.33E-03	7.90E-04
1:Del:T:3	4.47E-04	3.57E-04	8.34E-04	7.46E-04	4.40E-04	5.30E-04	7.52E-04	1.18E-03	1.00E-03
1:Del:T:4	2.71E-04	3.64E-04	7.86E-04	6.32E-04	1.26E-04	4.91E-04	9.27E-04	7.93E-04	8.23E-04
1:Del:T:5	1.13E-03	1.39E-03	4.59E-03	2.48E-03	5.65E-04	2.03E-03	3.72E-04	2.27E-03	2.52E-03
1:Ins:C:0	1.67E-04	8.64E-05	2.03E-04	1.29E-04	3.41E-04	2.99E-04	2.61E-03	2.58E-03	1.83E-04
1:Ins:C:1	1.28E-04	1.76E-04	1.99E-04	1.72E-04	1.88E-04	1.37E-04	1.16E-03	1.03E-03	2.65E-04
1:Ins:C:2	1.15E-04	6.51E-05	0.00E+00	1.82E-04	1.81E-04	1.35E-04	5.31E-04	4.74E-04	2.01E-04
1:Ins:C:3	7.86E-05	1.44E-04	6.92E-05	4.15E-05	1.73E-04	5.89E-05	4.12E-04	2.73E-04	3.20E-04
1:Ins:C:4	6.82E-05	1.17E-04	1.51E-04	8.39E-05	1.25E-04	2.15E-05	6.28E-04	3.55E-04	3.61E-04
1:Ins:C:5	1.32E-04	3.31E-04	3.64E-04	2.39E-04	1.98E-04	7.21E-05	1.05E-03	4.99E-04	3.93E-04
1:Ins:T:0	1.20E-04	3.74E-04	5.14E-04	2.50E-04	4.54E-04	2.42E-04	2.54E-03	1.94E-03	2.73E-04
1:Ins:T:1	2.58E-04	4.57E-04	0.00E+00	4.67E-04	4.36E-04	2.77E-04	1.78E-03	1.64E-03	8.86E-04
1:Ins:T:2	1.96E-04	2.89E-04	2.23E-04	3.49E-04	3.04E-04	1.05E-04	1.34E-03	9.23E-04	0.00E+00
1:Ins:T:3	1.29E-04	2.06E-04	2.11E-04	2.75E-04	3.03E-04	1.55E-04	7.32E-04	6.79E-04	5.14E-04
1:Ins:T:4	1.10E-04	2.27E-04	2.88E-04	2.04E-04	3.59E-05	1.80E-04	4.06E-04	3.44E-04	2.36E-04
1:Ins:T:5	5.34E-04	3.32E-03	5.78E-03	1.97E-03	7.00E-04	1.84E-03	8.54E-04	3.36E-03	2.13E-03
2:Del:R:0	3.07E-04	2.99E-04	2.42E-04	3.62E-04	4.37E-04	2.71E-04	9.18E-04	4.32E-04	1.60E-03
