Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP116536	30	15	19	0	23	0	0	13
SP116539	0	0	5	0	6	5	0	7
SP116542	0	4	3	0	11	0	12	0
SP116545	0	0	8	0	21	0	0	0
SP116548	6	8	6	0	7	0	7	6
SP116550	2	1	0	0	2	0	1	0
SP116553	6	18	0	0	11	0	0	0
SP116557	0	0	0	2	2	5	0	0
SP116559	0	7	5	0	15	0	6	7
SP116562	22	24	0	0	0	0	0	0
SP116564	3	4	11	2	2	7	13	4
SP116571	5	0	13	0	4	0	4	0
SP116393	0	0	0	0	0	2	0	0
SP116442	0	0	0	0	3	0	1	0
SP116446	0	1	2	0	0	0	4	3
SP116419	23	0	16	0	56	0	13	23
SP116383	184	26	155	5	29	51	43	10
SP116385	33	67	21	2	19	26	45	13
SP116440	40	36	24	0	13	0	36	30
SP116450	188	109	68	0	39	0	40	0
SP116493	0	36	0	0	25	0	12	10
SP116391	11	13	30	0	20	0	0	0
SP116401	32	15	0	0	9	0	10	0
SP116409	21	43	20	0	18	0	42	0
SP116416	0	0	5	0	11	4	5	6
SP116424	9	4	0	0	6	0	10	5
SP116515	31	0	11	0	30	13	0	9
SP116499	0	0	57	9	65	27	0	0
SP116505	0	154	96	0	28	0	0	0
SP116509	29	7	59	3	47	20	8	9
SP116437	20	8	4	0	22	0	0	11
SP116512	30	32	34	0	57	0	233	0
SP116465	0	0	59	0	0	17	116	0
SP116496	251	50	58	0	91	53	49	0
SP116525	83	15	53	0	78	0	25	0
SP116481	0	12	7	0	16	6	0	0
SP116586	11	3	7	0	35	11	8	0
SP116528	64	245	27	0	39	0	0	0
SP116589	106	75	66	0	94	54	0	0
SP116406	18	0	40	0	41	0	18	0
SP116484	0	0	9	3	24	0	7	0
SP116453	20	12	14	0	37	0	16	0
SP116469	237	26	17	0	76	38	38	0
SP116578	521	19	32	0	0	147	0	0
SP116531	0	46	8	0	27	0	17	0
SP116593	1	2	7	2	43	1	2	4
SP116487	0	9	0	0	6	9	6	0
SP116456	0	3	3	0	12	0	7	24
SP116472	21	34	77	5	28	47	20	7
SP116518	38	118	221	0	148	0	42	0
SP116412	0	21	40	0	42	0	0	0
SP116534	21	8	24	0	18	18	0	0
SP116596	135	27	14	0	114	27	33	48
SP116490	0	14	71	0	47	25	0	0
SP116459	41	30	47	0	58	0	25	0
SP116475	3	33	31	1	35	2	5	3
SP116520	53	15	58	0	126	0	0	0
SP116431	31	55	40	6	108	4	25	15
SP116582	77	120	74	0	74	48	0	0
SP116599	0	32	88	0	39	0	0	0
SP116478	0	17	54	0	98	0	0	0
SP116462	17	32	23	0	17	0	13	0
SP116523	23	47	37	0	20	0	0	0
SP116434	18	9	0	0	0	0	0	0
SP122725	46	71	65	0	41	18	54	0
SP122476	47	16	23	8	106	37	15	27
SP122372	232	0	0	0	55	0	0	0
SP122489	22	32	32	0	62	0	18	15
SP122560	33	49	29	2	36	23	6	5
SP122590	36	10	34	1	82	11	17	2
SP122714	21	17	11	4	51	13	25	6
SP121870	23	44	81	0	52	0	26	0
SP123010	47	90	23	3	41	13	57	4
SP121865	62	14	46	3	55	4	19	11
SP122676	16	150	55	5	98	23	17	7
SP122412	45	30	8	6	33	25	31	10
SP122392	86	139	95	5	140	197	92	6
SP122634	55	31	32	0	53	15	31	0
SP122702	39	30	34	5	95	6	24	43
SP121828	50	40	0	0	72	20	0	27
SP121783	90	0	23	0	100	29	0	0
SP121774	104	43	62	0	207	33	0	0
SP121790	32	11	34	2	112	23	9	8
SP121859	39	26	30	0	86	0	19	30
SP121808	39	16	5	3	25	2	18	24
SP121781	105	34	95	2	208	30	63	17
SP121763	54	16	10	0	47	21	13	0
SP121811	54	21	4	1	51	53	9	8
SP121852	65	31	33	6	73	24	1	22
SP122361	98	33	290	0	146	0	122	0
SP121837	54	7	11	2	37	16	18	9
SP121824	45	0	0	0	42	16	14	0
SP121841	30	0	31	0	55	0	0	0
SP121831	41	35	41	0	79	24	0	0
SP121761	54	72	34	3	175	22	21	3
SP121816	43	20	30	1	114	15	20	25
SP121861	9	2	0	0	0	0	0	5
SP121847	57	33	31	2	91	16	11	4
DRUP01010001T	122	68	47	27	81	52	109	52
CPCT02010424T	224	117	38	34	103	27	36	72
CPCT02010349T	34	12	7	9	22	9	30	21
CPCT02020325T	0	76	30	89	19	19	58	50
CPCT02030246T	45	45	42	69	64	30	41	24
CPCT02070010T	5	89	43	53	34	17	23	33
CPCT02010370T	52	0	45	37	78	41	0	0
CPCT02010369T	265	168	93	106	99	92	86	57
CPCT02070013T	416	86	115	90	91	62	20	15
CPCT02060018T	0	79	14	65	48	0	34	39
CPCT02060022T	46	74	37	54	32	7	44	30
CPCT02070009T	43	120	74	129	93	34	53	35
CPCT02010398T	420	24	93	154	0	0	0	0
CPCT02010408T	10	75	16	92	26	44	79	42
CPCT02030246TII	35	70	47	27	90	28	52	36
CPCT02010386T	72	180	128	66	132	21	11	5
CPCT02020309T	32	169	71	197	42	13	42	11
CPCT02080045T	678	51	167	43	105	129	51	36
CPCT02020398T	27	34	46	46	9	50	45	9
CPCT02010392T	91	0	17	131	0	0	25	0
CPCT02090003T	0	143	28	102	53	36	0	0
CPCT02060274T	45	119	125	55	42	55	30	69
CPCT02020650T	364	109	25	98	89	0	45	0
CPCT02080181T	44	68	32	56	75	6	56	46
DRUP01340015T	0	85	0	115	0	0	0	460
CPCT02070436T	178	115	299	166	11	1961	28	41
