MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	0.04797433	0.00720816	0.04637793	0.02279793	0.25390211	0.05431851	0.02515306	0.04086687
1:Del:C:1	0.04634326	0.01044412	0.01052830	0.01870055	0.10610604	0.01054772	0.04088492	0.02133724
1:Del:C:2	0.02615726	0.00894401	0.00000000	0.00497958	0.04372698	0.01474764	0.01458907	0.01341818
1:Del:C:3	0.01166258	0.00688533	0.00136836	0.00404369	0.02600781	0.00961482	0.00353613	0.01022869
1:Del:C:4	0.00602611	0.00240338	0.00377896	0.00203996	0.01953469	0.00213847	0.00547878	0.00337838
1:Del:C:5	0.00405657	0.00075835	0.01008039	0.00785396	0.01078726	0.00133849	0.00056269	0.01447070
1:Del:T:0	0.06552929	0.02306659	0.00711159	0.01484460	0.08633580	0.01135480	0.02453979	0.03861175
1:Del:T:1	0.06994558	0.00000000	0.01781750	0.00000000	0.01969642	0.00002310	0.00008275	0.13197156
1:Del:T:2	0.04113021	0.00907264	0.00812781	0.00603964	0.08689222	0.02419284	0.00753599	0.01961875
1:Del:T:3	0.02160547	0.00559783	0.02850388	0.00573072	0.10550884	0.02826862	0.01658179	0.01154880
1:Del:T:4	0.00802812	0.00623927	0.03662329	0.00092266	0.07891108	0.02509980	0.00787699	0.00587054
1:Del:T:5	0.01501517	0.02367436	0.42677839	0.00446490	0.01734056	0.02209687	0.00607028	0.00375015
1:Ins:C:0	0.00223223	0.00131579	0.00236200	0.00698260	0.00083609	0.00657775	0.00166910	0.07714981
1:Ins:C:1	0.00333259	0.00301273	0.00229987	0.00397226	0.00158415	0.00253747	0.00400290	0.02628648
1:Ins:C:2	0.00461184	0.00090213	0.00000000	0.00315436	0.00249249	0.00257785	0.00235051	0.01203935
1:Ins:C:3	0.00172711	0.00308746	0.00029801	0.00438590	0.00018252	0.00056822	0.00541166	0.00631268
1:Ins:C:4	0.00054588	0.00209732	0.00232324	0.00283060	0.00036227	0.00019841	0.00220025	0.00722810
1:Ins:C:5	0.00102764	0.02700934	0.01016358	0.00403468	0.00344194	0.00035163	0.00306909	0.01187846
1:Ins:T:0	0.00172237	0.00707135	0.01258796	0.01173202	0.00252801	0.00311483	0.00120022	0.08068423
1:Ins:T:1	0.00799076	0.01284324	0.00000000	0.01324772	0.01103178	0.00585372	0.02496887	0.05553983
1:Ins:T:2	0.00806228	0.00699278	0.00151180	0.00806848	0.00706899	0.00092599	0.00000000	0.03308913
1:Ins:T:3	0.00219120	0.00499527	0.00334978	0.00690592	0.00533928	0.00208031	0.00754628	0.02984524
1:Ins:T:4	0.00238939	0.01141442	0.00822003	0.00015290	0.00284932	0.00333132	0.00167085	0.01077630
1:Ins:T:5	0.01082981	0.64812914	0.23889775	0.00095012	0.01549417	0.00721345	0.00147858	0.00557030
2:Del:R:0	0.03044418	0.00478137	0.00144631	0.00772614	0.00675881	0.00432158	0.06459211	0.00562664
