Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP117956	2	12	3	6	11	8	1	0	0	22	4	0	0	25	5	6	19	3
SP117975	4	17	4	0	9	5	0	0	0	16	2	6	1	0	7	3	14	0
SP2149	20	21	7	150	205	42	0	6	44	13	35	0	7	22	19	7	2	8
SP117113	5	94	0	6	5	8	0	13	0	4	10	45	1	5	4	2	6	1
SP117245	2	17	0	4	15	13	0	0	0	23	8	19	1	23	6	9	16	3
SP117402	10	15	0	0	4	9	2	5	0	19	6	7	1	20	4	15	3	0
SP117136	9	55	1	9	0	0	0	3	0	13	2	14	0	14	15	10	5	2
SP117378	3	32	0	10	11	14	0	3	0	0	15	5	0	31	1	10	6	0
SP116947	5	26	0	3	5	13	2	4	13	13	9	0	1	14	12	24	6	4
SP117369	1	22	0	0	6	3	0	13	0	11	58	0	6	2	5	9	19	2
SP117244	4	44	2	0	1	5	3	0	0	12	7	14	1	4	0	2	3	2
SP117162	8	10	5	4	3	5	1	0	0	8	22	10	0	7	14	13	13	3
SP117079	0	21	0	5	13	2	1	0	0	26	10	0	0	24	9	8	7	2
SP117344	3	63	0	203	93	25	4	0	132	18	12	0	4	0	3	3	4	9
SP118074	99	161	18	16	15	32	3	13	0	5	12	27	0	17	15	28	4	15
SP117598	2	35	0	19	104	17	3	0	13	180	26	42	0	5	27	63	0	5
SP117312	4	27	0	1	2	9	0	0	0	9	7	12	0	23	20	1	1	4
SP118038	1	48	0	11	0	11	0	0	0	0	12	31	8	9	3	2	1	3
SP117552	7	20	0	0	7	2	2	2	0	7	5	0	0	9	9	7	9	5
SP118073	2	35	0	3	9	4	0	12	0	24	9	20	1	20	5	3	4	1
SP117933	4	18	0	4	6	5	0	0	5	3	4	0	0	9	5	7	12	2
SP118012	2	17	0	9	4	15	2	0	0	10	12	21	0	33	5	16	2	5
SP117108	5	39	0	0	7	2	0	0	4	12	3	31	0	2	11	8	0	0
SP117812	10	11	2	7	6	7	0	5	0	13	12	0	0	3	6	16	9	2
SP117354	17	50	1	17	27	16	4	0	0	6	12	0	10	26	7	16	25	8
SP117370	4	51	4	2	0	7	0	6	15	0	8	25	0	11	6	3	0	2
SP116991	12	32	6	0	23	6	2	10	10	13	7	8	1	15	6	4	12	6
SP117629	0	9	0	261	105	19	8	0	116	9	14	56	0	0	2	0	0	7
SP124199	19	51	0	3	9	16	0	1	6	8	4	30	0	11	8	19	1	0
SP124195	10	82	1	1	9	5	1	0	24	7	8	0	0	18	3	12	9	2
SP117850	9	21	5	1	10	11	2	0	0	17	5	28	0	0	6	6	5	0
SP117127	9	42	0	3	4	4	0	3	13	0	0	24	0	9	4	10	5	7
SP117614	7	6	8	0	10	26	0	7	7	32	17	0	2	12	13	18	9	5
SP116948	7	90	6	8	13	21	0	10	0	27	11	30	2	28	15	13	7	4
SP117409	4	35	14	280	120	61	7	0	60	32	22	0	0	30	5	24	24	10
SP117593	4	20	8	7	5	10	0	14	0	12	0	12	1	19	12	17	3	3
SP117372	6	21	0	1	8	17	0	0	17	15	28	0	7	16	3	4	0	0
