Samples	ID83A	ID83B
SP117956	4.51E-01	4.51E-01
SP117975	4.95E-01	4.94E-01
SP2149	7.13E-01	7.11E-01
SP117113	1.23E+00	1.23E+00
SP117245	3.93E-01	3.93E-01
SP117402	4.75E-01	4.75E-01
SP117136	8.47E-01	8.47E-01
SP117378	4.60E-01	4.60E-01
SP116947	5.49E-01	5.49E-01
SP117369	2.02E-01	2.02E-01
SP117244	8.34E-01	8.34E-01
SP117162	4.21E-01	4.21E-01
SP117079	2.41E-01	2.38E-01
SP117344	5.72E-01	5.73E-01
SP118074	1.65E+00	1.65E+00
SP117598	4.34E-01	4.35E-01
SP117312	4.55E-01	4.55E-01
SP118038	5.91E-01	5.91E-01
SP117552	4.96E-01	4.96E-01
SP118073	5.89E-01	5.90E-01
SP117933	3.66E-01	3.66E-01
SP118012	4.59E-01	4.59E-01
SP117108	6.85E-01	6.85E-01
SP117812	4.88E-01	4.88E-01
SP117354	8.63E-01	8.63E-01
SP117370	9.09E-01	9.07E-01
SP116991	7.03E-01	7.03E-01
SP117629	4.82E-01	4.82E-01
SP124199	7.85E-01	7.87E-01
SP124195	1.02E+00	1.02E+00
SP117850	5.65E-01	5.63E-01
SP117127	7.86E-01	7.86E-01
SP117614	6.00E-01	5.98E-01
SP116948	1.15E+00	1.15E+00
SP117409	6.49E-01	6.49E-01
SP117593	7.77E-01	7.77E-01
SP117372	5.29E-01	5.29E-01
SP118077	6.62E-01	6.62E-01
SP117840	8.73E-01	8.73E-01
SP117363	9.01E-01	9.01E-01
SP117887	5.22E-01	5.22E-01
SP116946	5.85E-01	5.86E-01
SP117901	4.43E-01	4.43E-01
SP117454	5.90E-01	5.90E-01
SP124197	8.97E-01	8.97E-01
SP117919	7.55E-01	7.55E-01
SP117250	4.72E-01	4.73E-01
SP117983	8.12E-01	8.12E-01
SP117676	4.24E-01	4.24E-01
SP117011	6.43E-01	6.43E-01
SP117057	5.78E-01	5.78E-01
SP117126	8.02E-01	8.02E-01
SP117728	8.38E-01	8.38E-01
SP117618	6.70E-01	6.70E-01
SP117257	3.52E-01	3.52E-01
SP116963	6.80E-01	6.80E-01
SP117078	1.32E+00	1.32E+00
SP117944	4.49E-01	4.49E-01
SP117639	1.06E+00	1.06E+00
SP117834	7.55E-01	7.55E-01
SP117105	1.00E+00	1.00E+00
SP117785	4.48E-01	4.48E-01
SP117882	6.02E-01	6.02E-01
SP117778	9.40E-01	9.40E-01
SP117032	5.48E-01	5.49E-01
SP117710	4.37E-01	4.37E-01
SP117538	7.69E-01	7.71E-01
SP124207	1.88E+00	1.88E+00
SP117800	7.04E-01	7.04E-01
SP117724	1.03E+00	1.03E+00
SP124193	3.86E-01	3.87E-01
SP2293	5.88E-01	5.88E-01
SP2357	7.76E-01	7.76E-01
SP2144	3.38E-01	3.38E-01
SP2145	7.03E-01	7.03E-01
SP2147	8.66E-01	8.66E-01
SP2146	3.70E-01	3.70E-01
SP2148	3.80E-01	3.80E-01
SP2150	5.60E-01	5.60E-01
SP2152	6.92E-01	6.92E-01
SP2349	9.56E-01	9.56E-01
SP2155	6.99E-01	6.99E-01
SP2154	7.85E-01	7.85E-01
SP2158	1.07E+00	1.07E+00
SP2156	2.72E-01	2.72E-01
SP2159	7.51E-01	7.51E-01
SP2153	2.10E+00	2.10E+00
SP2160	7.28E-01	7.28E-01
SP2151	3.47E-01	3.48E-01
SP116341	5.48E-01	5.47E-01
SP116331	1.84E+00	1.84E+00
SP116351	1.12E+00	1.12E+00
SP116371	6.48E-01	6.50E-01
SP116361	5.53E-01	5.53E-01
SP116343	1.30E+00	1.30E+00
SP116333	1.14E+00	1.14E+00
SP116373	6.54E-01	6.54E-01
SP116363	3.76E-01	3.76E-01
SP116353	2.34E+00	2.34E+00
SP116345	1.27E+00	1.27E+00
SP116365	4.32E-01	4.32E-01
SP116375	1.70E+00	1.70E+00
SP116335	9.24E-01	9.24E-01
SP116355	4.55E-01	4.56E-01
SP116347	6.08E-01	6.08E-01
SP116367	1.04E+00	1.04E+00
SP116339	1.65E+00	1.65E+00
SP116349	6.13E-01	6.11E-01
SP116357	4.75E-01	4.75E-01
SP116359	5.44E-01	5.44E-01
SP116369	1.28E+00	1.28E+00
SP116377	1.54E+00	1.54E+00
SP116379	1.03E+00	1.03E+00
SP7692	1.95E+00	1.95E+00
SP5052	9.09E-01	9.09E-01
SP7785	1.55E+00	1.55E+00
SP3415	5.87E-01	5.86E-01
SP2799	7.07E-01	7.07E-01
SP9979	4.45E-01	4.45E-01
SP5393	1.68E+00	1.68E+00
SP11292	1.70E-01	1.70E-01
SP13036	2.56E+00	2.56E+00
SP7421	1.27E+00	1.27E+00
SP4875	9.39E-01	9.38E-01
SP8795	2.43E+00	2.43E+00
SP4820	9.95E-01	9.95E-01
SP4593	6.58E-01	6.58E-01
SP8085	1.09E+00	1.09E+00
SP11235	1.22E+00	1.22E+00
SP6730	1.76E+00	1.76E+00
SP10635	4.49E-01	4.49E-01
SP5381	4.68E-01	4.68E-01
SP10084	1.47E+00	1.47E+00
SP9251	8.47E-01	8.47E-01
SP3016	1.27E+00	1.27E+00
SP11045	5.50E-01	5.50E-01
SP2826	5.69E-01	5.69E-01
SP11171	5.17E-01	5.17E-01
SP5784	1.32E+00	1.32E+00
SP8564	1.02E+00	1.02E+00
SP5844	1.37E+00	1.37E+00
SP6519	7.09E-01	7.09E-01
SP6766	7.12E-01	7.12E-01
SP5448	1.25E+00	1.25E+00
SP12049	7.83E-01	7.83E-01
SP2714	8.59E-01	8.58E-01
SP2801	1.12E+00	1.12E+00
SP8891	7.76E-01	7.73E-01
SP9481	6.02E-01	6.02E-01
SP5808	1.34E+00	1.34E+00
SP6429	9.60E-01	9.60E-01
SP5017	2.45E+00	2.45E+00
SP8229	9.28E-01	9.28E-01
SP8157	5.18E-01	5.18E-01
SP5279	2.20E+00	2.20E+00
SP8660	6.44E-01	6.41E-01
SP11878	7.25E-01	7.25E-01
SP9433	1.02E+00	1.02E+00
SP2881	1.80E+00	1.80E+00
SP7378	7.07E-01	7.07E-01
SP9816	5.60E-01	5.60E-01
SP4265	5.10E-01	5.10E-01
SP2793	1.76E+00	1.76E+00
SP6825	2.44E+00	2.44E+00
SP4523	1.19E+00	1.19E+00
SP9930	8.10E-01	8.10E-01
SP5820	1.22E+00	1.22E+00
SP10470	6.38E-01	6.38E-01
SP9648	8.95E-01	8.96E-01
SP4535	5.35E-01	5.35E-01
SP11808	1.39E+00	1.39E+00
SP96163	6.16E-01	6.16E-01
SP11948	5.70E-01	5.70E-01
SP4557	8.51E-01	8.51E-01
SP96147	7.57E-01	7.56E-01
SP10150	1.50E+00	1.50E+00
SP4472	6.77E-01	6.77E-01
SP6813	1.27E+00	1.27E+00
SP96511	8.19E-01	8.19E-01
SP5636	1.13E+00	1.13E+00
SP5559	9.05E-01	9.05E-01
SP3631	7.14E-01	7.14E-01
SP5473	1.22E+00	1.22E+00
SP8394	8.84E-01	8.85E-01
SP6115	1.05E+00	1.05E+00
SP7291	1.13E+00	1.13E+00
SP2997	6.43E-01	6.43E-01
SP8831	1.35E+00	1.35E+00
SP2731	8.78E-01	8.76E-01
SP6223	7.51E-01	7.51E-01
SP7171	9.08E-01	9.08E-01
SP10563	1.02E+00	1.02E+00
SP8987	1.04E+00	1.04E+00
SP5980	7.98E-01	7.98E-01
SP12186	1.06E+00	1.06E+00
SP10944	1.26E+00	1.26E+00
SP2766	7.46E-01	7.46E-01
SP6673	1.18E+00	1.18E+00
SP117698	8.81E-01	8.81E-01
SP124201	5.74E-01	5.74E-01
SP2143	3.60E-01	3.60E-01
