Samples	ID83A	ID83B	ID83C
SP117956	9	76	42
SP117975	8	71	9
SP2149	38	75	495
SP117113	7	202	0
SP117245	8	106	45
SP117402	20	86	14
SP117136	12	140	0
SP117378	9	109	23
SP116947	12	121	21
SP117369	1	136	20
SP117244	5	99	0
SP117162	17	81	28
SP117079	2	94	32
SP117344	19	157	400
SP118074	111	369	0
SP117598	6	252	283
SP117312	9	107	4
SP118038	4	136	0
SP117552	10	75	6
SP118073	5	137	10
SP117933	7	64	13
SP118012	11	106	36
SP117108	8	115	1
SP117812	17	65	27
SP117354	26	166	50
SP117370	9	135	0
SP116991	21	124	28
SP117629	12	35	559
SP124199	26	154	6
SP124195	14	178	0
SP117850	16	91	19
SP117127	13	124	0
SP117614	26	99	54
SP116948	16	273	3
SP117409	28	111	589
SP117593	14	117	16
SP117372	14	98	31
SP118077	24	89	55
SP117840	13	188	0
SP117363	37	303	164
SP117887	18	81	802
SP116946	21	137	33
SP117901	14	96	254
SP117454	17	125	16
SP124197	46	153	896
SP117919	44	79	763
SP117250	5	137	11
SP117983	22	175	16
SP117676	8	65	11
SP117011	13	136	37
SP117057	14	81	5
SP117126	11	172	11
SP117728	7	146	6
SP117618	10	91	0
SP117257	8	66	16
SP116963	14	79	8
SP117078	20	301	0
SP117944	18	110	344
SP117639	90	231	68
SP117834	42	178	41
SP117105	31	181	13
SP117785	24	75	53
SP117882	8	100	0
SP117778	24	252	28
SP117032	8	139	19
SP117710	14	193	200
SP117538	47	138	941
SP124207	311	538	0
SP117800	22	141	9
SP117724	26	176	12
SP124193	12	61	9
SP2293	9	261	63
SP2357	58	112	358
SP2144	7	51	323
SP2145	30	88	661
SP2147	47	233	916
SP2146	11	33	272
SP2148	9	51	265
SP2150	15	112	14
SP2152	4	99	0
SP2349	66	182	66
SP2155	42	82	666
SP2154	45	72	1101
SP2158	32	217	0
SP2156	4	58	30
SP2159	21	125	14
SP2153	109	594	0
SP2160	20	128	26
SP2151	7	57	25
SP116341	21	48	521
SP116331	35	387	0
SP116351	57	173	35
SP116371	12	376	108
SP116361	22	29	336
SP116343	73	297	36
SP116333	55	225	83
SP116373	33	30	520
SP116363	11	16	284
SP116353	97	747	0
SP116345	26	287	0
SP116365	9	25	634
SP116375	123	362	12
SP116335	131	169	209
SP116355	12	48	313
SP116347	9	137	10
SP116367	66	194	134
SP116339	32	361	0
SP116349	16	156	28
SP116357	17	11	304
SP116359	20	69	541
SP116369	77	269	997
SP116377	71	455	41
SP116379	33	247	12
SP7692	203	556	82
SP5052	34	78	1404
SP7785	70	577	601
SP3415	21	87	353
SP2799	15	160	20
SP9979	16	68	74
SP5393	160	327	98
SP11292	2	23	132
SP13036	245	703	7
SP7421	73	278	93
SP4875	48	120	970
SP8795	108	698	0
SP4820	64	210	1078
SP4593	24	99	41
SP8085	68	220	34
SP11235	44	184	14
SP6730	63	437	0
SP10635	9	117	19
SP5381	13	77	19
SP10084	172	262	244
SP9251	27	138	67
SP3016	146	248	319
SP11045	7	95	16
SP2826	24	95	208
SP11171	19	112	397
SP5784	91	283	81
SP8564	50	302	84
SP5844	151	328	104
SP6519	13	150	29
SP6766	12	131	43
SP5448	53	365	11
SP12049	50	38	1303
SP2714	57	104	953
SP2801	48	347	79
SP8891	47	104	515
SP9481	17	100	27
SP5808	76	397	402
SP6429	94	150	573
SP5017	46	486	0
SP8229	29	187	33
SP8157	19	108	86
SP5279	269	564	34
SP8660	23	59	729
SP11878	28	199	103
SP9433	32	163	19
SP2881	141	560	83
SP7378	36	104	59
SP9816	24	97	615
SP4265	17	91	165
SP2793	175	354	1394
SP6825	205	753	21
SP4523	28	274	11
SP9930	48	102	672
SP5820	21	320	0
SP10470	30	22	742
SP9648	55	135	839
SP4535	14	97	66
SP11808	56	284	0
SP96163	20	55	670
SP11948	11	113	783
SP4557	19	254	37
SP96147	27	178	51
SP10150	134	308	16
SP4472	26	119	673
SP6813	59	317	64
SP96511	55	26	1130
SP5636	48	218	0
SP5559	72	733	468
SP3631	12	240	71
SP5473	140	215	127
SP8394	56	200	40
SP6115	24	206	14
SP7291	51	258	10
SP2997	15	185	44
SP8831	98	287	1661
SP2731	16	159	16
SP6223	25	135	391
SP7171	49	268	38
SP10563	25	262	13
SP8987	63	199	858
SP5980	42	30	1039
SP12186	63	189	23
SP10944	70	344	93
SP2766	37	79	670
SP6673	89	455	1854
SP117698	21	161	29
SP124201	19	185	172
SP2143	9	76	27
SP124191	7	153	12
SP117247	6	175	20
SP117362	13	137	22
SP117470	38	53	661
SP117586	6	77	26
SP117709	18	115	23
SP2157	7	38	8
SP3368	38	226	13
SP5666	20	183	9
SP2781	19	133	25
SP8532	26	169	45
SP12856	10	170	46
SP7456	16	232	14
CPCT02100011T	10	324	8
CPCT02020314T	45	373	36
CPCT02080016T	32	370	12
CPCT02010359T	205	310	1263
CPCT02020322T	46	197	34
CPCT02010351T	100	515	538
CPCT02110004T	18	285	76
CPCT02040031T	161	583	140
CPCT02020341T	41	230	44
