NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	243.157	27.838	56.332	19.619	0.106	0.973	1000000.0
2	243.187	27.748	56.431	19.451	0.107	0.973	1000000.0
3	248.163	28.131	57.527	20.057	0.107	0.971	1000000.0
4	242.704	27.62	56.296	19.337	0.106	0.973	1000000.0
5	247.248	28.096	57.497	20.152	1.155	0.97	1000000.0
6	239.784	28.708	56.198	20.509	0.11	0.97	1000000.0
7	241.429	27.665	55.84	19.451	1.155	0.973	1000000.0
8	242.723	27.775	56.394	19.588	0.106	0.972	1000000.0
9	242.935	27.735	56.408	19.537	1.155	0.973	1000000.0
10	242.62	27.771	56.423	19.559	0.106	0.973	1000000.0
11	242.093	27.712	55.811	19.426	1.155	0.973	1000000.0
12	240.571	28.82	56.351	20.593	0.11	0.97	1000000.0
13	246.257	27.994	56.856	19.666	0.108	0.972	1000000.0
14	243.757	27.803	56.896	19.547	0.105	0.973	1000000.0
15	243.182	27.795	56.903	19.758	0.106	0.972	1000000.0
16	242.222	27.725	56.271	19.488	0.106	0.973	1000000.0
17	242.748	27.641	56.098	19.452	0.105	0.973	1000000.0
18	241.313	27.52	55.475	19.142	0.106	0.974	1000000.0
19	242.193	27.645	56.032	19.364	0.105	0.973	1000000.0
20	242.635	27.711	56.035	19.523	0.105	0.973	1000000.0
21	243.177	27.674	56.309	19.45	0.105	0.973	1000000.0
22	242.252	27.681	55.971	19.367	0.106	0.973	1000000.0
23	243.83	27.762	56.859	19.499	0.106	0.973	1000000.0
24	241.858	27.736	56.196	19.574	0.106	0.973	1000000.0
25	248.112	28.22	57.579	20.072	0.107	0.971	1000000.0
26	243.531	27.715	56.913	19.547	1.155	0.973	1000000.0
27	242.794	27.636	56.336	19.405	0.106	0.973	1000000.0
28	242.425	27.679	56.158	19.413	0.106	0.973	1000000.0
29	243.334	27.772	56.348	19.573	0.106	0.972	1000000.0
30	242.382	27.627	55.909	19.248	0.107	0.973	1000000.0
31	242.321	27.664	56.014	19.461	1.154	0.973	1000000.0
32	243.407	27.735	56.13	19.586	0.106	0.973	1000000.0
33	242.625	27.701	56.557	19.497	0.105	0.973	1000000.0
34	242.304	27.664	55.997	19.436	1.154	0.973	1000000.0
35	242.919	27.715	56.281	19.507	0.106	0.973	1000000.0
36	241.934	27.732	56.113	19.484	0.106	0.973	1000000.0
37	242.662	27.733	56.102	19.5	0.106	0.973	1000000.0
38	242.76	27.703	56.221	19.538	0.106	0.973	1000000.0
39	242.425	27.755	56.016	19.482	2.204	0.973	1000000.0
40	240.826	28.814	57.731	20.917	0.11	0.969	1000000.0
41	241.792	27.614	55.887	19.449	0.105	0.973	1000000.0
42	249.679	28.173	57.829	19.923	0.107	0.972	1000000.0
43	243.443	27.757	56.351	19.539	0.106	0.973	1000000.0
44	243.115	27.662	56.239	19.313	0.106	0.973	1000000.0
45	242.318	27.657	56.169	19.486	0.105	0.973	1000000.0
46	242.085	27.716	55.754	19.496	0.106	0.973	1000000.0
47	242.539	27.698	56.246	19.476	0.106	0.973	1000000.0
48	242.957	27.618	55.671	19.163	0.106	0.974	1000000.0
49	241.425	27.623	55.557	19.27	0.106	0.973	1000000.0
50	241.963	27.663	55.891	19.416	1.155	0.973	1000000.0
51	244.127	27.831	56.132	19.643	0.106	0.973	1000000.0
52	249.486	28.209	57.661	20.123	0.106	0.971	1000000.0
53	241.972	27.553	56.119	19.328	0.105	0.973	1000000.0
54	241.685	27.69	55.614	19.394	1.155	0.973	1000000.0
55	242.971	27.689	56.316	19.534	0.105	0.973	1000000.0
56	243.363	27.758	56.536	19.578	0.106	0.973	1000000.0
57	243.217	27.721	56.758	19.58	0.106	0.973	1000000.0
58	242.266	27.703	55.955	19.475	0.106	0.973	1000000.0
59	241.81	27.606	55.586	19.224	1.155	0.973	1000000.0
60	242.067	27.664	55.556	19.296	0.106	0.973	1000000.0
61	242.942	27.662	56.241	19.438	0.105	0.973	1000000.0
62	241.999	27.588	55.984	19.349	0.105	0.973	1000000.0
63	242.071	27.699	56.05	19.365	0.106	0.973	1000000.0
64	243.757	27.778	56.51	19.65	0.105	0.973	1000000.0
65	243.036	27.628	56.347	19.478	0.106	0.973	1000000.0
66	240.143	28.692	56.132	20.651	0.111	0.969	1000000.0
67	241.163	28.763	57.366	20.515	0.111	0.97	1000000.0
68	243.063	27.754	56.408	19.519	0.106	0.973	1000000.0
69	243.349	27.671	56.472	19.412	1.155	0.973	1000000.0
70	243.609	28.666	56.458	20.73	0.111	0.969	1000000.0
71	242.769	27.799	56.133	19.674	0.106	0.973	1000000.0
72	242.545	27.687	56.16	19.387	0.106	0.973	1000000.0
73	240.518	28.8	57.468	21.014	0.11	0.968	1000000.0
74	242.483	27.771	56.293	19.604	1.154	0.973	1000000.0
75	241.902	27.621	55.862	19.308	2.204	0.973	1000000.0
76	242.34	27.68	55.723	19.328	2.204	0.973	1000000.0
77	242.583	27.778	55.887	19.645	0.106	0.972	1000000.0
78	245.626	28.098	57.056	19.84	4.304	0.971	1000000.0
79	247.446	28.159	57.909	20.254	4.303	0.97	1000000.0
80	242.305	27.793	56.217	19.534	0.106	0.973	1000000.0
81	242.596	27.652	56.202	19.43	0.106	0.973	1000000.0
82	243.304	27.771	56.54	19.516	0.106	0.973	1000000.0
83	242.966	27.827	56.468	19.697	1.155	0.973	1000000.0
84	243.056	27.703	56.526	19.542	1.155	0.973	1000000.0
85	243.686	27.737	56.555	19.544	0.105	0.973	1000000.0
86	242.844	27.753	56.102	19.408	1.155	0.973	1000000.0
87	242.674	27.7	56.27	19.529	1.155	0.973	1000000.0
88	237.589	28.784	57.24	20.892	0.11	0.969	1000000.0
89	237.557	28.646	55.448	20.552	0.112	0.969	1000000.0
90	241.913	27.812	56.198	19.658	0.106	0.973	1000000.0
91	242.52	27.616	56.058	19.344	1.154	0.973	1000000.0
92	242.589	27.757	56.65	19.576	0.106	0.973	1000000.0
93	242.516	27.682	56.104	19.47	0.106	0.973	1000000.0
94	243.752	27.781	56.267	19.559	1.155	0.973	1000000.0
95	243.471	27.809	56.23	19.585	0.106	0.973	1000000.0
96	245.765	28.081	57.072	19.882	0.108	0.971	1000000.0
97	241.959	27.654	56.04	19.468	0.106	0.973	1000000.0
98	242.226	27.658	56.127	19.487	0.106	0.973	1000000.0
99	242.99	27.715	56.469	19.523	0.106	0.973	1000000.0
