Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP117956	0	11	11	37	17	36	2	8	5
SP117975	0	18	0	34	18	13	0	3	2
SP2149	29	21	247	0	223	26	0	53	9
SP117113	3	121	7	18	15	21	0	20	4
SP117245	0	18	4	39	34	40	0	18	6
SP117402	3	12	1	56	8	24	3	13	0
SP117136	4	59	10	36	0	37	0	3	3
SP117378	6	39	18	0	12	34	0	32	0
SP116947	0	23	7	49	10	33	2	24	6
SP117369	1	29	1	0	9	11	0	103	3
SP117244	1	49	0	24	6	5	4	13	2
SP117162	7	11	5	14	7	32	2	43	5
SP117079	0	21	6	14	24	38	1	20	4
SP117344	2	62	336	57	60	16	9	19	15
SP118074	106	181	24	64	20	36	3	29	17
SP117598	0	21	9	141	235	55	0	65	15
SP117312	4	29	0	8	10	52	0	12	5
SP118038	0	59	15	12	0	21	2	24	7
SP117552	6	21	1	10	10	22	3	11	7
SP118073	0	48	2	26	24	32	0	16	4
SP117933	3	20	9	14	7	20	0	9	2
SP118012	0	17	13	37	7	42	3	28	6
SP117108	0	43	0	34	20	21	0	6	0
SP117812	6	11	10	34	8	12	0	25	3
SP117354	19	57	29	17	33	39	7	26	15
SP117370	5	63	6	17	5	28	1	15	4
SP116991	14	43	3	19	42	27	2	12	11
SP117629	0	12	423	30	67	30	14	20	10
SP124199	14	57	6	53	20	25	0	11	0
SP124195	10	90	9	20	14	28	2	17	2
SP117850	3	21	1	56	23	11	2	9	0
SP117127	8	52	8	21	11	21	0	4	12
SP117614	0	0	2	84	19	31	0	35	8
SP116948	0	103	10	71	29	52	0	21	6
SP117409	0	24	430	110	60	43	9	44	8
SP117593	0	28	11	59	7	36	0	0	6
SP117372	8	20	7	11	15	25	1	54	2
SP118077	8	17	28	42	10	47	0	12	4
SP117840	2	80	0	58	29	15	0	9	8
SP117363	6	69	81	126	61	28	12	120	1
SP117887	1	23	565	30	117	83	34	39	9
SP116946	0	26	12	94	20	19	0	20	0
SP117901	11	28	131	0	115	9	2	68	0
SP117454	7	35	8	29	13	45	0	21	0
SP124197	31	36	588	0	155	48	30	186	21
SP117919	20	32	628	53	40	35	21	45	12
SP117250	2	44	1	8	21	33	0	43	1
SP117983	17	74	14	21	30	27	3	20	7
SP117676	1	12	3	15	4	37	0	12	0
SP117011	10	43	18	0	22	36	3	54	0
SP117057	7	23	2	22	6	17	0	22	1
SP117126	0	56	0	47	31	44	2	12	2
SP117728	0	66	12	33	20	21	0	6	1
SP117618	6	42	9	18	1	11	2	7	5
SP117257	0	13	9	31	2	20	1	12	2
SP116963	6	24	3	30	11	23	1	2	1
SP117078	0	127	20	99	11	42	0	22	0
SP117944	6	32	234	28	76	36	11	45	4
SP117639	49	60	33	95	30	84	3	30	5
SP117834	15	41	7	87	38	44	0	23	6
SP117105	24	74	5	25	37	37	0	18	5
SP117785	5	2	0	40	24	45	4	31	1
SP117882	5	42	0	7	6	41	3	2	2
SP117778	1	71	11	95	34	53	3	33	3
SP117032	0	47	18	36	13	38	1	8	5
SP117710	0	11	14	104	126	74	0	72	6
SP117538	8	41	738	129	84	28	28	55	15
SP124207	328	296	32	49	19	43	0	73	9
SP117800	17	51	2	7	21	39	3	32	0
SP117724	22	74	8	0	28	64	0	18	0
SP124193	4	13	0	24	7	18	1	15	0
SP2293	6	46	16	0	5	25	5	216	14
SP2357	36	22	210	48	82	15	3	98	14
SP2144	3	20	188	0	147	2	0	20	1
SP2145	5	36	558	72	27	33	0	34	14
SP2147	13	97	800	107	80	14	4	79	2
SP2146	7	10	166	3	91	4	1	29	5
SP2148	6	18	150	0	111	11	0	28	1
SP2150	2	27	13	45	0	39	0	14	1
SP2152	3	46	4	0	6	28	2	14	0
SP2349	40	50	23	48	43	77	2	26	5
SP2155	0	11	522	152	0	32	8	65	0
SP2154	0	3	818	162	34	84	31	64	22
SP2158	26	98	9	31	19	41	3	22	0
SP2156	0	12	5	14	22	24	0	8	7
SP2159	15	36	5	12	11	21	1	54	5
SP2153	115	312	43	4	22	117	0	81	9
SP2160	14	47	21	9	18	45	1	12	7
SP2151	5	18	11	2	15	18	5	15	0
SP116341	0	7	404	78	19	1	1	69	11
SP116331	31	207	25	36	42	30	5	43	3
SP116351	40	55	22	10	14	93	0	31	0
SP116371	0	86	0	13	115	253	0	12	17
SP116361	17	11	193	0	136	0	0	27	3
SP116343	44	92	20	77	31	83	7	44	8
SP116333	43	84	78	21	9	54	0	74	0
SP116373	24	5	327	3	131	1	7	68	17
SP116363	8	5	164	0	110	2	2	20	0
SP116353	64	328	40	173	37	95	5	80	22
