NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	95.391	52.516	20.688	32.881	16.992	0.895	1000000.0
2	97.476	53.677	21.323	32.664	28.103	0.891	1000000.0
3	93.809	52.523	19.682	32.625	35.782	0.89	1000000.0
4	91.914	52.356	19.276	32.66	19.995	0.887	1000000.0
5	95.351	53.452	20.305	32.928	30.627	0.885	1000000.0
6	90.46	53.299	18.616	32.835	25.055	0.891	1000000.0
7	92.106	52.738	18.716	32.495	38.781	0.891	1000000.0
8	94.162	52.992	20.024	32.591	33.276	0.888	1000000.0
9	95.437	53.516	20.112	33.116	25.198	0.883	1000000.0
10	92.898	52.278	19.314	32.416	27.743	0.891	1000000.0
11	90.168	52.867	18.618	32.945	14.493	0.891	1000000.0
12	90.509	53.285	18.586	32.914	19.651	0.888	1000000.0
13	96.031	53.19	20.519	33.004	19.662	0.888	1000000.0
14	93.623	52.487	19.634	32.858	16.922	0.89	1000000.0
15	89.351	53.548	18.579	32.648	38.424	0.888	1000000.0
16	91.599	53.752	19.321	33.466	49.801	0.887	1000000.0
17	93.426	52.986	19.655	32.527	35.81	0.888	1000000.0
18	91.493	52.151	19.166	32.053	30.298	0.894	1000000.0
19	89.802	53.197	18.177	32.921	17.206	0.885	1000000.0
20	92.381	53.231	19.362	33.104	17.118	0.886	1000000.0
21	87.886	52.785	17.261	32.84	30.701	0.89	1000000.0
22	96.148	52.858	20.355	32.716	27.748	0.89	1000000.0
23	91.542	52.762	18.389	32.343	20.022	0.891	1000000.0
24	97.306	52.588	21.281	32.885	17.314	0.889	1000000.0
25	92.607	54.0	19.203	33.23	30.642	0.883	1000000.0
26	91.887	52.924	19.282	33.172	22.298	0.89	1000000.0
27	88.374	53.403	17.359	33.093	25.046	0.886	1000000.0
28	92.585	52.862	20.176	32.581	35.845	0.888	1000000.0
29	95.276	54.118	20.305	33.115	43.91	0.883	1000000.0
30	91.573	52.987	19.096	33.109	22.346	0.888	1000000.0
31	96.249	53.592	20.292	33.115	33.139	0.89	1000000.0
32	92.43	51.923	18.856	31.814	35.695	0.893	1000000.0
33	93.419	52.943	20.052	32.733	19.697	0.888	1000000.0
34	93.283	52.941	19.64	32.506	22.639	0.889	1000000.0
35	94.739	53.9	19.791	33.244	30.744	0.886	1000000.0
36	92.309	52.585	19.199	32.554	38.392	0.89	1000000.0
37	96.303	52.8	20.8	32.162	30.633	0.894	1000000.0
38	92.404	51.762	19.111	32.198	33.262	0.897	1000000.0
39	92.944	53.598	19.188	32.878	24.936	0.886	1000000.0
40	90.769	53.288	18.312	33.376	22.582	0.887	1000000.0
41	92.109	53.114	19.12	32.846	22.518	0.889	1000000.0
42	92.851	52.22	18.939	32.408	17.019	0.892	1000000.0
43	91.352	52.339	18.865	32.81	17.331	0.892	1000000.0
44	86.005	53.54	16.902	33.116	35.791	0.886	1000000.0
45	95.28	52.486	20.418	32.388	25.08	0.891	1000000.0
46	92.5	53.022	18.955	33.198	30.38	0.889	1000000.0
47	93.612	53.815	19.607	33.366	38.401	0.889	1000000.0
48	96.22	52.684	20.508	32.992	22.388	0.891	1000000.0
49	94.607	52.927	20.503	32.834	33.541	0.891	1000000.0
50	95.433	53.08	20.4	33.077	22.589	0.888	1000000.0
51	91.556	53.062	19.226	32.835	25.129	0.888	1000000.0
52	94.356	53.06	19.494	32.49	33.063	0.893	1000000.0
53	95.876	52.911	20.419	32.488	19.877	0.892	1000000.0
54	102.834	53.634	24.157	33.372	27.949	0.885	1000000.0
55	95.172	52.578	20.318	32.428	32.904	0.891	1000000.0
56	91.134	53.459	18.346	32.752	19.574	0.883	1000000.0
57	93.171	52.796	19.252	33.012	25.287	0.889	1000000.0
58	93.799	52.687	19.429	32.702	46.44	0.89	1000000.0
59	93.298	53.003	19.656	33.462	25.131	0.887	1000000.0
60	96.607	53.305	20.445	32.902	19.863	0.885	1000000.0
61	93.374	52.953	19.43	33.155	25.113	0.89	1000000.0
62	99.222	53.46	21.565	32.709	35.727	0.887	1000000.0
63	91.614	52.924	19.093	32.261	17.571	0.891	1000000.0
64	91.36	52.097	19.211	32.484	41.16	0.893	1000000.0
65	104.865	53.573	25.776	33.138	14.378	0.891	1000000.0
66	95.022	52.396	19.579	32.39	27.985	0.89	1000000.0
67	92.689	52.162	19.239	32.17	20.141	0.894	1000000.0
68	94.742	52.817	19.422	32.946	17.172	0.89	1000000.0
69	85.781	52.791	16.849	32.609	22.381	0.892	1000000.0
70	90.332	52.734	18.472	32.472	30.561	0.891	1000000.0
71	95.514	52.827	20.189	32.338	19.806	0.889	1000000.0
72	96.337	52.555	20.581	32.181	27.9	0.892	1000000.0
73	98.014	53.531	21.263	32.594	25.301	0.883	1000000.0
74	92.34	53.05	19.192	32.943	22.276	0.886	1000000.0
75	93.151	52.592	19.464	32.99	30.503	0.89	1000000.0
76	92.579	53.229	19.401	33.073	30.338	0.892	1000000.0
77	96.496	52.644	20.97	32.967	41.226	0.889	1000000.0
78	95.051	52.246	20.554	32.68	27.843	0.893	1000000.0
79	93.78	54.159	19.706	32.608	33.297	0.884	1000000.0
80	97.213	53.652	21.212	33.458	38.613	0.888	1000000.0
81	93.51	53.334	19.369	32.809	30.635	0.887	1000000.0
82	101.515	54.044	23.499	33.847	30.401	0.887	1000000.0
83	93.988	53.131	19.972	32.981	35.688	0.888	1000000.0
84	95.533	54.206	19.843	33.526	25.553	0.88	1000000.0
85	97.862	54.041	21.313	33.763	19.813	0.881	1000000.0
86	93.232	52.959	19.419	32.353	25.321	0.887	1000000.0
87	97.239	53.482	21.571	32.433	19.809	0.889	1000000.0
88	90.609	52.735	18.798	32.602	19.886	0.893	1000000.0
89	95.582	52.334	20.673	32.708	41.216	0.892	1000000.0
90	97.818	52.412	22.441	32.092	3.539	0.895	1000000.0
91	93.216	51.588	19.813	32.283	25.226	0.894	1000000.0
92	92.071	53.191	19.194	32.81	27.693	0.887	1000000.0
93	96.63	53.151	20.773	33.131	27.731	0.889	1000000.0
