Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP24708	74	0	54	0	11	0	3	36	58	48	26	17	36	13	2	6	2	39	0	0
SP24301	140	0	78	3	17	4	8	58	83	45	50	15	38	58	3	0	14	17	0	10
SP27201	78	0	99	0	6	2	7	30	40	58	72	12	28	26	4	0	15	16	0	4
SP28791	25	0	21	0	2	0	9	0	12	35	27	2	16	6	2	0	1	3	0	6
SP23739	31	7	21	8	17	0	3	23	33	40	22	4	16	12	0	0	1	6	8	1
SP24702	118	0	59	23	15	0	0	33	58	41	19	5	52	5	5	7	11	0	23	9
SP25332	22	0	13	6	12	1	6	11	32	7	0	7	6	5	0	0	5	0	17	4
SP28335	24	4	28	6	18	0	5	6	59	41	0	3	27	26	0	8	4	21	24	8
SP26709	77	0	22	7	13	0	5	8	20	11	13	3	2	29	0	0	8	5	3	6
SP25350	46	0	48	5	3	2	8	77	80	40	4	10	27	49	9	0	6	13	9	7
SP25380	81	0	88	0	10	6	10	19	24	65	109	11	33	4	3	0	9	26	0	6
SP24565	11	0	12	1	20	0	0	26	71	33	0	9	3	37	0	0	0	10	1	3
SP25833	98	0	32	4	12	0	3	24	43	52	42	7	34	30	0	0	13	7	6	4
SP25905	10	0	18	12	18	1	1	8	12	42	26	0	18	21	2	0	0	17	1	1
SP26439	5	26	16	0	8	1	1	0	4	13	10	0	25	13	3	1	10	2	20	3
SP24236	82	0	110	7	2	1	10	32	47	94	91	1	39	38	0	0	1	39	8	1
SP23925	40	13	112	0	22	0	3	928	282	10	301	20	0	0	0	4	4	18	0	0
SP24815	80	0	83	6	22	3	4	21	84	58	28	25	22	46	1	0	0	55	28	10
SP27957	48	0	56	24	9	1	1	26	23	43	47	10	40	26	1	0	8	0	10	2
SP27603	41	0	38	0	14	1	1	28	49	46	0	9	49	51	1	0	9	32	0	10
SP27825	67	11	83	6	19	1	0	37	77	49	23	15	47	53	7	0	7	10	2	4
SP24135	32	32	73	0	259	3	4	49	84	80	102	33	169	96	2	0	18	2	22	4
SP26499	42	0	27	0	10	0	3	13	18	31	13	11	14	6	5	3	5	0	41	7
SP25518	74	0	91	27	15	10	4	66	18	103	5	1	81	11	6	0	0	38	0	7
SP28659	82	11	95	37	321	0	4	99	92	117	69	23	155	27	3	11	6	0	39	0
SP23622	44	0	47	5	0	7	1	18	78	49	70	12	26	5	3	0	3	14	0	10
SP27939	49	0	25	0	3	0	3	13	35	35	17	17	53	29	0	2	2	11	16	6
SP23754	13	0	16	2	5	1	2	11	4	18	0	5	12	21	3	0	0	0	16	0
SP29697	65	0	37	10	3	0	4	18	27	21	34	13	25	21	7	4	0	18	0	6
SP27339	52	0	33	2	10	1	0	0	58	36	23	8	25	20	0	10	8	13	10	3
SP29559	50	0	10	16	349	0	6	7	0	70	39	6	124	55	8	11	0	55	1	7
SP29331	45	0	69	16	22	1	4	40	34	68	0	24	43	43	0	0	4	14	14	12
SP26475	81	12	50	4	13	0	0	14	48	40	0	18	49	4	6	3	11	36	8	10
SP23775	54	17	74	1	297	0	0	47	51	87	102	21	99	106	0	0	2	3	58	1
SP28275	38	0	16	12	10	0	3	35	34	13	30	4	9	54	0	0	11	9	5	5
SP28581	70	0	67	0	14	0	4	40	44	46	23	3	55	14	0	14	2	0	14	11
SP23639	70	0	58	0	16	3	2	48	60	49	25	18	29	66	1	0	12	10	0	6
SP24391	65	0	44	13	11	2	3	28	46	49	34	13	38	32	0	0	4	43	1	0
SP28041	87	0	100	33	7	0	3	36	60	60	74	10	46	1	4	2	3	5	6	0
SP25494	125	0	153	83	487	3	5	67	79	245	227	6	243	57	0	4	10	115	37	10
SP26649	57	0	42	8	19	1	1	27	118	30	61	9	34	12	4	2	6	5	0	0
SP78927	25	15	4	0	1	0	0	0	0	6	3	0	0	0	0	0	0	0	5	4
SP78913	18	0	2	1	7	0	0	2	0	3	2	0	0	0	2	0	2	7	5	0
SP107375	53	0	9	12	15	0	2	0	0	14	11	0	22	21	10	3	4	15	0	4
SP107408	141	32	40	0	14	1	6	13	2	15	14	2	0	0	7	8	2	13	10	0
SP107439	23	0	6	0	0	3	0	0	0	21	0	0	12	0	0	0	222	0	0	0
SP78816	31	0	2	0	1	0	0	4	0	2	0	0	3	0	0	0	0	0	1	0
SP78663	109	1	4	11	21	0	9	3	1	2	11	0	0	26	0	0	0	0	3	10
SP78709	76	0	5	3	5	0	3	4	5	0	0	0	9	5	10	0	0	4	0	2
SP107462	129	7	5	26	5	0	8	0	0	7	0	0	0	0	10	0	3	20	3	0
SP78951	55	0	7	0	3	0	3	0	3	16	5	4	1	0	6	1	0	2	5	2
SP107435	75	0	16	22	0	0	7	15	0	6	0	1	22	12	7	0	0	12	0	4
SP78679	54	12	43	0	6	0	0	12	1	18	26	0	0	9	12	0	4	3	0	19
SP107360	126	6	27	4	21	3	5	16	13	0	10	19	2	0	27	0	8	11	0	0
SP78819	10	0	3	0	0	0	2	2	1	0	0	3	6	0	0	0	0	4	0	4
SP78821	57	0	7	0	0	2	1	0	4	17	4	0	14	5	4	1	6	15	0	4
SP107552	36	0	0	5	3	0	0	5	0	4	0	0	4	0	2	0	0	4	8	0
SP78865	23	0	1	3	2	1	3	0	0	2	0	0	0	16	0	0	0	0	2	12
SP107470	79	0	27	0	0	4	3	8	0	6	0	0	5	7	3	0	0	0	0	2
SP78673	0	5	4	0	1	0	0	9	0	6	0	0	10	0	0	0	0	1	6	5
SP78824	23	0	3	0	7	0	3	3	0	4	0	0	1	5	0	0	0	2	0	0
SP107550	27	0	7	0	0	0	7	0	0	4	0	0	0	0	0	0	1	8	2	6
SP78718	170	11	28	24	1	0	2	2	0	9	0	0	0	0	13	0	8	6	0	0
SP107451	46	0	5	5	2	0	3	0	5	0	0	0	9	0	5	6	1	0	1	2
SP107557	45	0	4	8	2	0	5	0	0	2	2	0	1	0	0	3	0	0	7	0
SP107358	19	2	4	0	3	1	0	9	0	7	9	0	7	0	4	5	1	8	11	3
SP78731	32	0	4	0	2	0	0	1	0	2	0	0	0	8	4	1	0	3	5	2
SP107455	28	0	4	0	0	0	0	0	0	4	0	1	0	7	4	0	0	1	1	8
SP107549	31	0	5	1	2	1	2	5	1	0	0	0	1	0	0	1	0	0	2	4
SP78814	39	0	3	0	8	1	3	3	0	13	0	0	8	0	3	3	3	9	3	14
SP107357	191	10	56	9	10	10	6	4	36	6	15	12	20	7	23	26	26	18	0	11
SP78919	58	0	3	5	11	2	3	5	0	6	7	0	0	0	3	0	0	0	5	4
SP107453	38	0	10	17	0	0	1	2	3	4	0	0	7	0	6	0	3	7	0	2
SP78719	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	2	2
SP78662	11	0	3	3	0	0	1	0	0	6	0	0	0	7	0	0	1	0	3	0
SP107457	94	14	2	9	5	1	2	7	0	7	0	0	0	5	9	9	0	6	7	8
SP107404	103	0	42	15	11	2	6	18	10	6	9	10	0	7	16	0	4	13	3	4
SP78714	37	0	12	1	1	0	5	4	0	9	0	0	4	0	3	0	1	1	0	6
SP107454	39	0	5	0	0	0	3	2	4	6	0	0	0	0	3	0	0	1	0	6
SP107359	154	0	47	0	15	1	3	10	12	18	16	3	13	3	31	0	14	11	0	5
SP78664	75	0	2	4	0	0	3	0	6	10	0	0	4	0	8	0	0	0	1	0
SP78931	68	0	9	1	4	0	1	1	0	0	0	0	0	1	8	0	0	1	3	6
SP78815	23	0	2	0	0	0	0	0	2	2	2	0	1	4	6	0	0	4	0	2
SP107466	60	22	24	0	3	0	1	7	11	8	0	8	3	25	6	1	0	9	14	0
SP78901	167	0	13	15	0	2	6	8	0	2	0	0	0	0	8	0	1	5	4	0
SP107384	155	0	38	8	190	6	7	18	0	38	6	24	126	22	20	0	16	21	34	11
SP107467	11	0	4	2	0	0	0	0	1	9	0	0	5	8	0	1	3	5	0	0
SP78680	23	0	1	8	2	0	0	0	0	6	0	0	0	3	2	0	0	0	0	0
SP78672	29	0	3	0	7	0	0	0	0	2	0	0	0	8	2	0	0	0	0	2
