Samples	ID83A	ID83B
SP24708	1.18E+00	1.18E+00
SP24301	1.56E+00	1.56E+00
SP27201	1.28E+00	1.28E+00
SP28791	6.20E-01	6.20E-01
SP23739	7.85E-01	7.85E-01
SP24702	1.36E+00	1.36E+00
SP25332	6.25E-01	6.25E-01
SP28335	7.98E-01	7.98E-01
SP26709	9.93E-01	9.93E-01
SP25350	1.12E+00	1.13E+00
SP25380	1.18E+00	1.18E+00
SP24565	5.23E-01	5.23E-01
SP25833	1.12E+00	1.12E+00
SP25905	5.59E-01	5.59E-01
SP26439	6.92E-01	6.92E-01
SP24236	1.39E+00	1.39E+00
SP23925	1.52E+00	1.52E+00
SP24815	1.36E+00	1.36E+00
SP27957	9.93E-01	9.93E-01
SP27603	9.92E-01	9.92E-01
SP27825	1.20E+00	1.20E+00
SP24135	1.26E+00	1.26E+00
SP26499	8.84E-01	8.84E-01
SP25518	1.30E+00	1.30E+00
SP28659	1.40E+00	1.40E+00
SP23622	1.05E+00	1.05E+00
SP27939	8.78E-01	8.79E-01
SP23754	6.14E-01	6.14E-01
SP29697	1.09E+00	1.09E+00
SP27339	9.99E-01	9.99E-01
SP29559	1.01E+00	1.01E+00
SP29331	1.22E+00	1.22E+00
SP26475	1.11E+00	1.11E+00
SP23775	1.42E+00	1.42E+00
SP28275	9.06E-01	9.06E-01
SP28581	1.08E+00	1.08E+00
SP23639	1.11E+00	1.11E+00
SP24391	1.10E+00	1.10E+00
SP28041	1.52E+00	1.52E+00
SP25494	1.99E+00	1.99E+00
SP26649	1.02E+00	1.02E+00
SP78927	4.06E-01	4.06E-01
SP78913	4.09E-01	4.09E-01
SP107375	7.69E-01	7.69E-01
SP107408	8.14E-01	8.14E-01
SP107439	9.88E-01	9.88E-01
SP78816	3.29E-01	3.29E-01
SP78663	7.47E-01	7.47E-01
SP78709	5.04E-01	5.04E-01
SP107462	6.02E-01	6.02E-01
SP78951	5.42E-01	5.42E-01
SP107435	8.44E-01	8.44E-01
SP78679	8.73E-01	8.73E-01
SP107360	9.04E-01	9.04E-01
SP78819	3.93E-01	3.93E-01
SP78821	6.92E-01	6.92E-01
SP107552	4.05E-01	4.05E-01
SP78865	4.29E-01	4.29E-01
SP107470	5.39E-01	5.40E-01
SP78673	3.00E-01	3.01E-01
SP78824	3.31E-01	3.28E-01
SP107550	4.49E-01	4.49E-01
SP78718	5.75E-01	5.74E-01
SP107451	4.50E-01	4.51E-01
SP107557	5.07E-01	5.08E-01
SP107358	4.73E-01	4.73E-01
