MutationType	ID83A	ID83B
1:Del:C:0	2.76E-05	1.10E-04
1:Del:C:1	7.18E-06	7.41E-05
1:Del:C:2	7.54E-06	5.21E-05
1:Del:C:3	1.68E-05	3.67E-05
1:Del:C:4	2.36E-05	3.46E-05
1:Del:C:5	3.91E-05	4.86E-05
1:Del:T:0	6.99E-06	8.25E-05
1:Del:T:1	3.69E-06	6.16E-05
1:Del:T:2	9.33E-06	6.10E-05
1:Del:T:3	2.11E-05	6.50E-05
1:Del:T:4	4.06E-05	5.77E-05
1:Del:T:5	1.32E-04	1.74E-04
1:Ins:C:0	1.49E-05	2.71E-05
1:Ins:C:1	1.10E-05	2.83E-05
1:Ins:C:2	8.09E-06	2.53E-05
1:Ins:C:3	8.86E-06	2.03E-05
1:Ins:C:4	1.52E-05	1.90E-05
1:Ins:C:5	4.90E-05	3.72E-05
1:Ins:T:0	2.49E-05	3.92E-05
1:Ins:T:1	1.51E-05	4.66E-05
1:Ins:T:2	1.92E-05	2.86E-05
1:Ins:T:3	2.13E-05	2.36E-05
1:Ins:T:4	3.02E-05	2.23E-05
1:Ins:T:5	1.70E-04	3.59E-04
2:Del:R:0	5.86E-06	5.61E-05
2:Del:R:1	1.41E-05	7.28E-05
2:Del:R:2	8.83E-06	3.83E-05
2:Del:R:3	1.62E-05	2.95E-05
2:Del:R:4	1.83E-05	3.54E-05
2:Del:R:5	3.41E-05	4.64E-05
3:Del:R:0	1.75E-06	3.38E-05
3:Del:R:1	3.72E-06	5.82E-05
3:Del:R:2	2.28E-06	3.44E-05
3:Del:R:3	4.64E-06	1.87E-05
3:Del:R:4	1.46E-06	1.38E-05
3:Del:R:5	6.32E-06	1.20E-05
4:Del:R:0	1.57E-06	3.18E-05
4:Del:R:1	3.37E-06	6.95E-05
4:Del:R:2	2.17E-06	3.68E-05
4:Del:R:3	5.25E-06	2.71E-05
4:Del:R:4	3.36E-06	1.87E-05
4:Del:R:5	5.18E-06	1.29E-05
5:Del:R:0	3.98E-06	8.55E-05
5:Del:R:1	1.61E-06	3.76E-05
5:Del:R:2	4.83E-06	1.74E-05
5:Del:R:3	2.77E-06	9.75E-06
5:Del:R:4	8.69E-07	5.02E-06
5:Del:R:5	2.06E-06	4.38E-06
2:Ins:R:0	2.01E-05	3.86E-05
2:Ins:R:1	1.35E-05	2.85E-05
2:Ins:R:2	1.05E-05	1.93E-05
2:Ins:R:3	1.28E-05	1.16E-05
2:Ins:R:4	2.62E-05	9.94E-07
2:Ins:R:5	5.35E-05	3.97E-05
3:Ins:R:0	9.49E-06	2.01E-05
3:Ins:R:1	8.36E-06	2.26E-05
3:Ins:R:2	5.20E-06	7.36E-06
3:Ins:R:3	5.24E-06	9.17E-07
3:Ins:R:4	6.14E-06	2.46E-06
3:Ins:R:5	1.50E-05	1.23E-05
4:Ins:R:0	1.74E-05	2.94E-05
4:Ins:R:1	1.44E-05	2.31E-05
4:Ins:R:2	6.48E-06	6.16E-06
4:Ins:R:3	6.58E-06	6.76E-06
4:Ins:R:4	1.03E-05	1.07E-05
4:Ins:R:5	1.63E-05	1.54E-05
5:Ins:R:0	2.14E-05	8.11E-05
5:Ins:R:1	2.22E-05	4.52E-05
5:Ins:R:2	5.64E-06	8.19E-06
5:Ins:R:3	6.68E-06	7.41E-06
5:Ins:R:4	9.69E-06	7.50E-06
5:Ins:R:5	6.55E-06	8.65E-06
2:Del:M:1	1.27E-05	6.38E-05
3:Del:M:1	5.20E-07	2.91E-05
3:Del:M:2	5.05E-06	5.08E-05
4:Del:M:1	4.52E-06	3.24E-05
4:Del:M:2	1.35E-06	4.61E-05
4:Del:M:3	2.44E-06	6.41E-05
5:Del:M:1	4.04E-06	6.91E-05
5:Del:M:2	1.80E-06	5.43E-05
5:Del:M:3	2.20E-06	4.57E-05
5:Del:M:4	1.12E-06	3.62E-05
5:Del:M:5	5.40E-06	3.03E-05
