Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP24708	1.81E+00	1.40E+00	1.92E+00	9.93E-01	3.05E+00	0.00E+00	3.20E+00
SP24301	4.21E+00	1.88E+00	1.85E+00	1.65E+00	3.10E+00	3.51E-01	4.82E+00
SP27201	1.89E+00	1.80E+00	1.65E+00	1.02E+00	2.80E+00	1.93E-01	2.80E+00
SP28791	7.57E-01	8.84E-01	8.22E-01	4.93E-01	1.26E+00	0.00E+00	1.15E+00
SP23739	1.10E+00	8.58E-01	1.41E+00	1.07E+00	1.85E+00	0.00E+00	1.72E+00
SP24702	1.93E+00	1.40E+00	1.54E+00	1.16E+00	2.82E+00	0.00E+00	3.38E+00
SP25332	1.06E+00	7.71E-01	9.02E-01	9.10E-01	1.19E+00	3.07E-01	1.34E+00
SP28335	1.02E+00	1.10E+00	1.76E+00	9.31E-01	2.54E+00	1.77E-01	3.01E+00
SP26709	2.64E+00	9.12E-01	1.02E+00	8.26E-01	1.31E+00	1.41E-02	2.86E+00
SP25350	1.28E+00	1.25E+00	1.64E+00	8.86E-01	2.18E+00	2.63E-01	2.43E+00
SP25380	1.88E+00	1.66E+00	1.51E+00	9.88E-01	2.53E+00	4.39E-01	2.73E+00
SP24565	4.88E-01	8.78E-01	1.68E+00	9.78E-01	2.07E+00	0.00E+00	2.24E+00
SP25833	1.40E+00	1.28E+00	1.89E+00	1.12E+00	2.91E+00	0.00E+00	2.70E+00
SP25905	6.21E-01	7.41E-01	9.31E-01	1.01E+00	1.60E+00	0.00E+00	1.38E+00
SP26439	9.02E-01	7.36E-01	6.61E-01	9.42E-01	1.32E+00	2.31E-01	1.39E+00
SP24236	1.93E+00	1.84E+00	1.96E+00	7.93E-01	3.60E+00	0.00E+00	3.51E+00
SP23925	2.18E+00	4.89E+00	5.03E+00	2.02E+00	3.29E+00	0.00E+00	2.34E+00
SP24815	1.90E+00	1.92E+00	2.48E+00	1.43E+00	3.72E+00	3.73E-01	4.56E+00
SP27957	1.26E+00	1.28E+00	1.26E+00	1.05E+00	2.45E+00	2.09E-01	2.23E+00
SP27603	8.33E-01	1.24E+00	1.67E+00	1.10E+00	2.54E+00	0.00E+00	2.56E+00
SP27825	1.59E+00	1.63E+00	2.12E+00	1.30E+00	3.18E+00	0.00E+00	3.93E+00
SP24135	1.41E+00	1.91E+00	3.13E+00	4.30E+00	5.17E+00	5.27E-01	5.03E+00
