Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP18310	96645	0	22976	14031	5	0	325	0	0	0
SP17172	31668	0	2299	5702	211	0	0	0	0	0
SP96133	56484	0	10868	8066	108	0	1862	0	0	0
SP110242	82179	1866	18209	21498	11	0	732	0	0	0
SP114330	177	159	24	454	20	5	55	55	294	45
SP21017	79695	0	16787	15037	53	0	807	0	0	0
SP22383	58809	0	10850	7197	0	0	2432	0	0	0
SP81312	3426	0	140	6954	592	0	330	147	0	0
SP22031	457	0	0	2738	156	7	0	0	136	0
SP96112	131	0	8	239	5	1	29	44	259	37
SP19215	51864	0	12272	6633	0	0	2962	0	0	0
SP96120	323	419	5	527	170	0	48	93	358	72
SP16886	608	0	0	6179	732	40	0	104	0	0
SP96124	338	992	0	243	11	0	0	32	0	21
SP19295	872	0	0	3110	120	5	0	44	86	41
SP19670	254	0	13	486	13	0	0	6	347	31
SP17905	4577	0	1441	12872	941	0	5118	717	0	0
SP16934	420	0	3	444	223	0	41	31	349	23
SP20993	485	0	0	802	138	0	4	43	518	14
SP19983	752	0	16	560	224	0	46	11	630	33
SP18121	61682	0	11955	25785	149	0	459	0	0	0
SP96122	859	78	9	783	51	0	0	14	646	34
SP119755	927	0	19	626	112	3	106	66	494	58
SP96126	606	1482	0	1139	34	0	0	0	0	39
SP19606	96	378	10	89	124	0	95	106	58	44
SP96118	4709	0	2588	1586	0	0	582	0	0	0
SP21528	247	0	12	578	40	0	8	23	361	33
SP21400	1758	0	0	8246	439	6	70	32	0	0
SP23078	116	0	0	135	297	3	52	59	316	75
SP17430	76	0	0	142	18	0	55	62	242	31
SP96110	376	0	6	286	66	0	42	53	381	35
SP18946	5654	0	562	8687	370	16	1325	187	0	0
SP21057	838	0	34	551	101	0	55	83	404	66
SP22750	252	0	13	452	50	0	7	25	390	37
SP19750	218	207	0	569	18	0	0	0	190	30
SP17016	563	0	12	294	16	0	41	45	523	18
SP16958	500	0	0	451	21	6	55	11	1058	179
SP17329	171	0	15	247	33	0	90	40	248	19
SP96116	176	772	0	269	28	10	0	24	0	40
SP96129	568	0	8	365	26	0	26	30	624	60
SP21193	303	0	4	316	19	0	51	37	260	51
SP18787	304	1187	0	633	18	0	0	26	20	71
SP96114	214	0	19	520	94	0	52	75	415	38
SP19582	62	0	4	164	38	0	124	47	115	28
SP17294	665	0	32	849	203	0	63	30	397	26
SP80367	35	0	16	306	456	5	75	40	121	39
SP82087	155	0	24	328	103	0	39	42	337	18
SP80615	2592	0	260	13173	1798	76	1012	392	0	36
SP80271	383	0	9	508	40	0	44	42	296	51
SP81172	204	294	0	151	194	0	262	143	0	55
SP81840	736	220	21	891	21	0	48	6	340	81
SP80657	88	73	2	260	24	3	38	35	126	33
SP81494	130	0	18	324	74	0	276	85	240	38
SP81711	424	0	6	936	118	0	236	22	550	137
SP80423	301	0	7	176	37	0	131	78	375	42
SP80754	233	0	13	322	14	1	333	11	305	88
SP81440	47	0	4	158	26	0	31	31	161	19
SP80950	265	0	10	172	7	0	23	19	279	14
SP82103	84	546	0	648	6	0	11	27	136	20
SP81137	156	0	0	649	1231	13	49	0	444	112
DRUP01010006T	226	1149	0	151	56	86	19	38	20	73
CPCT02020319T	293	1180	5	0	143	84	0	25	37	44
CPCT02040021T	167	1329	46	0	134	75	58	33	0	27
CPCT02110003T	40	766	12	259	26	45	0	14	0	34
CPCT02140012T	315	879	0	0	61	102	1008	22	93	115
CPCT02040027T	740	1171	44	122	120	116	12	68	37	55
CPCT02100013T	593	1088	41	86	63	130	494	103	68	546
CPCT02050048T	209	761	81	182	73	146	20	48	0	95
CPCT02060015T	489	1236	10	0	171	106	19	35	83	23
CPCT02010397T	346	1676	52	0	40	68	0	40	0	75
CPCT02040040T	223	1105	20	246	172	121	32	59	0	33
CPCT02110008T	340	913	29	0	35	157	117	117	400	69
CPCT02050057T	289	1730	15	316	49	90	0	52	0	32
CPCT02050061T	65	666	15	128	49	62	119	50	0	42
CPCT02110011T	277	890	29	140	47	29	15	32	0	14
CPCT02020383T	128	888	66	0	164	59	95	59	69	121
CPCT02010414T	566	520	29	7	391	100	114	87	287	60
CPCT02210001T	420	1128	47	161	75	59	42	25	0	13
CPCT02210003T	289	1598	57	230	82	75	0	102	0	109
CPCT02330007T	80	784	27	253	323	131	55	69	0	52
CPCT02050068T	197	0	15	72	15	27	279	52	252	73
CPCT02050075T	396	1197	8	0	451	141	151	162	15	40
CPCT02040058T	358	1186	44	0	226	123	51	36	117	87
CPCT02330009T	188	401	13	156	24	39	34	32	157	11
DRUP01010007T	2253	454	35	506	328	138	65	26	421	60
DRUP01070001T	74565	0	19019	9652	92	225	1432	197	0	0
CPCT02040021TII	323	1670	51	1	136	96	54	16	0	53
CPCT02340048T	152	883	27	197	488	136	18	85	227	126
CPCT02330131T	93	497	56	0	71	66	44	247	148	67
CPCT02190027T	226	357	58	148	75	106	94	101	302	93
CPCT02050300T	313	916	41	48	127	113	12	38	197	103
DRUP01070063T	177	972	31	0	1584	211	321	204	0	650
CPCT02060160T	409	110	66	327	112	204	52	197	249	299
CPCT02030443T	425	35	48	224	385	89	430	27	455	115
CPCT02020651T	292	1360	41	263	283	132	34	61	0	71
DRUP01090009T	262	791	40	7	118	105	16	71	21	127
CPCT02070273T	241	1011	62	330	257	157	60	58	0	165
CPCT02210041T	469	789	9	0	187	116	44	10	57	114
CPCT02010750TII	267	1249	64	56	219	96	29	58	0	76
CPCT02160059T	51	951	30	319	36	47	20	52	0	77
DRUP01340003T	92	0	7	248	2440	254	128	249	0	78
CPCT02080283T	156	1298	35	16	343	74	168	101	112	114
DRUP01330002T	724	241	35	369	126	88	175	218	420	177
CPCT02330078T	74	1404	0	391	96	60	0	418	0	27
CPCT02010730T	434	1059	59	0	170	96	222	137	0	44
CPCT02050307T	177	761	9	0	45	105	216	23	196	112
DRUP01340004T	837	1698	57	292	165	127	0	514	0	40
CPCT02120078T	46	488	0	324	68	48	0	652	147	12
CPCT02100139T	377	765	27	196	81	74	15	39	3	55
CPCT02230077T	352	0	0	224	108	156	389	660	618	137
CPCT02230078T	178	921	0	136	278	111	60	52	0	24
CPCT02010735T	116	785	12	150	20	67	36	55	0	31
DRUP01010051TII	225	1870	5	0	145	105	0	65	0	31
CPCT02440004T	918	2172	43	47	51	95	3	277	0	44
CPCT02220032T	535	1037	11	0	247	177	552	439	364	134
CPCT02130031T	301	1191	22	121	118	231	42	28	0	160
DRUP01020018T	243	1372	10	1	83	148	140	308	0	121
CPCT02310005T	300	589	40	0	19	83	174	236	262	270
