MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	1.29E-04	2.59E-03	4.91E-04	4.27E-03	2.74E-03	4.02E-04	2.95E-04	1.07E-03	3.03E-03	4.02E-04	8.73E-04	5.27E-04
1:Del:C:1	9.71E-05	1.34E-03	3.44E-04	3.94E-03	1.52E-03	3.99E-04	1.94E-04	7.00E-04	1.04E-03	2.68E-04	6.50E-04	4.39E-04
1:Del:C:2	5.09E-05	5.99E-04	1.42E-04	3.02E-03	4.01E-04	1.54E-04	9.07E-05	6.24E-04	1.21E-03	1.39E-04	3.66E-04	1.81E-04
1:Del:C:3	7.93E-05	3.80E-04	1.20E-04	9.83E-04	1.79E-04	1.34E-04	3.29E-05	3.76E-04	5.50E-04	5.36E-05	1.52E-04	2.02E-04
1:Del:C:4	9.86E-05	9.08E-04	6.87E-05	2.84E-03	1.68E-05	1.38E-04	4.70E-05	2.69E-04	5.57E-04	4.53E-05	1.29E-04	1.44E-04
1:Del:C:5	2.15E-04	2.69E-03	1.13E-04	5.31E-03	3.26E-04	1.59E-04	7.35E-05	1.54E-04	3.74E-04	4.69E-05	8.67E-05	3.33E-05
1:Del:T:0	3.96E-05	2.76E-03	1.86E-03	2.23E-03	1.56E-03	1.79E-04	2.34E-04	4.38E-03	6.01E-04	2.16E-03	5.42E-04	6.92E-04
1:Del:T:1	8.55E-05	8.22E-04	5.17E-04	7.27E-04	4.08E-04	2.02E-04	1.43E-04	8.81E-04	5.59E-04	1.53E-03	4.85E-04	4.85E-04
1:Del:T:2	4.80E-04	1.18E-03	1.03E-03	4.90E-04	4.30E-04	1.38E-03	9.43E-05	5.12E-04	3.94E-04	1.13E-03	3.56E-04	3.39E-04
1:Del:T:3	7.26E-04	2.19E-03	1.43E-03	3.42E-03	4.41E-04	2.27E-03	3.99E-05	2.78E-04	5.56E-04	2.38E-03	4.94E-04	7.25E-05
1:Del:T:4	7.73E-04	2.42E-03	1.64E-03	8.58E-03	3.39E-05	2.79E-03	1.25E-04	6.04E-04	3.27E-04	1.46E-03	1.27E-04	3.41E-04
1:Del:T:5	6.22E-03	2.72E-02	2.70E-03	7.72E-03	7.43E-03	5.47E-03	1.90E-03	5.49E-03	1.80E-03	5.82E-03	1.74E-03	2.16E-03
1:Ins:C:0	3.02E-05	9.91E-05	5.12E-04	2.77E-04	3.13E-04	1.22E-03	2.11E-03	2.60E-04	4.50E-04	3.35E-04	3.64E-04	3.33E-04
1:Ins:C:1	3.31E-06	5.25E-04	1.03E-04	2.64E-04	3.20E-04	5.61E-05	1.10E-04	4.75E-04	1.07E-04	7.45E-05	1.33E-04	1.69E-04
1:Ins:C:2	7.28E-06	2.40E-04	3.73E-05	1.39E-04	1.00E-04	1.81E-05	3.73E-05	1.82E-04	7.08E-05	3.27E-05	1.03E-04	1.07E-04
1:Ins:C:3	1.32E-05	2.87E-04	6.35E-05	2.07E-04	1.70E-04	3.89E-05	3.37E-05	3.15E-04	1.24E-04	6.07E-05	6.12E-05	1.17E-04
1:Ins:C:4	4.44E-05	2.20E-04	4.79E-05	5.31E-04	1.77E-04	5.96E-05	3.19E-05	2.56E-04	9.05E-05	4.35E-05	7.43E-05	1.09E-04
1:Ins:C:5	1.53E-04	5.74E-04	5.82E-04	5.88E-04	6.96E-04	6.70E-04	7.15E-05	5.81E-04	1.87E-04	1.63E-04	2.27E-04	3.77E-04
1:Ins:T:0	8.00E-05	1.36E-03	2.02E-04	9.75E-04	1.20E-03	2.48E-04	2.33E-04	1.15E-03	5.36E-04	1.85E-04	2.30E-04	4.46E-04
1:Ins:T:1	2.77E-05	2.99E-03	3.80E-04	2.55E-03	1.22E-03	9.06E-05	2.13E-04	2.94E-03	1.26E-03	2.61E-04	1.91E-04	3.61E-04
1:Ins:T:2	5.92E-05	2.07E-03	2.29E-04	2.01E-03	8.95E-04	1.30E-04	1.39E-04	2.28E-03	1.27E-03	1.61E-04	2.27E-04	8.77E-05
1:Ins:T:3	1.57E-04	1.06E-03	3.24E-04	7.38E-04	4.59E-04	3.74E-04	8.67E-05	9.92E-04	5.04E-04	1.81E-04	8.94E-05	2.72E-04
1:Ins:T:4	5.80E-04	4.19E-04	1.29E-03	6.14E-04	3.62E-04	1.54E-03	2.58E-05	1.71E-04	2.38E-04	4.58E-04	4.84E-05	1.40E-47
1:Ins:T:5	4.09E-03	7.71E-03	1.07E-02	5.11E-03	1.36E-02	1.05E-02	1.81E-03	9.38E-03	9.15E-04	5.82E-03	5.36E-03	1.45E-03
2:Del:R:0	3.95E-05	1.16E-03	3.44E-04	1.50E-03	1.24E-03	2.22E-04	1.25E-04	8.33E-04	1.97E-03	2.66E-04	2.70E-04	3.60E-04
2:Del:R:1	4.18E-05	2.07E-03	1.01E-03	6.61E-04	4.56E-04	6.93E-04	9.97E-05	2.12E-03	2.54E-04	4.88E-04	2.22E-04	5.12E-04
2:Del:R:2	2.67E-05	5.15E-04	2.67E-04	2.47E-04	1.51E-04	1.76E-04	4.51E-05	4.74E-04	1.85E-04	1.28E-04	8.47E-05	1.88E-04
2:Del:R:3	4.85E-05	1.50E-03	1.25E-05	3.18E-03	7.54E-05	1.32E-05	0.00E+00	7.08E-05	1.26E-04	3.94E-05	4.93E-05	1.42E-05
2:Del:R:4	2.10E-05	5.76E-04	3.53E-05	1.22E-03	6.20E-05	3.28E-05	1.49E-06	9.42E-05	7.70E-05	2.63E-05	3.36E-05	7.51E-05
2:Del:R:5	7.04E-06	2.58E-03	1.92E-06	5.15E-03	1.95E-04	2.59E-05	8.56E-06	1.37E-04	9.55E-05	4.09E-05	2.67E-05	1.90E-04
3:Del:R:0	2.80E-06	1.76E-04	7.58E-05	3.54E-04	1.32E-04	3.26E-05	3.92E-05	1.53E-04	1.76E-04	1.37E-04	1.91E-04	6.14E-05
3:Del:R:1	1.56E-05	1.80E-03	8.89E-04	5.44E-04	3.55E-04	6.04E-04	9.62E-05	1.93E-03	1.85E-04	3.59E-04	1.70E-04	5.00E-04
