NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	521.179	11.871	127.404	5.96	0.028	0.997	1000000.0
2	478.275	11.869	112.093	6.001	0.028	0.997	1000000.0
3	439.378	11.935	100.208	6.064	1.562	0.997	1000000.0
4	510.902	11.777	122.844	5.866	0.028	0.998	1000000.0
5	439.353	11.895	99.387	5.993	3.096	0.997	1000000.0
6	417.626	11.923	91.965	6.062	3.097	0.997	1000000.0
7	439.178	11.94	98.56	6.012	0.029	0.997	1000000.0
8	454.611	11.931	103.657	6.018	0.028	0.997	1000000.0
9	437.113	11.905	98.418	5.993	0.029	0.997	1000000.0
10	443.179	11.865	101.01	5.975	1.562	0.997	1000000.0
11	438.742	11.876	98.56	5.961	0.029	0.997	1000000.0
12	446.013	11.839	101.631	6.001	0.029	0.997	1000000.0
13	441.787	11.818	100.842	5.938	1.562	0.998	1000000.0
14	418.81	11.891	92.037	6.048	6.163	0.997	1000000.0
15	418.893	11.856	92.995	5.998	0.029	0.997	1000000.0
16	452.003	11.869	103.884	5.985	0.028	0.997	1000000.0
17	413.737	11.917	90.256	6.065	1.562	0.997	1000000.0
18	443.103	11.971	100.326	6.135	1.562	0.997	1000000.0
19	416.943	11.943	91.302	6.063	6.163	0.997	1000000.0
20	420.365	11.921	92.115	6.071	0.029	0.997	1000000.0
21	421.91	11.834	93.172	5.912	1.562	0.997	1000000.0
22	419.911	11.878	91.964	5.959	0.029	0.997	1000000.0
23	417.058	11.833	91.491	5.971	4.63	0.997	1000000.0
24	442.961	11.968	100.676	6.114	0.028	0.997	1000000.0
25	440.537	11.867	99.187	5.972	0.028	0.997	1000000.0
26	441.323	11.888	100.381	6.019	4.629	0.997	1000000.0
27	442.408	11.813	100.893	5.948	0.028	0.997	1000000.0
28	446.677	11.821	101.59	5.924	10.764	0.997	1000000.0
29	441.315	11.9	101.014	6.018	4.629	0.997	1000000.0
30	436.004	11.784	98.182	5.878	1.562	0.997	1000000.0
31	448.266	11.889	101.245	5.991	0.029	0.997	1000000.0
32	419.63	11.9	91.482	6.006	0.029	0.997	1000000.0
33	443.601	11.992	101.308	6.121	1.562	0.997	1000000.0
34	450.254	11.918	102.86	6.029	0.028	0.997	1000000.0
35	417.48	11.87	90.961	6.033	1.563	0.997	1000000.0
36	492.938	11.876	118.019	5.984	0.029	0.997	1000000.0
37	415.936	11.898	91.166	6.06	6.164	0.997	1000000.0
38	441.687	12.004	100.246	6.108	4.63	0.997	1000000.0
39	438.346	11.811	98.972	5.953	1.562	0.997	1000000.0
40	437.021	12.013	98.638	6.102	7.697	0.997	1000000.0
41	438.361	11.862	98.421	5.963	0.029	0.997	1000000.0
42	447.459	11.919	103.235	6.048	1.562	0.997	1000000.0
43	436.78	11.88	98.517	5.975	0.029	0.997	1000000.0
44	441.048	11.866	100.455	6.02	1.562	0.997	1000000.0
45	440.049	11.917	100.119	6.061	0.029	0.997	1000000.0
46	417.659	11.823	91.348	5.947	3.096	0.997	1000000.0
47	446.194	11.873	102.55	5.988	0.028	0.997	1000000.0
48	447.222	11.859	102.7	6.01	3.096	0.997	1000000.0
49	506.747	11.927	123.89	6.022	0.028	0.997	1000000.0
50	445.9	11.898	102.034	6.01	3.096	0.997	1000000.0
51	445.768	11.851	102.34	5.967	0.028	0.997	1000000.0
52	489.534	11.9	117.149	6.025	3.096	0.997	1000000.0
53	451.563	11.924	103.746	6.056	1.562	0.997	1000000.0
54	444.012	11.89	101.273	6.01	3.096	0.997	1000000.0
55	419.829	11.945	91.47	6.056	1.563	0.997	1000000.0
56	448.706	11.981	102.068	6.003	4.63	0.997	1000000.0
57	440.49	11.878	100.03	6.004	3.096	0.997	1000000.0
58	447.268	11.79	102.353	5.927	1.562	0.997	1000000.0
59	431.386	12.073	95.078	6.121	9.232	0.997	1000000.0
60	440.044	11.832	100.332	5.931	1.562	0.998	1000000.0
61	445.38	11.782	101.838	5.896	3.096	0.997	1000000.0
62	444.349	11.894	100.716	5.986	3.096	0.997	1000000.0
63	418.636	11.852	91.734	5.963	1.563	0.997	1000000.0
64	445.183	11.792	101.022	5.88	0.028	0.998	1000000.0
65	419.181	11.962	91.87	6.125	0.029	0.997	1000000.0
66	446.216	11.894	100.953	5.932	0.029	0.997	1000000.0
67	416.328	11.949	91.864	6.105	3.097	0.997	1000000.0
68	439.786	11.874	99.006	5.977	3.096	0.997	1000000.0
69	416.784	11.974	91.209	6.068	6.164	0.997	1000000.0
70	484.552	11.863	114.869	5.978	0.028	0.997	1000000.0
71	418.079	11.945	90.773	6.021	1.562	0.997	1000000.0
72	441.025	11.828	100.187	5.95	0.028	0.998	1000000.0
73	441.658	11.925	100.595	6.055	3.096	0.997	1000000.0
74	447.824	11.832	102.807	5.938	0.029	0.997	1000000.0
75	518.705	11.878	126.444	5.936	0.028	0.997	1000000.0
76	424.395	11.923	93.634	6.042	1.562	0.997	1000000.0
77	442.041	11.926	101.205	6.03	1.562	0.997	1000000.0
78	438.331	11.943	98.389	6.046	0.029	0.997	1000000.0
79	451.103	11.913	103.525	6.03	0.028	0.997	1000000.0
80	422.15	11.898	92.861	6.028	0.029	0.997	1000000.0
81	419.329	11.957	92.66	6.123	1.562	0.997	1000000.0
82	446.446	11.922	102.083	5.984	4.63	0.997	1000000.0
83	518.026	11.869	125.158	5.946	0.028	0.998	1000000.0
84	446.752	11.841	102.612	5.985	4.63	0.997	1000000.0
85	441.119	11.884	100.04	5.987	0.029	0.997	1000000.0
86	438.295	11.909	98.424	6.008	4.63	0.997	1000000.0
87	419.066	11.88	91.93	6.023	4.63	0.997	1000000.0
88	448.427	11.862	101.963	5.943	1.562	0.997	1000000.0
89	448.28	11.849	101.411	5.934	0.028	0.997	1000000.0
90	417.037	11.871	91.829	5.983	0.029	0.997	1000000.0
91	419.731	11.863	91.89	6.013	0.029	0.997	1000000.0
92	439.399	11.812	99.68	5.93	0.028	0.998	1000000.0
93	460.845	11.94	106.468	5.964	1.562	0.998	1000000.0
94	419.666	11.873	92.123	5.998	6.163	0.997	1000000.0
95	448.559	11.923	102.416	6.02	6.163	0.997	1000000.0
96	441.127	11.894	100.01	5.991	7.697	0.997	1000000.0
97	452.927	11.898	104.28	5.993	1.562	0.997	1000000.0
98	452.449	11.969	104.116	6.055	3.096	0.997	1000000.0
99	440.585	11.907	100.153	6.067	4.63	0.997	1000000.0
100	417.69	11.958	91.287	6.047	0.029	0.997	1000000.0
