MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	9.08E-06	1.56E-04	6.50E-04	2.15E-03	2.99E-04
1:Del:C:1	2.48E-07	1.29E-04	3.00E-04	1.53E-03	1.89E-04
1:Del:C:2	4.17E-06	7.64E-05	1.55E-04	7.55E-04	7.91E-05
1:Del:C:3	8.86E-06	3.35E-05	5.63E-05	2.53E-04	3.07E-05
1:Del:C:4	3.17E-05	2.85E-05	4.79E-06	1.68E-04	2.12E-05
1:Del:C:5	1.09E-04	3.63E-05	8.59E-05	1.08E-04	4.83E-05
1:Del:T:0	6.00E-06	8.82E-05	8.92E-04	4.26E-04	1.61E-04
1:Del:T:1	1.89E-05	2.35E-04	6.69E-04	9.84E-04	1.54E-04
1:Del:T:2	6.02E-05	4.68E-04	3.95E-04	1.04E-03	1.44E-04
1:Del:T:3	1.01E-04	8.70E-04	7.01E-04	2.47E-03	2.39E-04
1:Del:T:4	3.64E-05	7.55E-04	2.25E-04	9.19E-04	1.55E-04
1:Del:T:5	1.86E-03	5.26E-04	2.91E-03	3.44E-04	4.96E-04
1:Ins:C:0	1.59E-05	1.54E-04	6.63E-05	1.64E-04	2.03E-03
1:Ins:C:1	1.94E-06	1.93E-05	7.77E-05	6.78E-05	9.74E-05
1:Ins:C:2	1.69E-06	8.80E-06	4.37E-05	3.86E-05	2.95E-05
1:Ins:C:3	2.07E-06	1.40E-05	2.80E-05	3.45E-05	3.09E-05
1:Ins:C:4	6.15E-06	1.97E-05	1.93E-05	3.20E-05	2.97E-05
1:Ins:C:5	1.24E-05	2.59E-04	2.30E-04	7.37E-05	7.37E-05
1:Ins:T:0	1.53E-05	6.79E-05	9.22E-05	1.28E-04	1.67E-04
1:Ins:T:1	3.37E-08	3.66E-05	2.16E-04	2.84E-04	1.32E-04
1:Ins:T:2	4.44E-06	3.03E-05	7.22E-05	3.10E-04	7.87E-05
1:Ins:T:3	2.18E-05	4.19E-05	4.85E-05	1.68E-04	4.73E-05
1:Ins:T:4	7.04E-05	3.41E-04	1.70E-04	1.86E-04	7.52E-05
1:Ins:T:5	1.85E-03	1.43E-03	1.02E-02	1.32E-03	2.66E-03
2:Del:R:0	1.17E-05	1.05E-05	3.10E-04	6.95E-04	1.32E-04
2:Del:R:1	5.22E-06	4.61E-05	5.05E-04	2.66E-04	7.71E-05
2:Del:R:2	5.08E-06	2.48E-05	1.08E-04	7.57E-05	4.27E-05
2:Del:R:3	4.80E-05	3.89E-06	7.47E-06	3.38E-05	3.79E-06
2:Del:R:4	1.81E-05	1.33E-06	1.23E-05	2.45E-05	0.00E+00
2:Del:R:5	5.37E-05	2.20E-06	2.38E-05	3.13E-05	6.28E-06
3:Del:R:0	4.51E-06	5.86E-06	1.25E-04	7.86E-05	3.23E-05
3:Del:R:1	4.55E-06	7.87E-05	3.31E-04	2.84E-04	6.85E-05
3:Del:R:2	2.72E-06	1.46E-05	9.08E-05	7.93E-05	2.19E-05
3:Del:R:3	1.37E-06	5.42E-06	2.79E-05	2.74E-05	6.94E-06
3:Del:R:4	1.73E-06	5.50E-06	1.10E-05	1.50E-05	6.17E-06
3:Del:R:5	2.63E-06	2.52E-06	9.92E-06	1.05E-05	7.40E-06
4:Del:R:0	2.24E-06	4.16E-06	1.10E-04	1.08E-04	1.60E-05
4:Del:R:1	3.99E-06	1.92E-05	2.58E-04	2.12E-04	4.25E-05
4:Del:R:2	2.03E-06	5.86E-06	8.54E-05	7.24E-05	3.62E-06
4:Del:R:3	3.00E-06	6.43E-07	4.03E-05	4.05E-05	7.44E-06
4:Del:R:4	1.16E-06	2.21E-07	1.78E-05	2.09E-05	5.80E-06
4:Del:R:5	2.27E-06	4.11E-11	7.36E-06	8.26E-06	2.61E-06
5:Del:R:0	1.22E-06	3.00E-06	1.17E-03	1.48E-03	1.10E-04
5:Del:R:1	2.49E-06	1.40E-05	1.85E-04	1.72E-04	4.89E-05
5:Del:R:2	1.22E-06	1.97E-06	3.87E-05	3.03E-05	1.30E-05
5:Del:R:3	9.31E-07	1.22E-07	1.09E-05	7.20E-06	2.92E-06
5:Del:R:4	7.36E-07	7.09E-07	5.09E-06	7.02E-06	1.18E-06
5:Del:R:5	5.82E-07	3.48E-07	2.58E-06	1.97E-06	2.28E-06
2:Ins:R:0	1.49E-05	9.40E-05	1.11E-04	1.17E-04	1.18E-04
2:Ins:R:1	2.15E-06	2.22E-05	1.29E-04	8.24E-05	5.08E-05
2:Ins:R:2	2.70E-06	1.43E-05	5.91E-05	6.05E-05	2.06E-05
2:Ins:R:3	3.06E-06	1.10E-05	1.86E-05	3.70E-05	2.36E-05
2:Ins:R:4	5.58E-06	3.85E-05	7.44E-05	2.56E-05	3.14E-05
2:Ins:R:5	1.31E-05	4.69E-04	2.48E-04	1.18E-04	1.01E-04
3:Ins:R:0	5.07E-06	2.33E-05	1.52E-04	1.02E-04	7.63E-05
3:Ins:R:1	0.00E+00	2.53E-05	7.47E-05	6.34E-05	4.17E-05
3:Ins:R:2	1.11E-06	7.66E-06	2.50E-05	2.55E-05	1.59E-05
3:Ins:R:3	9.48E-07	6.00E-06	6.29E-06	5.58E-06	1.12E-05
3:Ins:R:4	9.91E-07	7.30E-06	1.24E-05	1.69E-05	1.60E-05
3:Ins:R:5	3.96E-06	4.18E-05	2.29E-05	1.78E-05	3.78E-05
4:Ins:R:0	8.66E-06	9.14E-05	1.56E-04	1.23E-04	1.30E-04
4:Ins:R:1	2.19E-07	2.65E-05	1.01E-04	8.06E-05	3.79E-05
4:Ins:R:2	1.04E-06	7.81E-06	1.70E-05	1.67E-05	2.90E-06
4:Ins:R:3	1.32E-06	1.12E-05	1.38E-05	1.34E-05	1.35E-05
4:Ins:R:4	1.69E-06	1.75E-05	1.70E-05	9.09E-06	2.69E-05
4:Ins:R:5	1.76E-06	3.29E-05	3.19E-05	2.54E-05	3.49E-05
5:Ins:R:0	3.78E-05	7.94E-05	1.33E-03	1.05E-03	2.89E-04
5:Ins:R:1	0.00E+00	8.11E-05	3.54E-04	2.81E-04	1.71E-04
5:Ins:R:2	1.26E-06	9.07E-06	2.74E-05	2.26E-05	2.04E-05
5:Ins:R:3	1.08E-06	1.15E-05	1.38E-05	5.96E-06	1.52E-05
5:Ins:R:4	7.38E-07	7.98E-06	1.10E-05	1.13E-05	5.98E-06
5:Ins:R:5	2.49E-07	5.03E-06	6.02E-06	1.57E-06	8.28E-07
2:Del:M:1	5.93E-06	2.89E-05	4.35E-04	3.36E-04	1.06E-04
3:Del:M:1	2.33E-06	8.92E-07	1.31E-04	1.07E-04	1.73E-05
3:Del:M:2	3.79E-06	2.28E-05	2.39E-04	2.13E-04	3.49E-05
4:Del:M:1	3.14E-06	5.83E-07	1.42E-04	1.37E-04	1.08E-05
4:Del:M:2	1.74E-06	8.34E-06	1.51E-04	1.41E-04	3.08E-05
4:Del:M:3	2.79E-06	1.53E-05	1.98E-04	1.91E-04	4.60E-05
5:Del:M:1	1.01E-05	0.00E+00	1.00E-03	1.28E-03	8.65E-05
5:Del:M:2	5.28E-07	9.17E-06	8.10E-04	1.12E-03	7.81E-05
5:Del:M:3	3.71E-06	1.29E-06	5.66E-04	7.86E-04	6.31E-05
5:Del:M:4	1.44E-06	1.18E-06	3.27E-04	4.77E-04	4.29E-05
5:Del:M:5	1.94E-06	3.29E-06	3.85E-04	4.41E-04	5.74E-05
