Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP18310	96317	30180	5545	0	1940	0	0	0
SP17172	32706	0	6785	172	0	217	0	0
SP96133	58634	9612	6301	0	2733	108	0	0
SP110242	80269	27648	14559	0	2019	0	0	0
SP114330	93	339	621	10	58	21	75	71
SP21017	80436	19925	10089	0	1898	31	0	0
SP22383	62409	6918	6602	0	3359	0	0	0
SP81312	3242	0	7204	0	401	603	139	0
SP22031	346	0	2930	34	0	161	0	23
SP96112	68	186	340	0	31	5	63	60
SP19215	55317	9138	4862	0	4414	0	0	0
SP96120	256	412	892	0	41	177	123	114
SP16886	335	0	6395	0	54	752	95	32
SP96124	418	322	752	46	0	13	47	39
SP19295	759	0	3277	0	0	122	47	73
SP19670	156	283	618	0	0	13	24	56
SP17905	4471	0	13057	0	6387	979	772	0
SP16934	347	200	613	0	36	233	52	53
SP20993	339	389	1015	0	0	144	71	46
SP19983	643	363	861	0	35	236	49	85
SP18121	63409	10952	24254	0	1286	129	0	0
SP96122	730	441	1109	8	0	53	50	83
SP119755	851	261	878	0	101	116	99	105
SP96126	673	556	1895	67	0	37	10	62
SP19606	106	185	301	0	102	129	121	56
SP96118	5014	2675	715	0	1061	0	0	0
SP21528	146	280	726	0	6	42	44	58
SP21400	1437	0	8507	0	119	445	16	27
SP23078	57	141	292	0	54	315	83	111
SP17430	19	161	237	0	60	20	82	47
SP96110	323	177	483	0	39	70	83	70
SP18946	5597	0	9009	0	1624	379	192	0
SP21057	799	179	783	0	49	106	115	101
SP22750	162	264	625	0	3	53	50	69
SP19750	178	191	773	9	0	19	12	50
SP17016	482	309	533	0	31	17	81	59
SP16958	295	647	913	0	37	23	78	288
SP17329	113	174	344	0	102	34	58	38
SP96116	251	192	684	62	0	31	38	61
SP96129	475	335	668	0	11	28	73	117
SP21193	259	131	450	0	50	20	57	74
SP18787	377	416	1295	0	0	21	46	104
SP96114	101	316	680	0	57	99	103	71
SP19582	31	65	212	0	142	39	57	36
SP17294	548	343	1003	0	64	210	50	47
SP80367	0	46	380	0	86	477	49	55
SP82087	71	251	463	0	45	110	65	41
SP80615	2105	0	13576	0	1320	1847	388	103
SP80271	310	206	636	0	43	42	61	75
SP81172	212	99	295	0	288	198	153	58
SP81840	658	348	1156	0	39	22	26	115
SP80657	57	107	358	0	41	25	46	48
SP81494	46	221	377	0	314	77	103	47
SP81711	262	396	1152	0	261	122	54	182
SP80423	231	226	330	0	142	39	108	71
SP80754	168	159	445	0	381	15	33	119
SP81440	3	123	216	0	35	28	42	30
SP80950	229	143	311	0	20	8	39	39
SP82103	60	324	989	6	7	7	43	42
SP81137	11	271	869	0	52	1284	0	167
DRUP01010006T	378	161	702	317	8	61	67	124
CPCT02020319T	411	297	499	331	0	148	47	78
