Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP18310	1.86E+03	1.98E+03	1.70E+02	5.53E+02	4.00E+01	4.72E+00	0.00E+00	1.43E+00
SP17172	2.31E+02	2.06E+02	6.27E+01	4.80E+01	1.25E+01	3.31E+00	1.52E+00	1.24E+00
SP96133	8.73E+02	8.90E+02	9.11E+01	2.42E+02	3.60E+01	3.25E+00	3.79E+00	1.70E+00
SP110242	1.55E+03	1.69E+03	2.03E+02	4.68E+02	4.38E+01	6.11E+00	0.00E+00	2.55E+00
SP114330	6.42E+00	2.03E+01	6.70E+00	1.83E+01	1.92E+00	6.04E-01	1.79E+00	1.36E+00
SP21017	1.42E+03	1.53E+03	1.52E+02	4.18E+02	4.13E+01	5.08E+00	0.00E+00	9.73E-01
SP22383	8.43E+02	8.60E+02	1.01E+02	2.36E+02	4.80E+01	2.79E+00	3.95E+00	1.52E+00
SP81312	5.33E+01	1.00E+01	5.39E+01	3.91E+00	1.07E+01	4.11E+00	3.19E+00	1.02E+00
SP22031	2.39E+01	1.28E+01	2.24E+01	1.30E+01	7.49E-01	1.82E+00	7.23E-01	9.48E-01
SP96112	3.78E+00	1.46E+01	3.53E+00	1.27E+01	1.38E+00	2.69E-01	1.49E+00	1.22E+00
SP19215	9.00E+02	9.50E+02	9.44E+01	2.60E+02	5.55E+01	2.45E+00	2.43E-01	2.98E-01
SP96120	9.76E+00	3.30E+01	9.02E+00	3.09E+01	2.18E+00	1.71E+00	2.41E+00	2.05E+00
SP16886	4.22E+01	5.91E+00	4.11E+01	9.91E+00	4.92E+00	4.33E+00	2.60E+00	1.60E+00
SP96124	7.09E+00	2.71E+01	9.34E+00	2.77E+01	8.87E-01	4.55E-01	1.84E+00	1.32E+00
SP19295	2.67E+01	2.11E+01	2.39E+01	1.98E+01	2.69E+00	1.97E+00	2.01E+00	1.31E+00
SP19670	6.17E+00	2.21E+01	6.83E+00	2.09E+01	1.25E+00	5.70E-01	1.36E+00	1.45E+00
SP17905	1.67E+02	7.94E-01	1.51E+02	2.82E-01	1.52E+02	7.03E+00	1.44E+01	0.00E+00
SP16934	6.77E+00	2.33E+01	4.54E+00	2.00E+01	1.54E+00	1.77E+00	1.97E+00	1.30E+00
SP20993	9.34E+00	3.25E+01	1.04E+01	3.14E+01	1.71E+00	1.50E+00	2.09E+00	1.35E+00
SP19983	9.70E+00	4.28E+01	7.78E+00	3.88E+01	2.36E+00	2.04E+00	2.38E+00	1.90E+00
SP18121	9.29E+02	1.05E+03	2.03E+02	2.88E+02	3.70E+01	9.46E+00	0.00E+00	0.00E+00
SP96122	1.13E+01	4.28E+01	1.11E+01	3.95E+01	1.30E+00	9.58E-01	2.40E+00	1.99E+00
SP119755	8.87E+00	3.33E+01	6.53E+00	2.94E+01	2.22E+00	1.30E+00	2.51E+00	2.00E+00
SP96126	1.52E+01	3.61E+01	2.04E+01	3.97E+01	2.69E-01	8.59E-01	1.84E+00	1.77E+00
SP19606	4.88E+00	1.51E+01	3.68E+00	1.13E+01	1.98E+00	1.38E+00	1.67E+00	1.64E+00
SP96118	1.43E+02	1.63E+02	1.96E+01	4.45E+01	1.18E+01	0.00E+00	1.34E+00	1.07E+00
SP21528	6.75E+00	2.12E+01	6.81E+00	1.92E+01	1.55E+00	8.01E-01	1.49E+00	1.46E+00
SP21400	7.11E+01	4.49E+00	6.56E+01	7.93E+00	8.40E+00	3.81E+00	2.11E+00	9.24E-01
SP23078	4.15E+00	1.47E+01	3.62E+00	1.18E+01	2.30E+00	2.35E+00	1.66E+00	2.15E+00
SP17430	2.56E+00	1.36E+01	3.20E+00	1.16E+01	1.70E+00	5.68E-01	1.43E+00	1.57E+00
SP96110	6.69E+00	2.51E+01	4.48E+00	2.03E+01	1.94E+00	1.11E+00	1.97E+00	1.69E+00
SP18946	7.00E+01	1.33E+01	6.94E+01	4.22E+00	3.47E+01	3.56E+00	3.93E+00	1.89E+00
SP21057	7.19E+00	3.00E+01	5.60E+00	2.42E+01	2.28E+00	1.35E+00	2.69E+00	2.78E+00
SP22750	6.84E+00	2.33E+01	5.92E+00	2.05E+01	1.44E+00	8.18E-01	2.05E+00	1.52E+00
SP19750	7.80E+00	1.88E+01	7.98E+00	1.76E+01	1.29E+00	5.86E-01	1.19E+00	1.20E+00
SP17016	6.73E+00	3.33E+01	4.87E+00	2.80E+01	1.71E+00	5.19E-01	2.10E+00	1.42E+00
SP16958	1.16E+01	6.42E+01	1.15E+01	5.96E+01	4.58E+00	6.50E-01	2.75E+00	4.62E+00
SP17329	4.79E+00	1.47E+01	3.31E+00	1.04E+01	2.07E+00	6.97E-01	1.08E+00	1.03E+00
SP96116	7.00E+00	2.42E+01	8.26E+00	2.32E+01	1.14E+00	7.68E-01	1.34E+00	1.39E+00
