MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	9.37E-04	4.85E-04	3.11E-03	2.14E-03	2.40E-03	3.02E-04	3.96E-03	3.23E-03	3.71E-03	1.49E-03	7.17E-03	1.25E-03	3.86E-03	2.04E-03
1:Del:C:1	3.61E-04	1.64E-04	1.01E-03	7.30E-04	1.00E-03	2.78E-04	1.06E-03	1.04E-03	1.64E-03	4.27E-04	2.25E-03	5.39E-04	1.39E-03	1.68E-03
1:Del:C:2	2.27E-04	1.03E-04	3.95E-04	4.06E-04	5.55E-04	1.29E-04	4.31E-04	2.69E-04	1.00E-03	4.52E-04	7.55E-04	3.74E-04	6.22E-04	1.59E-03
1:Del:C:3	1.64E-04	1.39E-04	5.81E-04	5.55E-04	4.42E-04	2.08E-04	4.37E-04	3.81E-04	5.53E-04	2.17E-04	5.11E-04	1.82E-04	3.16E-04	7.18E-04
1:Del:C:4	2.80E-04	1.28E-04	8.98E-04	1.33E-03	8.73E-04	1.20E-04	6.68E-04	3.54E-04	4.07E-04	3.82E-05	5.02E-04	1.15E-04	4.66E-04	3.66E-04
1:Del:C:5	8.17E-04	1.80E-04	2.70E-03	3.71E-03	2.46E-03	2.58E-04	1.44E-03	3.91E-04	8.02E-04	3.69E-04	6.55E-04	1.78E-04	8.11E-04	3.47E-04
1:Del:T:0	6.46E-04	3.57E-04	1.71E-03	1.13E-03	1.61E-03	6.52E-04	2.52E-03	2.55E-03	1.76E-03	1.00E-03	2.50E-03	5.61E-04	3.01E-03	7.75E-04
1:Del:T:1	1.26E-03	1.50E-04	2.16E-03	2.14E-03	2.03E-03	4.09E-04	3.68E-03	3.58E-03	1.33E-03	1.09E-03	1.34E-03	6.04E-04	1.75E-03	1.04E-03
1:Del:T:2	3.50E-04	2.38E-04	1.19E-03	9.87E-04	8.14E-04	3.55E-04	1.50E-03	1.25E-03	1.21E-03	7.75E-04	1.86E-03	3.85E-04	1.65E-03	4.76E-04
1:Del:T:3	4.92E-04	3.32E-04	2.17E-03	1.38E-03	1.58E-03	4.93E-04	2.16E-03	2.12E-03	1.83E-03	7.14E-04	3.51E-03	5.66E-04	1.09E-03	6.45E-04
1:Del:T:4	1.06E-03	4.58E-04	2.84E-03	2.77E-03	2.75E-03	5.16E-04	2.47E-03	1.81E-03	2.35E-03	1.40E-47	2.63E-03	5.45E-04	1.70E-03	5.30E-04
1:Del:T:5	9.33E-03	8.97E-04	1.36E-02	1.87E-02	1.92E-02	1.05E-02	4.86E-03	6.61E-03	4.20E-03	3.35E-03	5.01E-03	2.94E-03	2.11E-03	9.87E-04
1:Ins:C:0	4.33E-04	2.09E-04	4.97E-04	5.56E-04	5.24E-04	5.10E-03	6.35E-04	1.14E-03	6.87E-04	2.49E-04	4.53E-04	5.89E-04	9.94E-05	3.52E-04
1:Ins:C:1	1.07E-04	7.62E-05	3.43E-04	2.91E-04	3.05E-04	2.85E-04	4.05E-04	3.02E-04	3.55E-04	3.00E-04	5.05E-04	7.94E-05	5.72E-04	1.43E-04
1:Ins:C:2	1.31E-04	5.48E-05	1.20E-04	2.00E-04	1.39E-04	1.02E-04	2.71E-04	2.22E-04	3.14E-04	1.43E-04	4.14E-04	7.52E-05	3.14E-04	1.71E-04
1:Ins:C:3	5.61E-05	9.47E-05	2.38E-04	1.29E-04	1.18E-04	7.00E-05	3.42E-04	1.60E-04	2.28E-04	2.27E-04	2.74E-04	2.23E-05	2.49E-04	1.93E-04
1:Ins:C:4	1.15E-04	1.09E-04	2.93E-04	3.70E-04	2.00E-04	7.72E-05	4.20E-04	2.67E-04	2.97E-04	2.27E-04	3.72E-04	4.00E-05	2.29E-04	1.23E-04
