Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
SP111062	208	239	129	124	0	11	2	38	0	2	221	22	13	31	27	0	0
SP111006	486	660	197	0	0	93	510	145	26	0	67	65	11	53	46	190	0
SP110846	169	93	0	58	0	0	0	64	21	0	63	21	56	31	17	82	0
SP111086	513	110	0	182	0	312	609	54	114	0	4	20	135	23	15	52	0
SP111096	385	269	0	145	0	0	25	3	64	0	98	31	26	15	16	0	0
SP111021	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
SP111058	517	390	31	173	0	0	724	50	259	0	0	59	62	10	61	0	0
SP111092	894	227	0	312	0	0	36	255	57	0	0	532	176	0	18	0	0
SP111076	749	450	200	159	0	165	36	0	4	0	60	26	14	35	0	0	0
SP111098	313	358	169	0	0	0	81	94	52	6	59	23	51	18	13	38	0
SP111039	0	40	0	7	0	0	0	20	20	5	20	1	12	48	22	58	0
SP111052	0	4	0	13	0	0	15	8	6	2	32	4	27	9	0	0	0
SP111166	486	570	305	0	134	305	150	31	91	0	90	34	50	26	6	0	0
SP111014	12	44	0	69	0	0	4	41	45	0	0	5	9	0	0	41	0
SP111066	591	510	486	0	0	0	297	115	311	0	0	7	29	8	16	0	0
SP111094	531	72	0	0	84	84	201	81	125	0	339	22	99	30	49	0	0
SP111015	61	66	193	8	0	0	46	70	60	0	3	31	8	23	13	21	0
SP110853	226	59	0	199	0	254	116	113	110	0	113	79	63	58	7	0	0
SP111051	242	141	0	53	0	188	3	112	5	5	0	72	0	12	0	8	0
SP110855	527	226	0	74	0	0	168	21	95	0	75	61	45	45	21	180	0
SP111004	341	597	0	140	0	48	15	44	16	0	88	6	70	28	19	174	0
SP111078	113	62	0	62	0	24	3	16	41	0	62	2	5	22	6	0	0
SP110863	190	153	0	15	0	136	58	8	125	0	0	10	83	24	29	99	0
