NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	213.597	13.347	41.684	6.954	12.188	0.994	1000000.0
2	212.495	13.274	40.675	6.828	0.039	0.995	1000000.0
3	212.647	13.367	40.471	6.918	16.235	0.994	1000000.0
4	217.405	13.397	42.533	6.909	12.184	0.996	1000000.0
5	211.82	13.416	41.028	6.989	20.277	0.994	1000000.0
6	209.313	13.313	39.697	6.837	0.04	0.995	1000000.0
7	214.816	13.472	41.736	7.023	0.048	0.994	1000000.0
8	212.32	13.118	40.867	6.713	8.134	0.996	1000000.0
9	215.473	13.411	41.782	6.904	20.28	0.995	1000000.0
10	214.196	13.323	42.611	6.961	20.281	0.995	1000000.0
11	212.967	13.366	41.091	6.799	0.041	0.995	1000000.0
12	212.877	13.225	41.128	6.827	0.037	0.996	1000000.0
13	208.501	13.149	39.594	6.742	0.039	0.995	1000000.0
14	210.89	13.372	40.834	6.961	8.136	0.995	1000000.0
15	211.638	13.376	39.961	6.877	16.233	0.995	1000000.0
16	215.444	13.417	42.506	7.057	24.33	0.994	1000000.0
17	211.06	13.32	40.569	6.877	0.042	0.994	1000000.0
18	208.317	13.213	39.598	6.765	4.088	0.995	1000000.0
19	215.86	13.368	41.905	6.925	0.041	0.995	1000000.0
20	215.324	13.308	41.59	6.928	0.039	0.996	1000000.0
21	211.012	13.198	40.477	6.768	4.082	0.995	1000000.0
22	213.009	13.468	41.302	7.025	0.04	0.994	1000000.0
23	216.943	13.317	41.683	6.845	20.285	0.995	1000000.0
24	212.72	13.498	41.069	7.104	0.043	0.994	1000000.0
25	210.063	13.261	40.387	6.786	16.227	0.995	1000000.0
26	214.158	13.269	41.536	6.793	8.134	0.996	1000000.0
27	211.587	13.207	40.386	6.806	28.58	0.995	1000000.0
28	210.156	13.319	40.414	6.91	12.19	0.994	1000000.0
29	208.992	13.135	40.033	6.805	20.279	0.996	1000000.0
30	215.164	13.223	41.631	6.808	40.522	0.995	1000000.0
31	213.21	13.308	40.965	6.863	8.135	0.996	1000000.0
32	212.16	13.432	41.133	6.944	4.089	0.995	1000000.0
33	210.923	13.077	40.416	6.646	0.048	0.995	1000000.0
34	211.313	13.343	40.318	6.95	12.187	0.994	1000000.0
35	210.428	13.203	40.164	6.711	8.34	0.994	1000000.0
36	212.478	13.254	40.721	6.77	8.135	0.996	1000000.0
37	211.531	13.321	40.572	6.929	8.134	0.996	1000000.0
38	210.508	13.232	40.065	6.766	16.232	0.995	1000000.0
