Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP111062	2.78E+00	4.27E+00	3.93E+00	6.86E+00	9.80E-01	7.29E-01	1.48E+00	2.32E+00
SP111006	5.84E+00	7.29E+00	4.62E+00	7.37E+00	1.03E+00	8.25E+00	2.37E+00	3.50E+00
SP110846	1.87E+00	3.64E+00	3.68E+00	6.38E+00	2.89E-01	4.16E-01	1.53E+00	2.40E+00
SP111086	6.03E+00	7.14E+00	6.02E+00	7.12E+00	1.26E+00	9.52E+00	2.51E+00	3.06E+00
SP111096	2.64E+00	3.63E+00	3.25E+00	4.65E+00	6.76E-01	1.41E+00	1.32E+00	1.64E+00
SP111021	0.00E+00	0.00E+00	8.15E-02	2.00E-02	2.00E-02	0.00E+00	0.00E+00	8.30E-02
SP111058	6.68E+00	1.03E+01	1.20E+01	1.97E+00	1.38E+00	1.06E+01	2.62E+00	2.66E+00
SP111092	8.29E+00	6.28E+00	5.85E+00	5.12E+00	1.51E+00	2.38E+00	1.02E+01	3.37E+00
SP111076	4.10E+00	5.19E+00	2.59E+00	5.05E+00	1.05E+00	1.77E+00	1.39E+00	1.76E+00
SP111098	3.28E+00	3.44E+00	4.30E+00	4.44E+00	1.31E+00	2.65E+00	1.39E+00	2.00E+00
SP111039	3.74E-01	1.70E+00	2.01E+00	3.04E+00	6.39E-01	2.90E-01	6.77E-01	1.37E+00
SP111052	4.24E-01	5.38E-01	1.08E+00	1.54E+00	4.19E-01	6.54E-01	7.04E-01	7.29E-01
SP111166	4.66E+00	6.29E+00	5.25E+00	5.53E+00	9.59E-01	4.19E+00	1.87E+00	2.43E+00
SP111014	1.37E+00	1.60E+00	2.40E+00	2.03E+00	0.00E+00	6.27E-01	6.04E-01	9.25E-01
SP111066	9.24E+00	9.88E+00	1.66E+01	3.75E+00	1.14E+00	8.53E+00	1.74E+00	2.39E+00
SP111094	4.16E+00	6.80E+00	6.44E+00	1.15E+01	8.73E-01	4.33E+00	2.20E+00	4.70E+00
SP111015	2.57E+00	2.49E+00	3.52E+00	2.52E+00	0.00E+00	1.46E+00	1.15E+00	1.75E+00
SP110853	3.10E+00	3.96E+00	4.43E+00	6.53E+00	9.85E-01	3.05E+00	2.46E+00	2.68E+00
SP111051	2.36E+00	2.86E+00	2.63E+00	2.81E+00	8.03E-01	8.30E-01	1.89E+00	1.70E+00
SP110855	3.43E+00	4.93E+00	4.89E+00	8.14E+00	8.07E-01	3.88E+00	2.21E+00	2.81E+00
SP111004	3.65E+00	6.89E+00	5.15E+00	9.65E+00	4.39E-01	1.40E+00	1.56E+00	3.20E+00
SP111078	1.66E+00	1.98E+00	2.21E+00	2.51E+00	0.00E+00	6.63E-01	5.29E-01	1.29E+00
SP110863	2.31E+00	3.45E+00	4.84E+00	6.03E+00	3.45E-01	2.19E+00	1.66E+00	2.15E+00
SP111013	2.21E+00	3.54E+00	2.98E+00	4.96E+00	4.40E-01	1.66E+00	1.23E+00	1.57E+00
SP111042	5.90E-01	6.51E-01	9.79E-01	1.23E+00	2.23E-02	4.65E-01	2.68E-01	7.23E-01
SP111040	9.92E-01	2.62E+00	2.45E+00	3.22E+00	2.53E-01	1.64E+00	1.69E+00	1.44E+00
SP111031	5.74E+00	6.79E+00	5.24E+00	7.66E+00	1.57E+00	3.64E+00	1.49E+00	2.60E+00
SP23496	2.35E+00	3.50E+00	3.51E+00	4.95E+00	7.20E-01	2.76E+00	1.41E+00	2.34E+00
SP111030	1.44E+00	2.74E+00	2.89E+00	4.27E+00	7.95E-01	9.66E-01	1.28E+00	1.83E+00
SP111019	1.67E+00	2.10E+00	3.77E+00	4.03E+00	4.16E-01	1.69E+00	1.23E+00	1.60E+00
SP111026	3.91E+00	4.48E+00	6.12E+00	4.71E+00	1.61E+00	4.25E+00	1.61E+00	1.86E+00
SP110860	4.72E+00	5.68E+00	6.20E+00	6.12E+00	1.23E+00	3.21E+00	1.68E+00	2.06E+00
