MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID13	ID14	ID19	ID25
1:Del:C:0	0.00015989	0.00482412	0.12472711	0.00724972	0.02220211	0.03050680	0.03982756	0.33493988	0.06554837	0.01201601	0.05408908	0.03316423
1:Del:C:1	0.00077352	0.00002210	0.20887617	0.00273487	0.02854722	0.00549190	0.02391594	0.09999423	0.01753646	0.00194623	0.01500886	0.01537897
1:Del:C:2	0.00000000	0.00000311	0.17632422	0.00204106	0.02659693	0.00803399	0.00333055	0.00269066	0.00512022	0.00068370	0.00184945	0.01384408
1:Del:C:3	0.00190761	0.00247208	0.06404276	0.00111228	0.01415912	0.00110238	0.00540315	0.01062542	0.00535052	0.00048747	0.00656318	0.00689178
1:Del:C:4	0.00070599	0.00385698	0.04398981	0.00107568	0.00287342	0.00247817	0.00127571	0.01249690	0.00434601	0.00207192	0.00820689	0.00438559
1:Del:C:5	0.00337011	0.01461542	0.02241749	0.00224618	0.00260245	0.00132207	0.00093373	0.00004480	0.00084306	0.00237028	0.00033611	0.00642889
1:Del:T:0	0.00131160	0.00790597	0.03759923	0.00663505	0.10148115	0.00428416	0.03424369	0.10510537	0.05369876	0.01830980	0.01854399	0.26254261
1:Del:T:1	0.00000000	0.00000000	0.01330982	0.00162247	0.10609961	0.00067769	0.01045208	0.04429364	0.49822416	0.00085256	0.00460977	0.01134398
1:Del:T:2	0.00093645	0.00703642	0.01650185	0.00263341	0.11412846	0.01165966	0.00899203	0.08586196	0.02377780	0.01085642	0.00873799	0.01532400
1:Del:T:3	0.00229585	0.02023474	0.02014148	0.00030604	0.08896221	0.02224239	0.00982504	0.11325066	0.06278095	0.01718395	0.02264413	0.01790305
1:Del:T:4	0.00429142	0.04711993	0.01581436	0.00102320	0.05225953	0.01769714	0.00127378	0.09441274	0.02300438	0.01334790	0.02052353	0.01025024
1:Del:T:5	0.00000000	0.81469723	0.00806631	0.00015444	0.03061052	0.00795434	0.01062034	0.00092983	0.00607958	0.03861700	0.00189831	0.04611943
1:Ins:C:0	0.00000000	0.00000000	0.00208309	0.00000000	0.00054225	0.00208689	0.00276427	0.00000000	0.00285043	0.45438696	0.01628628	0.00112228
1:Ins:C:1	0.00000000	0.00022703	0.00157889	0.00027240	0.00124290	0.00177343	0.00216912	0.00000193	0.00165226	0.01277743	0.03305029	0.00494242
1:Ins:C:2	0.00000000	0.00002620	0.00174795	0.00006880	0.00315167	0.00024617	0.00152700	0.00035262	0.00082125	0.00065885	0.01540814	0.00230421
1:Ins:C:3	0.00084599	0.00043005	0.00617765	0.00051248	0.00060285	0.00023217	0.00011652	0.00000000	0.00037556	0.00156440	0.00718753	0.01107799
1:Ins:C:4	0.00178553	0.00291185	0.00710445	0.00000000	0.00019758	0.00037659	0.00055418	0.00000216	0.00014858	0.00153950	0.01028347	0.00302963
1:Ins:C:5	0.02429654	0.00901754	0.00735110	0.00024914	0.00043354	0.00024800	0.00048949	0.00007370	0.00070698	0.00229300	0.02796958	0.02183345
1:Ins:T:0	0.00228382	0.00132856	0.01872237	0.00033367	0.00636196	0.00639625	0.00450798	0.01261448	0.04113701	0.03261201	0.01808925	0.01448952
1:Ins:T:1	0.00004030	0.00000000	0.04311903	0.00101004	0.01346270	0.00104119	0.00486870	0.01038527	0.00474885	0.00316588	0.02808965	0.01618837
1:Ins:T:2	0.00019286	0.00064703	0.04015704	0.00001060	0.02972114	0.00073885	0.00142964	0.00231466	0.00305417	0.00177461	0.01156301	0.00597962
1:Ins:T:3	0.00424327	0.00108288	0.02512543	0.00017394	0.01884025	0.00093064	0.00108729	0.00160089	0.00927186	0.00117384	0.00679258	0.00563053
1:Ins:T:4	0.01664913	0.00348746	0.00656331	0.00001600	0.01126875	0.00134985	0.00082262	0.00158536	0.01209864	0.00478500	0.00670159	0.00357056
1:Ins:T:5	0.89090647	0.00313258	0.02618124	0.00083293	0.00143921	0.01439004	0.02016125	0.00577248	0.01109979	0.23274755	0.01073388	0.34213643
2:Del:R:0	0.00068605	0.00016381	0.00689755	0.07172421	0.02805441	0.00178365	0.00876922	0.01317475	0.02218440	0.00066200	0.00238233	0.00488513
2:Del:R:1	0.00121997	0.00356888	0.00847465	0.23051288	0.02456273	0.00245435	0.01030715	0.00319854	0.00433321	0.00660004	0.00151209	0.01295105
2:Del:R:2	0.00047275	0.00184957	0.01180064	0.05505940	0.00456262	0.00208860	0.00053203	0.00118970	0.00310892	0.00270193	0.00476235	0.00651219
2:Del:R:3	0.00042672	0.00073904	0.00667112	0.01281101	0.00039592	0.00052575	0.00002710	0.00009590	0.00010557	0.00039280	0.00052995	0.00184115
2:Del:R:4	0.00005460	0.00088193	0.00282253	0.00321922	0.00086756	0.00023253	0.00027403	0.00000000	0.00000613	0.00000141	0.00004580	0.00129842
2:Del:R:5	0.00000000	0.00000000	0.00010124	0.00238272	0.02142678	0.00021568	0.00083308	0.00000000	0.00006630	0.00004370	0.00000684	0.00017077
3:Del:R:0	0.00012804	0.00001250	0.00058912	0.00506895	0.01713637	0.00105105	0.01096410	0.00285810	0.00303967	0.00114666	0.00086808	0.00085435
3:Del:R:1	0.00501109	0.00500326	0.00037239	0.09711447	0.00590979	0.00541365	0.00134887	0.00430191	0.00118696	0.00484016	0.00500577	0.01169181
3:Del:R:2	0.00076938	0.00228989	0.00009630	0.02148428	0.00084271	0.00053605	0.00037657	0.00127572	0.00038438	0.00105348	0.00133307	0.00111746
3:Del:R:3	0.00037126	0.00040259	0.00002450	0.00383763	0.00062115	0.00004700	0.00025351	0.00030211	0.00006900	0.00024961	0.00003850	0.00002435
3:Del:R:4	0.00000000	0.00000000	0.00000382	0.00078630	0.00586708	0.00007310	0.00000268	0.00000000	0.00000309	0.00000000	0.00003810	0.00006255
3:Del:R:5	0.00000000	0.00000000	0.00000038	0.00113861	0.00837891	0.00015062	0.00009100	0.00000000	0.00009960	0.00000000	0.00011808	0.00029702
