Samples	ID83A	ID83B
SP29914	780	697
SP31046	122	64
SP31334	427	103
SP30011	609	97
SP31174	299	193
SP32662	459	280
SP31126	1334	218
SP32958	370	186
SP31422	538	261
SP33496	650	548
SP34005	192	67
SP30113	3582	0
SP31030	406	576
SP33544	957	239
SP33688	1209	136
SP30907	607	130
SP30185	79	24
SP33837	175	62
SP31790	259	217
SP30143	228	96
SP30071	522	290
SP30493	146	40
SP32014	158	270
SP30332	2181	194
SP31814	258	127
SP29987	767	361
SP30083	192	145
SP32742	380	163
SP115162	157	47
SP29940	206	177
SP30843	120	50
SP32222	5	0
SP31190	484	219
SP30077	732	357
SP32694	519	299
SP33774	222	75
SP30093	143	298
SP33094	395	251
SP30803	586	58
SP30675	2503	11
SP31854	1106	365
SP31606	222	97
SP30213	227	94
SP32894	164	68
SP117260	303	77
SP117124	211	355
SP117932	271	342
SP117189	81	30
SP117217	21	5
SP117779	147	185
SP117376	0	1255
SP117681	67	75
SP117408	76	33
SP118015	205	165
SP117509	271	474
SP117482	213	305
SP117003	343	205
CPCT02060034T	312	9
CPCT02020356T	294	134
CPCT02050063T	638	54
CPCT02030275T	755	119
CPCT02070033T	285	100
CPCT02030294T	935	108
CPCT02070038T	409	179
CPCT02080179T	557	70
CPCT02010866TII	1749	710
CPCT02330133T	1506	184
CPCT02050427T	666	307
DRUP01030028T	1431	244
CPCT02080193T	680	195
CPCT02030556T	1362	329
CPCT02120111T	170	26
CPCT02050341T	301	81
WIDE01010210T	157	70
WIDE01010208T	0	1536
CPCT02290033T	731	171
CPCT02070323T	311	65
WIDE01010450T	458	489
CPCT02090049T	862	297
CPCT02010866T	1755	564
CPCT02070363T	982	98
CPCT02060222T	183	16
CPCT02080251T	1799	381
CPCT02070384T	497	240
CPCT02070386T	1309	557
DRUP01070051T	778	113
CPCT02080137T	677	422
CPCT02080157T	0	39002
CPCT02330128T	852	28
CPCT02070030T	106	0
DRUP01050009T	1048	238
CPCT02070225T	460	106
CPCT02070230T	782	28
DRUP01070022T	192	763
DRUP01050010T	431	0
CPCT02050161T	608	198
CPCT02050174T	315	90
CPCT02050172T	1359	599
CPCT02050186T	580	775
DRUP01070016T	685	0
CPCT02080120T	423	133
CPCT02030351T	1017	192
CPCT02060119T	385	86
CPCT02080136T	465	353
DRUP01010035T	157	4
CPCT02070039T	508	10
CPCT02030302T	333	135
CPCT02070053T	1343	167
CPCT02070065T	151	37
DRUP01070003T	191	37
CPCT02070099T	131	23
CPCT02020473T	148	35
DRUP01070009T	572	336
CPCT02030324T	607	633
CPCT02030330T	1178	336
CPCT02050151T	209	87
CPCT02070128T	692	0
CPCT02080099T	664	321
DRUP01030004T	971	135
CPCT02070265T	630	279
CPCT02080040T	681	320
WIDE01010705T	183	70
