NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	338.276	42.579	105.282	36.991	0.209	0.906	1000000.0
2	276.515	39.176	67.788	30.561	0.202	0.93	1000000.0
3	277.739	38.973	68.595	30.406	0.198	0.93	1000000.0
4	280.198	38.652	69.292	30.1	0.196	0.931	1000000.0
5	272.146	38.746	58.936	28.448	0.206	0.93	1000000.0
6	279.658	38.629	61.63	28.349	0.197	0.934	1000000.0
7	358.573	42.806	116.458	36.352	0.209	0.906	1000000.0
8	359.367	42.662	118.295	35.406	0.206	0.911	1000000.0
9	279.827	39.046	69.048	30.414	8.394	0.93	1000000.0
10	352.498	42.984	113.611	35.812	0.207	0.91	1000000.0
11	275.914	38.353	60.567	28.024	0.196	0.934	1000000.0
12	282.599	38.87	69.576	30.021	0.199	0.931	1000000.0
13	269.904	38.319	58.002	27.786	0.202	0.932	1000000.0
14	279.493	38.957	68.532	30.351	8.395	0.93	1000000.0
15	279.476	38.862	62.153	28.682	8.394	0.933	1000000.0
16	278.41	39.331	69.064	30.936	16.564	0.929	1000000.0
17	357.9	42.64	116.869	36.359	8.412	0.907	1000000.0
18	350.334	42.619	114.046	36.605	16.585	0.907	1000000.0
19	283.154	39.101	63.972	28.928	0.198	0.932	1000000.0
20	279.68	38.768	68.338	30.069	0.356	0.931	1000000.0
21	349.479	42.854	110.439	35.893	0.206	0.912	1000000.0
22	351.949	42.736	115.644	36.888	0.215	0.905	1000000.0
23	274.071	38.3	59.639	27.872	8.397	0.933	1000000.0
24	279.922	39.295	69.116	30.855	8.396	0.928	1000000.0
25	362.829	43.01	118.593	36.446	8.404	0.907	1000000.0
26	281.078	39.039	70.242	30.507	0.196	0.929	1000000.0
27	340.193	42.041	101.483	34.117	0.205	0.919	1000000.0
28	280.446	39.276	69.381	30.667	0.198	0.929	1000000.0
29	275.896	39.087	68.193	30.574	0.197	0.929	1000000.0
30	362.096	42.612	121.756	36.238	0.206	0.906	1000000.0
31	276.856	39.104	66.601	30.271	0.218	0.93	1000000.0
32	271.235	38.408	58.934	27.939	0.202	0.932	1000000.0
33	351.62	42.423	116.514	36.325	8.406	0.905	1000000.0
34	356.28	42.817	117.613	36.38	0.211	0.905	1000000.0
35	291.65	40.283	70.498	30.862	0.223	0.929	1000000.0
36	276.968	38.047	60.9	27.872	0.196	0.934	1000000.0
37	354.417	42.723	114.312	36.455	0.207	0.907	1000000.0
38	365.716	42.962	120.546	35.621	0.207	0.91	1000000.0
39	277.551	39.039	68.351	30.331	8.394	0.93	1000000.0
40	357.923	42.398	119.717	36.184	8.405	0.906	1000000.0
41	277.67	38.639	67.601	29.833	8.395	0.932	1000000.0
42	277.785	39.02	67.79	30.182	8.406	0.931	1000000.0
43	364.294	42.686	122.28	36.143	16.593	0.906	1000000.0
44	278.824	38.986	68.294	30.238	0.199	0.931	1000000.0
45	344.503	42.401	105.959	35.187	0.201	0.914	1000000.0
46	362.032	42.512	120.431	36.512	0.212	0.906	1000000.0
47	277.276	38.178	60.56	28.194	0.197	0.935	1000000.0
48	274.718	38.822	67.38	30.264	0.197	0.929	1000000.0
49	280.429	38.94	69.907	30.442	8.393	0.93	1000000.0
50	283.137	39.018	69.847	30.386	8.396	0.932	1000000.0
51	287.5	39.356	72.201	30.487	0.2	0.93	1000000.0
52	270.515	38.514	58.869	28.533	0.204	0.931	1000000.0
53	274.066	38.589	60.121	28.512	8.371	0.93	1000000.0
54	280.42	38.945	70.318	30.353	0.198	0.93	1000000.0
55	275.424	38.961	66.827	30.258	0.196	0.93	1000000.0
56	281.492	39.184	70.358	30.318	0.198	0.929	1000000.0
57	280.669	39.275	69.318	30.782	0.201	0.93	1000000.0
58	281.88	39.099	69.273	30.267	0.198	0.931	1000000.0
59	326.439	41.996	94.354	34.781	0.366	0.918	1000000.0
60	276.489	39.033	67.782	30.443	8.393	0.931	1000000.0
61	280.394	38.931	62.461	28.758	0.2	0.933	1000000.0
62	275.547	38.923	67.475	30.507	8.561	0.929	1000000.0
63	277.478	38.922	68.064	30.134	0.198	0.931	1000000.0
64	279.541	38.606	69.137	30.014	0.195	0.932	1000000.0
65	274.467	38.442	59.716	28.056	0.198	0.934	1000000.0
66	278.059	39.461	69.579	30.99	8.395	0.928	1000000.0
67	355.248	42.7	116.298	36.545	8.398	0.907	1000000.0
68	278.895	38.578	67.814	29.928	8.391	0.932	1000000.0
69	331.345	42.613	96.278	35.34	0.204	0.915	1000000.0
70	269.27	37.962	57.67	27.555	0.202	0.933	1000000.0
71	283.804	39.753	65.257	29.827	0.203	0.928	1000000.0
72	291.103	40.127	68.563	30.482	8.399	0.927	1000000.0
73	281.082	39.152	69.646	30.732	8.392	0.929	1000000.0
74	283.484	39.291	71.672	30.742	8.395	0.929	1000000.0
75	276.344	38.263	61.462	27.844	8.394	0.935	1000000.0
76	279.523	39.296	68.199	30.608	0.2	0.93	1000000.0
77	281.619	39.225	69.911	30.733	0.198	0.93	1000000.0
78	353.002	42.513	112.339	34.93	0.201	0.915	1000000.0
79	278.301	38.293	61.2	27.8	0.196	0.935	1000000.0
80	276.777	38.638	61.367	28.336	0.202	0.933	1000000.0
81	274.758	38.558	61.283	28.647	0.198	0.934	1000000.0
82	276.926	38.457	60.43	28.106	8.395	0.934	1000000.0
83	280.828	39.135	70.282	30.337	8.396	0.93	1000000.0
84	332.541	42.239	97.457	34.67	0.203	0.918	1000000.0
85	345.692	42.706	108.25	36.524	8.405	0.907	1000000.0
86	357.104	42.624	117.952	36.631	0.218	0.907	1000000.0
87	277.674	38.607	60.484	28.3	8.394	0.934	1000000.0
88	275.076	38.682	66.536	29.905	0.195	0.931	1000000.0
89	272.603	38.507	59.096	28.223	0.2	0.932	1000000.0
90	284.785	39.455	71.164	30.811	0.199	0.93	1000000.0
91	279.962	39.067	68.096	30.237	8.394	0.93	1000000.0
92	274.434	37.965	59.348	27.559	0.199	0.933	1000000.0
93	283.668	39.634	70.724	30.996	0.197	0.929	1000000.0
94	358.73	42.999	118.846	36.766	8.41	0.905	1000000.0
95	279.312	39.031	68.401	30.612	0.204	0.93	1000000.0
96	284.2	39.281	70.409	30.583	0.198	0.929	1000000.0
97	357.409	42.882	115.959	36.252	0.208	0.907	1000000.0
98	277.04	39.204	67.421	30.577	0.196	0.929	1000000.0
99	283.997	39.768	65.757	30.363	8.399	0.93	1000000.0
100	278.748	39.243	69.339	30.491	8.393	0.929	1000000.0
