MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	6.08E-05	4.64E-04	4.91E-04	1.99E-03	1.57E-03	9.59E-04
1:Del:C:1	4.05E-05	2.56E-04	6.21E-04	6.10E-04	7.10E-04	3.25E-04
1:Del:C:2	3.99E-05	3.81E-05	6.02E-04	2.33E-04	2.61E-04	2.05E-04
1:Del:C:3	3.59E-05	1.32E-04	2.75E-04	2.53E-04	2.68E-04	1.75E-04
1:Del:C:4	4.34E-05	1.11E-04	2.05E-04	7.98E-05	1.18E-04	1.39E-04
1:Del:C:5	9.11E-05	1.15E-04	1.57E-04	2.41E-05	1.89E-04	1.98E-04
1:Del:T:0	5.11E-05	3.75E-04	2.36E-04	2.71E-03	1.38E-03	5.57E-04
1:Del:T:1	5.82E-05	2.93E-04	2.73E-04	4.22E-03	2.41E-03	2.32E-04
1:Del:T:2	5.69E-05	3.37E-04	2.43E-04	3.77E-03	1.98E-03	2.18E-04
1:Del:T:3	8.81E-05	4.49E-04	2.47E-04	4.94E-03	3.11E-03	2.71E-04
1:Del:T:4	1.27E-04	2.64E-04	1.73E-04	1.92E-03	1.13E-03	2.59E-04
1:Del:T:5	8.41E-04	1.32E-03	1.49E-03	1.68E-03	4.35E-04	1.75E-03
1:Ins:C:0	3.94E-05	2.08E-04	1.57E-04	2.15E-04	8.30E-04	1.10E-04
1:Ins:C:1	1.91E-05	9.83E-05	7.94E-05	1.34E-04	2.49E-04	1.22E-04
1:Ins:C:2	1.35E-05	7.46E-05	6.96E-05	1.73E-04	2.03E-04	9.58E-05
1:Ins:C:3	2.15E-05	6.09E-05	9.61E-05	3.92E-05	1.93E-04	9.13E-05
1:Ins:C:4	6.67E-05	7.79E-05	8.71E-05	2.89E-05	1.22E-04	9.23E-05
1:Ins:C:5	1.00E-04	1.96E-04	1.02E-04	1.17E-04	3.41E-04	2.70E-04
1:Ins:T:0	3.40E-05	1.55E-04	1.60E-04	8.49E-05	5.85E-04	2.42E-04
1:Ins:T:1	4.52E-05	7.09E-04	6.14E-04	8.12E-04	4.37E-04	1.75E-03
1:Ins:T:2	4.02E-05	2.96E-04	3.07E-04	2.87E-04	3.90E-04	6.43E-04
1:Ins:T:3	3.50E-05	1.94E-04	2.04E-04	2.52E-04	2.40E-04	4.02E-04
1:Ins:T:4	3.99E-05	1.45E-04	1.18E-04	1.29E-04	1.31E-04	2.86E-04
1:Ins:T:5	4.65E-04	3.17E-03	6.00E-04	3.76E-03	9.11E-04	2.71E-03
2:Del:R:0	3.49E-05	1.68E-04	1.21E-04	6.54E-04	6.75E-04	6.80E-04
2:Del:R:1	8.90E-05	2.84E-04	1.27E-04	3.05E-04	1.50E-03	2.42E-03
2:Del:R:2	3.54E-05	7.30E-05	1.31E-04	1.31E-04	4.63E-04	8.42E-04
2:Del:R:3	3.89E-05	3.49E-05	7.62E-05	3.81E-06	1.74E-04	2.68E-04
2:Del:R:4	3.21E-05	2.44E-05	5.30E-05	4.69E-10	6.78E-05	1.44E-04
2:Del:R:5	5.74E-05	2.13E-05	5.73E-05	8.45E-06	2.32E-04	2.52E-04
3:Del:R:0	1.96E-05	1.43E-04	6.01E-05	4.47E-04	3.68E-04	1.92E-04
3:Del:R:1	5.29E-05	2.15E-04	5.94E-05	2.58E-04	7.70E-04	1.21E-03
3:Del:R:2	1.86E-05	7.05E-05	2.64E-05	7.97E-05	1.62E-04	3.61E-04
3:Del:R:3	1.06E-05	3.09E-05	0.00E+00	1.05E-05	9.82E-05	1.44E-04
3:Del:R:4	1.89E-05	2.65E-05	1.63E-05	2.28E-05	1.05E-05	1.05E-04
