Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP29914	406	399	356	143	39	0	15	112	7
SP31046	17	95	0	24	0	20	2	5	23
SP31334	17	60	19	92	170	117	11	41	3
SP30011	20	203	6	379	41	0	0	38	19
SP31174	81	163	28	49	38	65	0	52	16
SP32662	122	239	31	117	36	96	4	69	25
SP31126	125	189	154	728	141	0	15	140	60
SP32958	32	385	16	39	40	0	3	16	25
SP31422	121	109	38	178	175	50	10	103	15
SP33496	272	359	139	70	239	75	7	37	0
SP34005	14	119	27	60	15	0	0	10	14
SP30113	90	71	3252	42	40	0	0	87	0
SP31030	307	409	41	0	7	117	6	27	68
SP33544	48	195	85	223	252	206	6	181	0
SP33688	0	71	0	330	0	944	0	0	0
SP30907	46	20	160	125	272	66	2	42	4
SP30185	4	27	9	15	14	15	0	0	19
SP33837	14	85	39	29	3	28	0	22	17
SP31790	110	123	14	78	17	68	5	29	32
SP30143	25	140	13	67	31	0	0	18	30
SP30071	118	118	127	36	278	15	0	78	42
SP30493	6	45	17	34	25	13	2	15	29
SP32014	152	121	9	42	0	76	1	14	13
SP30332	180	69	1910	18	38	0	11	73	76
SP31814	44	139	20	56	17	91	5	6	7
SP29987	126	175	24	158	484	0	24	107	30
SP30083	65	107	3	40	42	36	4	24	16
SP32742	26	247	51	11	43	93	6	34	32
SP115162	4	67	12	21	6	40	1	38	15
SP29940	76	155	21	0	11	59	3	22	36
SP30843	9	80	0	32	23	0	4	6	16
SP32222	0	0	4	0	0	0	1	0	0
SP31190	64	191	22	85	225	0	2	107	7
SP30077	137	108	80	97	329	198	4	108	28
SP32694	115	179	32	76	242	37	7	102	28
SP33774	8	135	28	46	15	41	0	16	8
SP30093	164	117	20	0	21	69	8	18	24
SP33094	107	170	10	100	157	0	7	44	51
SP30803	5	74	105	213	149	54	3	41	0
SP30675	90	0	2238	0	116	19	22	21	8
SP31854	92	263	169	167	390	240	1	143	6
SP31606	6	221	2	29	19	16	4	17	5
SP30213	19	145	11	53	30	23	0	24	16
SP32894	14	131	13	53	7	0	2	3	9
SP117260	34	19	70	73	72	31	4	48	29
SP117124	196	124	34	54	32	58	0	23	45
SP117932	181	211	28	31	31	47	0	41	43
SP117189	11	34	10	29	9	0	5	0	13
SP117217	1	0	0	5	16	0	3	1	0
SP117779	94	38	15	33	10	101	3	18	20
SP117376	812	115	17	36	35	113	5	47	75
SP117681	42	22	17	19	11	5	4	10	12
SP117408	18	1	17	18	5	38	1	11	0
SP118015	72	122	23	6	0	55	3	53	36
SP117509	272	210	25	65	27	75	0	53	18
SP117482	173	129	57	37	6	56	0	51	9
SP117003	82	74	0	81	0	305	0	6	0
CPCT02060034T	0	48	45	116	18	0	53	31	10
CPCT02020356T	53	126	33	25	61	19	89	14	8
CPCT02050063T	28	57	68	267	90	0	58	97	27
CPCT02030275T	24	229	51	335	48	0	87	69	31
CPCT02070033T	25	143	24	60	31	8	40	38	16
CPCT02030294T	36	0	158	175	290	212	117	41	14
CPCT02070038T	39	278	35	3	96	0	88	29	20
CPCT02080179T	48	0	62	85	13	219	155	36	9
CPCT02010866TII	287	791	898	13	0	224	151	94	1
CPCT02330133T	26	99	264	436	701	0	59	86	19
CPCT02050427T	79	269	43	0	192	230	82	78	0
DRUP01030028T	17	57	28	68	0	0	63	9	1433
CPCT02080193T	41	155	57	23	153	235	138	73	0
CPCT02030556T	121	286	335	314	238	171	106	120	0
CPCT02120111T	17	26	0	11	8	0	129	0	5
CPCT02050341T	15	151	17	31	20	0	138	2	8
WIDE01010210T	28	50	31	13	27	31	31	5	11
WIDE01010208T	629	0	0	0	0	175	31	0	701
CPCT02290033T	72	59	201	91	119	210	75	69	6
CPCT02070323T	10	133	23	72	7	0	101	18	12
WIDE01010450T	232	382	13	0	65	84	53	31	87
CPCT02090049T	29	245	0	0	23	229	126	13	494
CPCT02010866T	239	694	801	323	3	0	126	104	29
CPCT02070363T	45	107	0	358	5	345	219	1	0
CPCT02060222T	10	29	19	36	0	0	87	7	11
CPCT02080251T	133	372	86	706	356	154	196	155	22
CPCT02070384T	98	317	8	109	12	0	154	31	8
