Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP29914	413	418	367	103	22	20	126	8
SP31046	19	107	0	32	0	0	0	28
SP31334	23	70	27	132	212	10	50	6
SP30011	16	205	49	316	24	4	66	26
SP31174	89	188	0	84	69	0	62	0
SP32662	130	266	43	138	40	5	79	38
SP31126	120	178	237	579	132	36	197	73
SP32958	32	399	19	24	34	5	19	24
SP31422	122	109	56	162	203	14	118	15
SP33496	287	383	156	85	287	0	0	0
SP34005	14	122	33	45	13	2	15	15
SP30113	175	91	3316	0	0	0	0	0
SP31030	321	452	38	40	13	5	25	88
SP33544	61	225	108	289	307	0	206	0
SP33688	71	291	0	983	0	0	0	0
SP30907	51	0	167	127	338	0	54	0
SP30185	5	31	10	19	17	0	0	21
SP33837	17	96	42	35	0	0	24	23
SP31790	116	140	22	95	21	6	34	42
SP30143	24	144	21	51	29	2	23	30
SP30071	122	111	136	0	352	0	91	0
SP30493	7	47	20	29	30	3	18	32
SP32014	177	160	0	91	0	0	0	0
SP30332	233	90	1969	0	0	0	83	0
SP31814	52	162	25	96	20	4	9	17
SP29987	119	149	38	100	562	31	123	6
SP30083	67	116	6	46	50	4	28	20
SP32742	34	275	50	45	55	6	35	43
SP115162	8	80	16	38	0	0	40	22
SP29940	81	173	19	23	16	3	22	46
SP30843	10	86	0	28	28	0	0	18
SP32222	0	0	5	0	0	0	0	0
SP31190	60	186	0	63	272	0	122	0
SP30077	151	124	87	168	410	1	118	30
SP32694	115	178	38	67	282	9	110	19
SP33774	16	167	44	70	0	0	0	0
SP30093	171	133	18	28	31	8	18	34
SP33094	105	167	21	72	175	11	52	43
SP30803	0	73	127	195	187	0	62	0
SP30675	172	0	2342	0	0	0	0	0
SP31854	108	292	184	245	480	0	162	0
SP31606	7	233	4	25	18	5	19	8
SP30213	21	155	16	52	31	1	26	19
SP32894	14	135	19	39	4	3	7	11
SP117260	37	19	76	73	84	5	55	31
SP117124	217	155	55	79	0	0	0	60
SP117932	197	252	0	55	0	0	53	56
SP117189	11	34	13	22	9	6	2	14
SP117217	0	0	0	4	18	4	0	0
SP117779	105	55	17	81	19	1	20	34
SP117376	828	134	18	77	52	5	50	91
SP117681	42	22	18	14	14	6	12	14
SP117408	21	6	20	34	10	1	13	4
SP118015	80	146	0	36	0	0	60	48
SP117509	301	265	0	108	0	0	71	0
SP117482	188	152	64	58	0	0	56	0
SP117003	122	152	0	274	0	0	0	0
CPCT02060034T	0	55	63	96	0	63	44	0
CPCT02020356T	56	132	34	24	69	95	13	5
CPCT02050063T	26	50	97	208	95	69	118	29
CPCT02030275T	22	233	88	269	33	100	93	36
CPCT02070033T	25	148	29	47	32	45	42	17
CPCT02030294T	51	7	173	240	369	127	54	22
CPCT02070038T	43	304	0	0	138	103	0	0
CPCT02080179T	66	16	67	172	59	172	39	36
CPCT02010866TII	354	925	976	0	0	204	0	0
CPCT02330133T	0	55	295	325	815	72	128	0
CPCT02050427T	98	320	44	64	255	97	85	10
DRUP01030028T	0	83	0	0	0	0	0	1592
CPCT02080193T	59	196	55	127	202	149	76	11
CPCT02030556T	135	309	370	309	291	127	147	3
CPCT02120111T	20	31	0	0	0	145	0	0
CPCT02050341T	16	157	17	17	19	148	2	6
WIDE01010210T	31	54	32	21	35	34	6	14
WIDE01010208T	696	0	0	0	0	0	0	840
CPCT02290033T	91	87	211	179	155	79	77	23
CPCT02070323T	10	139	29	54	1	109	21	13
WIDE01010450T	240	412	11	8	83	61	32	100
CPCT02090049T	59	322	0	0	0	172	0	606
CPCT02010866T	253	725	823	250	0	144	124	0
CPCT02070363T	69	170	5	524	37	245	21	9
CPCT02060222T	12	30	23	25	0	97	0	12
CPCT02080251T	136	382	158	639	404	223	205	33
CPCT02070384T	98	330	17	79	1	167	36	9
CPCT02070386T	273	450	223	312	121	214	201	72
DRUP01070051T	57	169	76	310	0	164	115	0
CPCT02080137T	285	22	223	84	68	340	36	41
CPCT02080157T	37751	1251	0	0	0	0	0	0
CPCT02330128T	15	111	82	404	43	95	96	34
CPCT02070030T	0	0	0	0	15	91	0	0
DRUP01050009T	61	157	214	123	525	160	27	19
CPCT02070225T	40	131	0	0	69	326	0	0
CPCT02070230T	10	119	91	313	7	122	125	23
DRUP01070022T	388	7	56	55	106	122	59	162
DRUP01050010T	0	0	58	174	0	126	73	0
CPCT02050161T	57	217	117	106	187	51	34	37
CPCT02050174T	13	168	38	42	35	67	30	12
CPCT02050172T	279	497	111	509	223	119	151	69
CPCT02050186T	422	143	111	56	420	119	76	8
DRUP01070016T	0	46	139	280	0	51	169	0
CPCT02080120T	0	114	0	0	309	64	69	0
CPCT02030351T	137	132	68	261	6	447	119	39
CPCT02060119T	25	126	18	4	41	219	21	17
CPCT02080136T	163	415	10	57	18	92	16	47
DRUP01010035T	6	25	0	0	0	130	0	0
CPCT02070039T	13	42	51	242	37	53	79	1
CPCT02030302T	35	185	0	41	137	70	0	0
CPCT02070053T	0	0	0	0	0	0	1510	0
CPCT02070065T	16	25	16	22	28	47	10	24
DRUP01070003T	2	69	22	40	28	30	16	21
CPCT02070099T	7	29	24	18	22	39	9	6
CPCT02020473T	7	46	20	18	31	34	19	8
DRUP01070009T	102	585	10	31	48	62	37	33
CPCT02030324T	369	364	83	201	8	93	79	43
CPCT02030330T	81	435	135	285	410	168	0	0
CPCT02050151T	25	124	11	23	25	43	30	15
CPCT02070128T	0	46	139	286	0	42	179	0
CPCT02080099T	166	261	52	288	22	60	85	51
DRUP01030004T	55	16	191	255	413	79	69	28
CPCT02070265T	108	331	40	185	54	73	61	57
CPCT02080040T	141	339	94	163	82	110	28	44
WIDE01010705T	37	20	26	16	48	61	30	15
