MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	1.88E-03	1.06E-04	1.92E-03	3.79E-03	5.58E-04	2.37E-03	8.59E-04	4.15E-03	1.47E-03	2.05E-03
1:Del:C:1	1.53E-03	7.59E-05	1.83E-03	3.38E-03	3.10E-04	1.43E-03	5.94E-04	3.25E-03	1.68E-03	1.75E-03
1:Del:C:2	1.03E-03	6.75E-05	1.18E-03	1.50E-03	2.36E-04	8.62E-04	4.21E-04	1.84E-03	1.04E-03	1.14E-03
1:Del:C:3	7.92E-04	1.36E-04	7.96E-04	1.34E-03	3.25E-04	5.37E-04	3.55E-04	1.33E-03	2.32E-04	7.07E-04
1:Del:C:4	1.15E-03	2.53E-04	4.10E-04	7.26E-04	3.18E-04	5.16E-04	2.41E-05	1.42E-03	2.59E-04	5.83E-04
1:Del:C:5	1.18E-03	3.07E-04	2.73E-04	6.77E-04	1.47E-04	1.05E-04	1.17E-04	1.45E-03	2.09E-04	5.40E-04
1:Del:T:0	2.66E-03	9.21E-05	3.24E-03	2.85E-03	4.83E-04	1.57E-03	8.69E-04	5.27E-03	2.00E-03	2.19E-03
1:Del:T:1	2.22E-03	7.85E-05	1.77E-03	2.09E-03	4.36E-04	1.25E-03	6.21E-04	3.09E-03	3.24E-04	1.64E-03
1:Del:T:2	3.03E-03	8.72E-05	1.65E-03	3.47E-03	4.52E-04	1.76E-03	7.52E-04	3.98E-03	1.18E-03	2.33E-03
1:Del:T:3	2.19E-03	1.41E-04	1.34E-03	3.10E-03	3.96E-04	1.52E-03	2.86E-05	3.38E-03	6.72E-04	1.47E-03
1:Del:T:4	1.73E-03	1.99E-04	9.81E-04	2.16E-03	4.00E-04	1.17E-03	1.26E-04	2.07E-03	8.41E-04	6.40E-04
1:Del:T:5	2.10E-03	3.49E-03	7.18E-04	1.61E-03	1.07E-03	1.71E-03	6.45E-04	2.34E-03	4.08E-05	1.37E-04
1:Ins:C:0	3.48E-05	3.03E-05	4.18E-05	5.39E-05	6.05E-10	1.93E-03	6.14E-05	2.23E-04	5.52E-10	3.77E-03
1:Ins:C:1	3.40E-04	1.65E-05	2.82E-04	5.68E-04	1.17E-04	3.84E-04	3.24E-04	5.87E-04	4.02E-04	1.07E-03
1:Ins:C:2	4.18E-04	1.69E-05	4.18E-04	6.39E-04	2.43E-05	4.14E-05	2.08E-04	4.60E-04	5.84E-05	5.01E-04
1:Ins:C:3	1.41E-04	1.95E-05	2.23E-04	3.83E-04	1.39E-04	2.28E-04	2.24E-04	2.65E-04	7.86E-05	4.59E-04
1:Ins:C:4	1.91E-04	4.19E-05	7.76E-05	2.16E-04	1.42E-04	1.79E-04	1.58E-04	3.81E-04	1.68E-04	4.66E-04
1:Ins:C:5	4.83E-04	1.38E-04	1.95E-04	4.65E-04	3.20E-04	2.50E-04	1.93E-04	8.99E-04	4.20E-04	9.29E-04
1:Ins:T:0	4.26E-04	4.40E-05	4.29E-04	9.12E-04	2.28E-04	4.16E-04	4.43E-04	1.48E-03	5.70E-04	1.50E-03
1:Ins:T:1	1.24E-03	4.32E-05	1.23E-03	2.34E-03	2.74E-04	1.06E-03	5.04E-04	2.62E-03	2.11E-03	1.69E-03
1:Ins:T:2	1.71E-03	1.01E-04	8.17E-04	2.57E-03	3.25E-04	2.43E-04	3.67E-04	1.76E-03	4.06E-04	1.26E-03
1:Ins:T:3	1.05E-03	7.00E-05	6.40E-04	1.61E-03	3.47E-04	3.49E-04	3.29E-04	1.33E-03	7.03E-04	7.42E-04
1:Ins:T:4	5.97E-04	9.05E-05	3.68E-04	9.34E-04	3.32E-04	3.18E-04	2.50E-04	8.12E-04	2.80E-04	6.43E-04
1:Ins:T:5	6.84E-03	3.30E-03	3.42E-04	6.99E-04	2.05E-03	3.12E-03	1.41E-03	4.88E-03	1.37E-03	2.54E-03
2:Del:R:0	1.03E-03	4.31E-05	8.93E-04	8.97E-04	2.27E-06	9.42E-04	4.31E-04	2.88E-03	1.52E-03	1.13E-03
2:Del:R:1	8.15E-04	1.40E-04	2.10E-03	1.18E-03	5.33E-04	1.06E-03	3.62E-04	9.68E-03	3.99E-03	1.13E-03
2:Del:R:2	2.00E-04	6.23E-05	8.40E-04	3.97E-04	2.19E-04	3.66E-04	2.87E-04	3.55E-03	1.06E-03	5.36E-04
2:Del:R:3	3.89E-04	1.03E-04	2.27E-04	3.18E-04	1.39E-04	3.56E-06	2.22E-04	1.36E-03	5.20E-04	1.71E-04
2:Del:R:4	4.56E-04	8.29E-05	3.71E-05	3.45E-04	1.08E-04	3.21E-05	2.11E-04	6.83E-04	8.55E-05	3.65E-04
2:Del:R:5	1.34E-03	2.66E-04	2.23E-05	9.38E-04	1.18E-04	6.76E-05	4.49E-04	1.75E-03	6.38E-05	7.67E-04
3:Del:R:0	8.05E-04	2.66E-05	6.62E-04	9.63E-04	8.03E-05	5.43E-04	2.23E-04	1.13E-03	5.39E-04	6.69E-04
3:Del:R:1	4.07E-04	9.24E-05	5.19E-04	8.44E-04	2.98E-04	7.75E-04	2.28E-04	1.39E-03	1.40E-03	6.24E-04
3:Del:R:2	3.08E-04	5.19E-05	2.10E-04	2.16E-04	1.30E-04	3.08E-04	3.88E-05	3.48E-04	6.08E-04	2.83E-05
3:Del:R:3	7.20E-05	2.38E-05	5.34E-05	9.38E-05	8.91E-05	3.14E-05	7.10E-05	2.14E-04	2.54E-04	2.31E-04
3:Del:R:4	1.98E-05	8.84E-06	3.03E-06	4.83E-05	2.90E-05	9.83E-05	1.53E-05	1.56E-04	1.45E-04	1.51E-04
3:Del:R:5	7.65E-05	1.79E-05	1.45E-05	1.18E-04	2.92E-05	3.48E-06	5.12E-05	1.26E-04	1.03E-04	1.35E-04
4:Del:R:0	4.75E-04	1.95E-05	3.48E-04	5.37E-04	4.56E-05	5.43E-04	2.97E-04	7.91E-04	4.73E-04	3.85E-04
4:Del:R:1	2.39E-04	5.66E-05	2.60E-04	3.71E-04	1.82E-04	8.95E-04	3.14E-04	1.17E-03	1.51E-03	3.55E-04
