Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP123975	1948	23	0	2	0	0	21	0	29	4	0	50	77	57
SP124044	0	0	9	10	15	0	6	0	0	0	0	6	15	6
SP123972	48	41	3	0	84	10	60	0	88	0	0	0	33	46
SP123850	6	8	2	0	0	29	3	0	21	5	0	8	59	0
SP123902	6	0	0	13	28	18	9	0	23	2	0	21	36	3
SP123884	5	27	25	20	20	0	2	24	15	7	1	15	55	3
SP123964	4	23	1	0	18	2	0	27	3	2	0	10	47	0
SP123995	2	12	0	41	0	0	4	0	10	0	0	13	50	6
SP123846	3	0	0	11	12	9	5	6	6	2	4	38	72	8
SP124003	7	0	0	10	0	18	7	0	12	5	0	2	32	0
SP123876	5	17	2	0	42	16	7	0	1	0	0	0	42	1
SP123878	5	15	0	11	24	0	7	0	4	5	0	6	8	6
SP123842	1	54	1	0	8	0	1	0	13	2	0	0	19	0
SP123900	3	16	0	54	0	4	3	0	0	1	48	5	9	0
SP123978	3	9	0	0	15	0	0	12	8	0	5	4	4	5
SP123897	3	17	0	0	4	13	12	0	6	0	4	15	18	0
SP124013	2	24	0	25	0	7	5	0	9	2	0	1	50	0
SP124021	1	17	0	4	19	7	5	0	0	0	0	6	28	2
SP123852	10	0	26	13	0	13	6	0	1	4	6	13	25	4
SP123998	1	0	12	0	12	0	22	0	20	8	59	10	16	10
SP123967	5	0	7	10	29	20	0	0	9	0	0	8	8	0
SP123988	12	71	19	27	0	43	7	0	36	0	34	23	18	1
SP123984	7	17	10	0	19	5	3	0	8	2	0	4	27	1
SP123858	0	0	7	0	0	0	10	0	13	1	7	13	29	8
SP123890	0	4	0	23	0	17	4	0	18	0	0	0	32	0
SP123950	5	3	4	0	50	11	5	0	9	0	0	23	26	5
SP123886	4	0	0	2	28	0	7	0	3	2	0	5	11	0
SP124033	2	0	7	0	0	0	0	19	4	5	0	6	38	6
SP123892	8	61	2	0	0	1	9	23	20	2	0	3	51	0
SP123840	0	0	1	0	24	18	6	0	3	7	18	12	32	1
SP123969	3	33	3	0	20	0	11	0	24	1	14	8	26	0
SP123953	10	7	0	0	0	15	7	0	11	4	49	0	14	0
SP123955	2	18	0	0	0	10	2	0	32	2	14	7	8	0
SP123882	4	38	5	0	25	5	7	0	9	2	0	26	88	3
SP123894	11	0	0	24	42	0	7	0	2	3	0	7	93	9
SP124017	3	0	0	17	4	0	5	0	0	3	0	3	12	0
SP123856	1	7	0	0	3	9	5	3	12	0	5	7	18	3
SP123854	6	0	26	0	42	0	5	0	3	0	5	2	27	1
SP123888	0	0	0	1	10	0	6	0	13	6	31	5	34	2
SP123870	3	6	0	0	11	4	2	0	1	4	0	15	45	0
SP123958	0	0	12	0	0	0	3	0	3	0	31	0	15	0
SP123844	1	28	0	0	0	8	6	0	2	2	43	3	23	0
SP123872	4	0	0	20	20	0	20	7	5	1	25	30	26	0
SP123874	6	16	0	0	7	26	10	4	9	1	0	5	25	6
SP123836	4	0	5	13	0	4	16	0	7	0	36	14	79	0
SP43633	6	8	0	0	18	6	5	0	5	0	22	3	4	0
SP36498	15	109	118	261	38	97	5	0	41	0	0	2	0	3
SP37516	7	184	163	16	78	49	9	4	33	4	0	2	0	7
SP39997	18	211	135	143	49	64	15	25	7	13	0	11	36	11
SP35617	10	198	22	111	147	87	28	0	12	0	21	20	5	10
SP37636	11	0	37	23	62	41	28	1	34	7	42	13	10	4
SP39907	18	8	60	30	190	118	8	0	28	1	0	23	2	3
SP40736	27	239	100	108	139	107	19	0	51	20	0	26	1	12
SP42154	13	115	155	31	26	81	45	0	47	0	118	33	16	0
SP39594	22	167	176	0	101	82	0	51	56	23	0	24	19	3
SP41453	8	149	83	51	37	71	26	47	30	3	57	6	6	0
SP34452	18	380	361	71	171	125	7	28	105	10	0	5	12	9
SP42829	22	296	169	35	72	88	55	0	10	3	0	19	8	12
SP37970	25	42	127	385	0	105	15	0	81	8	171	15	31	11
SP34186	22	250	160	144	75	110	39	108	50	15	24	3	26	4
SP37903	20	433	186	208	128	111	27	0	30	14	22	0	5	1
SP35849	2	61	0	31	20	38	25	19	18	5	35	0	25	0
SP36586	59	0	13	70	0	10	113	0	25	5	17	7	13	12
SP34431	9	111	123	25	106	50	0	0	16	3	0	15	12	1
SP37432	11	128	68	23	48	75	11	26	41	1	19	1	25	0
SP35989	15	26	117	1	53	65	3	26	44	11	0	21	14	6
SP39102	9	68	93	65	82	50	19	0	18	4	0	4	25	15
SP34493	10	0	0	84	60	92	30	0	37	2	15	4	16	0
SP36036	11	52	0	137	94	37	21	0	45	2	0	6	12	5
SP35951	39	221	115	126	127	24	14	3	7	11	89	27	5	16
SP39248	5	73	78	0	100	43	5	68	9	4	12	0	26	1
SP34246	6	99	33	169	111	135	0	68	25	1	99	13	2	4
SP35412	4	198	107	105	84	47	14	20	77	0	0	19	23	11
SP39298	33	661	266	102	287	119	9	19	47	20	12	32	21	19
SP38044	18	211	43	208	79	98	8	74	52	17	5	59	19	0
SP38271	29	173	145	126	0	45	10	39	70	12	81	6	48	2
SP43201	8	206	55	5	57	43	0	67	65	10	23	0	17	4
SP34191	8	19	0	188	173	38	10	12	0	8	0	8	14	0
SP40047	79	407	0	193	141	84	21	0	50	14	0	10	12	4
SP39349	2	131	33	145	89	33	12	2	28	3	47	18	34	0
SP37369	12	73	31	97	176	40	0	0	15	1	0	23	0	6
SP38759	17	69	71	132	117	134	18	18	60	13	41	12	46	0
SP36218	8	40	20	22	0	0	10	0	15	1	123	19	61	0
SP43510	7	438	111	104	58	8	3	0	38	9	33	24	14	6
SP43770	11	269	54	0	113	38	14	19	22	8	0	33	24	6
SP43651	46	434	291	159	182	39	57	0	10	7	26	36	48	26
SP106656	37	490	68	294	230	70	13	0	0	13	1	64	0	27
SP97249	45	437	0	17	172	93	176	0	67	18	60	34	33	6
SP106638	28	675	102	217	298	85	9	12	17	13	0	40	18	27
SP97161	30	391	265	180	69	124	28	14	48	24	53	1	37	20
SP43696	41	288	377	104	166	184	7	54	49	24	0	47	0	16
SP97113	23	403	148	0	96	38	13	9	28	16	0	1	38	15
SP97124	29	522	383	137	101	192	7	5	153	32	33	23	17	19
SP43808	30	189	93	22	38	112	20	15	62	20	1	37	25	17
SP43822	14	8	0	0	44	1	345	0	25	7	7	0	7	0
SP43514	16	308	81	65	76	14	10	17	25	4	0	14	2	17
SP97258	21	204	0	344	211	62	1	0	32	10	55	23	0	0
SP97194	39	535	512	82	298	251	70	0	136	33	103	80	13	24
SP109470	47	341	81	350	236	136	90	0	17	5	140	76	0	9
SP97278	15	191	207	173	128	100	20	0	34	15	2	53	0	6
SP109544	37	350	259	154	109	50	59	0	3	10	0	0	4	10
SP97104	20	0	31	0	0	24	29	0	336	7	0	10	10	37
SP106577	47	346	399	115	115	137	25	0	52	26	111	55	25	51
SP109457	28	49	0	44	0	9	198	15	22	10	5	12	36	6
SP109478	5	74	10	0	11	27	9	0	10	2	23	5	15	6
SP43688	15	424	209	12	96	0	15	1	19	10	42	38	16	3
SP97243	19	181	45	131	93	34	1	61	52	11	71	27	1	0
SP97269	28	316	315	91	269	105	21	0	59	21	39	14	0	23
SP113926	7	6	19	128	0	43	1	13	53	9	0	10	27	0
SP106560	12	91	49	130	190	37	1	31	50	10	0	38	8	0
SP43792	33	344	292	238	79	119	16	21	85	17	0	49	0	0
SP106602	26	160	202	28	129	53	10	0	45	7	0	29	33	12
SP97145	7	103	8	63	66	5	7	0	5	1	30	14	47	4
SP43664	40	666	129	255	0	170	85	76	151	23	0	62	57	9
SP43532	36	304	140	369	107	78	6	0	4	16	2	31	10	10
SP102816	22	0	91	211	89	58	0	40	87	8	36	36	27	5
SP102795	38	432	195	333	195	36	105	0	79	24	21	18	0	17
SP103197	18	310	99	3	200	86	21	8	42	13	49	10	24	0
SP102827	32	520	216	90	77	184	3	0	70	17	85	51	26	3
SP103233	18	142	38	188	121	106	23	0	22	10	124	44	23	0
SP103507	20	263	0	34	0	377	28	0	0	6	0	74	3	19
SP103100	16	196	48	74	51	38	19	0	0	6	46	10	4	1
SP103416	13	71	64	136	95	26	17	0	14	9	0	25	16	0
SP103005	22	180	21	48	74	31	15	0	20	4	7	14	16	6
SP102759	3	577	296	0	0	85	43	0	56	17	188	27	10	0
SP102741	11	159	83	95	186	56	39	28	43	7	0	14	0	2
SP102945	12	92	0	228	80	42	25	19	56	11	7	30	18	1
SP103826	0	213	99	114	88	25	10	0	29	1	0	18	0	6
SP103706	10	267	192	223	181	46	6	16	42	5	0	36	0	22
SP102897	9286	0	493	0	0	0	1886	1237	0	0	0	247	325	0
SP102881	15	84	68	66	91	21	37	43	43	2	0	21	15	11
SP103715	12	190	82	74	124	36	1	30	8	7	0	26	11	16
SP102929	10	93	140	105	131	62	9	0	59	4	62	33	14	0
SP103619	1	71	21	0	8	46	2	8	7	1	48	2	3	0
SP103844	0	0	10	230	80	85	5	0	16	3	0	8	0	2
SP103128	27	24	75	215	80	92	26	12	106	15	0	20	0	11
SP103300	7	129	175	292	152	112	5	84	55	27	4	45	0	9
SP103057	17	316	156	15	107	226	0	0	21	5	0	68	0	5
SP103340	20	362	110	28	109	24	25	0	7	2	14	13	13	11
SP102913	23	240	44	150	154	37	33	0	37	9	3	26	9	10
SP102783	25	388	164	158	151	138	47	0	58	13	0	45	0	12
SP103080	29	276	207	16	264	65	62	10	55	5	70	42	31	5
SP103436	3	59	112	120	8	109	20	18	28	2	1	0	18	19
SP102804	0	206	106	233	235	189	13	0	33	0	0	11	1	3
SP102957	13	191	104	0	0	821	3	0	13	10	0	136	0	4
SP102873	9	110	69	17	71	82	15	42	32	8	0	24	16	0
SP103213	8	169	107	80	24	37	0	4	31	8	71	19	8	2
SP103467	4	0	68	11	14	45	3	0	21	0	3	10	12	3
SP103261	25	596	371	238	83	146	30	0	61	17	0	22	2	7
SP103156	28	225	192	108	62	155	11	27	30	6	0	13	28	12
SP103288	7	32	50	116	25	80	8	0	17	8	42	20	7	0
SP103444	12	0	42	277	101	68	4	0	30	5	0	23	2	0
SP103685	10	202	186	0	83	101	0	0	17	6	33	27	23	0
SP103140	17	474	225	130	207	129	15	0	0	4	24	14	6	8
SP103673	24	369	187	142	95	174	31	0	58	3	23	45	18	19
SP102839	10	93	17	285	97	66	17	28	31	6	0	20	16	0
SP103245	22	221	177	146	156	33	10	21	63	16	0	11	13	2
SP103037	0	66	19	153	0	14	0	0	0	10	20	4	16	0
SP103408	23	101	129	120	102	187	3	0	0	3	0	29	12	3
SP103021	19	169	103	59	131	106	6	0	44	15	0	13	8	8
SP103679	11	18	89	0	124	72	16	0	24	0	11	32	11	0
SP103065	27	340	251	114	169	32	21	0	0	7	153	39	4	6
SP102965	8	256	113	0	70	86	1	0	26	5	0	0	8	3
SP103221	41	227	278	279	73	214	21	55	56	13	0	39	24	0
SP103547	16	328	124	0	9	125	5	68	85	9	0	32	8	1
SP102973	18	399	102	92	0	416	45	0	0	13	44	58	25	5
SP103515	0	207	244	29	98	89	3	51	60	5	0	18	23	16
SP102747	4	92	49	0	18	26	3	0	2	4	0	3	7	1
SP103730	10	255	0	75	140	61	63	17	71	7	0	9	4	4
SP103535	25	93	136	133	88	593	37	60	108	18	0	82	0	12
SP102718	17	356	115	0	70	67	14	45	42	7	0	19	20	8
SP103483	10	81	40	172	53	32	10	0	0	4	0	1	15	3
SP103428	11	368	185	23	215	151	14	0	23	14	59	52	5	2
SP102755	27	662	368	287	91	200	1	25	161	0	0	47	13	34
SP103694	31	561	413	0	160	170	10	0	104	18	0	37	35	13
SP103595	9	0	97	168	20	74	11	20	56	9	56	2	29	0
SP103396	0	48	67	27	54	44	0	20	30	2	24	0	0	0
SP102716	6	64	52	76	57	23	1	18	4	1	28	5	0	1
SP102733	15	0	54	0	49	81	23	0	24	12	136	29	35	0
SP102989	20	156	185	0	163	82	34	26	79	6	90	12	21	0
SP103603	31	200	56	0	245	20	30	16	41	10	4	24	25	0
SP102921	14	4	59	186	106	94	20	0	54	12	23	11	2	0
SP103742	28	159	90	198	205	113	61	9	44	8	0	21	20	6
SP103555	5	0	0	0	37	15	3	13	1	0	0	0	12	1
SP103523	4	73	21	95	80	66	7	0	47	4	0	15	5	0
SP103575	10	191	77	0	133	69	68	2	28	0	16	18	18	18
SP103045	14	0	26	482	57	71	0	21	16	10	18	37	25	0
SP103455	28	195	150	152	104	127	11	67	64	13	0	39	29	13
SP103856	3	0	0	27	66	29	1	0	5	1	26	0	10	1
CPCT02020340T	0	350	0	135	51	63	9	112	100	47	28	32	28	4
CPCT02140010T	29	157	160	23	42	150	39	15	70	50	52	6	13	10
CPCT02110007T	33	168	251	0	187	196	62	5	45	86	60	9	17	26
CPCT02140015T	37	13	91	133	37	115	45	62	40	109	0	46	50	18
CPCT02020376T	22	64	0	20	78	0	109	45	81	51	15	1	26	1
CPCT02050051T	26	57	108	132	64	94	68	7	61	49	36	33	1	15
CPCT02140017T	70	179	300	430	0	179	159	114	68	109	75	41	43	28
CPCT02040048T	35	375	282	320	67	107	123	23	72	63	321	39	6	12
CPCT02060029T	36	75	132	31	0	85	251	70	64	35	41	38	27	29
CPCT02060039T	27	181	85	79	3	111	29	0	47	25	116	18	1	13
CPCT02050077T	43	206	153	0	77	83	106	80	55	80	0	29	14	31
CPCT02060050T	36	0	204	245	293	110	111	21	39	62	52	44	25	16
CPCT02020866T	22	175	8	0	116	72	16	32	60	41	50	11	13	20
CPCT02120177T	31	215	129	92	127	82	11	0	0	43	0	22	22	20
CPCT02140095T	42	269	393	0	175	209	12	0	21	62	0	7	3	387
CPCT02120176T	143	191	164	135	18	105	294	74	17	30	205	19	16	34
CPCT02120085T	30	160	68	0	0	80	101	0	46	161	101	37	42	11
CPCT02100138T	49	0	25	125	115	87	221	13	48	60	22	39	0	25
CPCT02080177T	31	188	93	17	132	51	262	0	14	56	43	28	9	20
CPCT02230079T	69	229	277	0	194	131	152	57	89	72	4	26	0	36
CPCT02340107T	138	99	94	171	173	111	231	0	0	50	36	43	0	45
CPCT02120096T	33	0	69	319	258	73	34	4	37	149	0	26	0	11
CPCT02120102T	7	41	36	0	51	0	9	0	2	22	9	0	8	6
CPCT02440023T	41	73	364	109	65	191	100	11	125	70	111	0	20	75
CPCT02160060T	18	252	68	288	2	66	35	56	6	37	0	13	1	36
