NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	151.466	25.732	27.951	22.341	19.705	0.953	1000000.0
2	151.465	25.677	28.71	22.504	19.707	0.952	1000000.0
3	152.708	25.667	28.801	22.492	19.706	0.953	1000000.0
4	152.074	25.818	28.356	22.637	6.636	0.951	1000000.0
5	151.234	25.703	28.38	22.655	19.711	0.951	1000000.0
6	152.251	25.734	28.767	22.547	9.903	0.953	1000000.0
7	150.387	25.896	27.675	22.779	22.974	0.951	1000000.0
8	151.244	25.592	28.491	22.571	39.309	0.953	1000000.0
9	150.312	25.608	28.035	22.426	16.44	0.952	1000000.0
10	149.242	25.793	27.558	22.823	16.438	0.951	1000000.0
11	150.487	25.843	27.672	22.715	9.909	0.951	1000000.0
12	151.063	25.953	28.008	22.797	6.64	0.95	1000000.0
13	151.737	25.697	28.102	22.659	9.903	0.953	1000000.0
14	152.203	25.508	28.84	22.501	13.184	0.954	1000000.0
15	150.216	25.665	27.917	22.689	6.64	0.952	1000000.0
16	152.767	25.736	28.684	22.696	32.777	0.952	1000000.0
17	152.189	25.472	29.05	22.362	19.707	0.953	1000000.0
18	147.547	25.427	27.116	22.341	9.904	0.953	1000000.0
19	151.125	25.499	28.358	22.448	13.172	0.953	1000000.0
20	154.151	25.9	29.071	22.644	13.172	0.952	1000000.0
21	152.934	25.752	28.774	22.641	13.173	0.952	1000000.0
22	152.068	25.735	28.961	22.733	19.715	0.952	1000000.0
23	152.921	25.93	28.771	22.793	6.639	0.951	1000000.0
24	150.511	25.816	27.632	22.617	19.705	0.952	1000000.0
25	152.435	25.752	29.035	22.752	3.375	0.952	1000000.0
26	151.84	25.639	28.436	22.535	26.241	0.952	1000000.0
27	150.469	25.78	27.627	22.646	9.915	0.951	1000000.0
28	153.25	25.876	29.05	22.735	9.908	0.952	1000000.0
29	150.325	25.704	27.786	22.537	29.506	0.953	1000000.0
30	153.521	25.584	29.505	22.63	9.904	0.953	1000000.0
31	151.684	25.521	28.727	22.275	16.438	0.954	1000000.0
32	151.93	25.577	28.671	22.526	3.369	0.953	1000000.0
33	152.466	25.874	28.415	22.741	36.044	0.952	1000000.0
34	151.349	25.758	28.11	22.769	9.904	0.951	1000000.0
35	150.477	25.715	27.744	22.558	9.909	0.952	1000000.0
36	148.923	25.575	27.352	22.421	9.899	0.953	1000000.0
37	150.392	25.621	27.971	22.399	9.904	0.953	1000000.0
38	149.592	25.521	27.289	22.454	6.648	0.952	1000000.0
39	151.098	25.457	28.563	22.454	13.17	0.953	1000000.0
40	152.623	25.484	28.715	22.401	6.639	0.954	1000000.0
41	152.152	25.74	28.149	22.665	9.903	0.952	1000000.0
42	153.73	25.798	28.98	22.779	16.44	0.952	1000000.0
43	150.787	25.497	28.549	22.451	32.774	0.953	1000000.0
44	152.174	25.758	28.337	22.633	16.439	0.952	1000000.0
45	152.419	25.633	28.673	22.592	42.58	0.953	1000000.0
46	150.467	25.347	28.103	22.208	13.171	0.954	1000000.0
47	150.444	25.783	27.933	22.723	9.906	0.951	1000000.0
48	150.816	25.655	28.019	22.545	13.173	0.952	1000000.0
49	152.246	25.724	28.376	22.547	13.194	0.952	1000000.0
50	151.769	25.53	29.034	22.649	26.242	0.953	1000000.0
51	152.002	25.52	28.313	22.34	26.245	0.954	1000000.0
52	151.179	25.7	28.46	22.709	3.374	0.952	1000000.0
53	151.336	25.717	28.158	22.705	13.171	0.952	1000000.0
54	149.732	25.818	27.737	22.764	9.906	0.951	1000000.0
55	152.817	25.682	28.973	22.618	32.775	0.953	1000000.0
56	149.968	25.871	27.677	22.945	9.907	0.95	1000000.0
57	152.94	25.933	28.647	22.927	9.906	0.951	1000000.0
58	153.441	25.725	28.747	22.554	16.442	0.953	1000000.0
59	152.867	25.474	29.226	22.481	22.976	0.953	1000000.0
60	151.588	25.91	28.178	22.81	19.706	0.951	1000000.0
61	150.703	25.669	27.624	22.5	9.903	0.953	1000000.0
62	154.871	25.862	29.439	22.721	22.976	0.952	1000000.0
63	152.495	25.702	28.742	22.549	26.26	0.952	1000000.0
64	153.322	25.939	29.155	22.873	26.246	0.951	1000000.0
65	149.589	25.692	27.258	22.515	9.904	0.952	1000000.0
66	151.687	25.572	28.063	22.394	16.439	0.953	1000000.0
67	150.401	25.747	27.861	22.565	13.168	0.952	1000000.0
68	149.572	25.654	27.583	22.566	13.17	0.952	1000000.0
69	152.933	25.867	28.515	22.757	22.973	0.952	1000000.0
70	153.488	25.804	28.849	22.755	3.376	0.952	1000000.0
71	150.173	25.582	27.731	22.453	9.913	0.952	1000000.0
72	152.902	25.704	29.039	22.565	3.373	0.952	1000000.0
73	153.311	25.785	28.793	22.739	13.176	0.952	1000000.0
74	151.766	25.757	28.181	22.53	13.17	0.952	1000000.0
75	151.996	25.656	28.378	22.395	22.97	0.953	1000000.0
76	149.58	25.686	27.356	22.53	6.658	0.952	1000000.0
77	154.474	26.153	29.182	23.031	9.911	0.95	1000000.0
