Samples	ID83A	ID83B
SP123975	0	2211
SP124044	62	5
SP123972	300	113
SP123850	129	12
SP123902	143	16
SP123884	203	16
SP123964	125	12
SP123995	129	9
SP123846	163	13
SP124003	78	15
SP123876	121	12
SP123878	78	13
SP123842	95	4
SP123900	137	6
SP123978	58	7
SP123897	79	13
SP124013	116	9
SP124021	83	6
SP123852	101	20
SP123998	149	21
SP123967	91	5
SP123988	269	22
SP123984	90	13
SP123858	78	10
SP123890	94	4
SP123950	129	12
SP123886	50	12
SP124033	77	10
SP123892	154	26
SP123840	119	3
SP123969	128	15
SP123953	96	21
SP123955	89	6
SP123882	196	16
SP123894	171	27
SP124017	38	9
SP123856	67	6
SP123854	102	15
SP123888	101	7
SP123870	82	9
SP123958	62	2
SP123844	109	7
SP123872	134	24
SP123874	99	16
SP123836	154	24
SP43633	66	11
SP36498	666	23
SP37516	536	20
SP39997	696	42
SP35617	638	33
SP37636	280	33
SP39907	466	23
SP40736	799	50
SP42154	630	50
SP39594	685	39
SP41453	537	37
SP34452	1261	41
SP42829	721	68
SP37970	972	44
SP34186	955	75
SP37903	1134	51
SP35849	255	24
SP36586	197	147
SP34431	459	12
SP37432	450	27
SP35989	377	25
SP39102	427	25
SP34493	320	30
SP36036	393	29
SP35951	759	65
SP39248	402	22
SP34246	749	16
SP35412	685	24
SP39298	1581	66
SP38044	847	44
SP38271	729	57
SP43201	535	25
SP34191	460	18
SP40047	900	115
SP39349	562	15
SP37369	458	16
SP38759	713	35
SP36218	296	23
SP43510	828	25
SP43770	578	33
SP43651	1253	108
SP106656	1240	67
SP97249	984	174
SP106638	1482	59
SP97161	1216	68
SP43696	1288	69
SP97113	778	50
SP97124	1599	54
SP43808	626	55
SP43822	241	217
SP43514	612	37
SP97258	932	31
SP97194	2070	106
SP109470	1406	122
SP97278	908	36
SP109544	953	92
SP97104	447	57
SP106577	1417	87
SP109457	269	165
SP109478	183	14
SP43688	856	44
SP97243	688	39
SP97269	1245	56
SP113926	304	12
SP106560	624	23
SP43792	1229	64
SP106602	690	44
SP97145	342	18
SP43664	1590	133
SP43532	1057	56
SP102816	675	35
SP102795	1366	127
SP103197	840	43
SP102827	1321	53
SP103233	820	39
SP103507	788	36
