Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP97749	75	0	16	0	21	58	87	14	2	0	11	0	7	17	13	17	0	6	0	19
SP49235	89	14	17	52	23	91	12	0	14	0	7	0	20	0	36	29	0	9	0	14
SP50177	61	0	0	86	13	11	64	91	0	34	16	50	10	0	44	10	0	3	0	8
SP97775	169	48	36	38	117	169	0	83	14	115	99	0	22	0	39	0	0	13	44	0
SP97685	79	8	0	63	110	0	35	17	4	82	33	0	8	0	24	22	0	2	14	0
SP97747	26	6	76	0	31	21	49	11	0	5	11	164	5	158	0	11	0	10	1	0
SP97771	108	16	74	8	68	66	66	63	0	72	16	0	11	0	29	48	0	5	26	0
SP97681	96	37	63	0	40	131	36	104	0	0	33	0	20	45	17	38	13	2	8	12
SP98082	147	19	37	0	22	22	33	51	0	110	9	0	34	58	28	44	0	9	18	0
SP49334	81	4	28	33	31	37	79	48	9	0	15	48	13	0	24	0	5	2	11	16
SP49124	122	32	4	0	512	63	19	132	8	23	3	0	171	0	0	133	0	12	29	17
SP115501	199	33	0	75	1	16	13	0	140	52	10	0	26	0	0	0	0	7	8	0
SP98305	234	41	53	110	14	74	67	16	177	22	55	215	45	0	0	4	0	4	30	0
SP49247	114	33	82	89	38	101	122	18	112	36	15	51	32	0	0	25	0	1	34	0
SP49328	103	18	110	17	41	0	55	0	42	55	0	0	15	0	2	8	62	7	12	21
SP98092	37	17	12	57	23	4	94	0	0	41	7	158	30	0	0	0	14	13	7	37
SP120755	8	2	0	0	10	23	13	20	0	35	0	0	5	0	0	0	0	2	0	21
SP49417	106	28	21	0	35	74	6	73	17	68	20	89	41	0	44	0	0	2	0	50
SP49175	334	10	21	153	10	0	3	21	0	0	6	0	6	3	22	17	13	1	0	22
