NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	133.362	23.073	25.182	16.204	10.671	0.98	1000000.0
2	133.269	23.099	25.216	16.166	10.649	0.98	1000000.0
3	130.793	22.893	24.45	15.993	21.199	0.981	1000000.0
4	130.47	22.773	24.661	16.003	23.836	0.981	1000000.0
5	131.99	23.028	25.177	16.389	31.757	0.98	1000000.0
6	131.911	22.975	25.2	16.294	13.283	0.981	1000000.0
7	132.192	22.862	25.266	16.154	10.659	0.981	1000000.0
8	131.635	22.946	24.763	16.217	2.728	0.981	1000000.0
9	131.415	22.891	24.728	15.929	13.299	0.981	1000000.0
10	132.186	22.91	25.518	16.348	15.939	0.98	1000000.0
11	131.306	23.073	24.566	16.137	21.188	0.981	1000000.0
12	133.236	23.044	25.533	16.297	15.928	0.981	1000000.0
13	132.377	23.066	25.139	16.244	23.845	0.98	1000000.0
14	131.497	22.949	24.695	16.069	15.945	0.981	1000000.0
15	132.252	22.988	25.538	16.34	15.948	0.98	1000000.0
16	133.285	23.011	25.508	16.264	23.833	0.98	1000000.0
17	132.657	23.058	25.337	16.242	29.11	0.98	1000000.0
18	131.922	23.201	24.884	16.447	31.752	0.98	1000000.0
19	131.922	22.916	24.996	16.133	8.017	0.981	1000000.0
20	132.546	22.966	25.169	16.176	21.203	0.981	1000000.0
21	132.634	23.021	25.213	16.168	29.11	0.981	1000000.0
22	132.095	22.978	24.996	16.214	23.837	0.981	1000000.0
23	132.644	22.961	25.232	16.141	23.833	0.981	1000000.0
24	131.369	22.798	25.036	16.151	39.69	0.981	1000000.0
25	132.71	22.778	25.311	16.024	55.499	0.981	1000000.0
26	131.373	22.829	24.876	16.056	2.732	0.981	1000000.0
27	131.94	22.822	25.027	15.942	31.768	0.982	1000000.0
28	132.759	23.068	25.374	16.295	15.946	0.98	1000000.0
29	131.536	22.946	25.017	16.222	8.015	0.98	1000000.0
30	132.124	22.956	24.951	16.165	21.203	0.98	1000000.0
31	132.319	22.98	25.075	16.24	31.746	0.98	1000000.0
32	133.357	23.059	25.52	16.385	2.739	0.981	1000000.0
33	133.895	23.014	25.947	16.41	18.568	0.981	1000000.0
34	132.004	22.809	25.194	16.157	15.927	0.981	1000000.0
35	132.547	22.885	25.249	16.145	15.928	0.98	1000000.0
36	132.97	23.012	25.556	16.22	15.918	0.981	1000000.0
37	131.276	23.019	24.938	16.292	13.288	0.98	1000000.0
38	132.441	22.991	25.234	16.276	50.246	0.979	1000000.0
39	131.045	22.834	24.788	16.115	47.578	0.981	1000000.0
40	132.753	22.855	25.482	16.123	10.641	0.981	1000000.0
41	129.969	22.869	24.342	16.1	13.295	0.98	1000000.0
42	132.281	23.011	25.086	16.273	23.838	0.981	1000000.0
43	131.085	22.788	24.903	16.086	29.116	0.981	1000000.0
44	132.24	22.952	25.125	16.229	5.382	0.98	1000000.0
45	131.541	22.792	24.755	15.971	26.477	0.981	1000000.0
46	131.637	23.165	24.689	16.27	23.872	0.98	1000000.0
