Samples	ID83A	ID83B	ID83C	ID83D
SP97749	223	95	7	38
SP49235	231	125	24	47
SP50177	351	111	15	24
SP97775	592	207	67	140
SP97685	215	100	18	168
SP97747	367	129	26	63
SP97771	445	126	33	72
SP97681	498	108	56	33
SP98082	330	189	39	83
SP49334	280	139	20	45
SP49124	234	140	43	863
SP115501	99	390	50	41
SP98305	429	610	80	42
SP49247	532	280	60	31
SP49328	312	183	36	37
SP98092	260	159	42	90
SP120755	104	6	6	23
SP49417	343	197	49	85
SP49175	166	431	29	16
SP49223	45	136	12	92
SP49187	318	71	28	0
SP49157	546	133	31	0
SP49379	286	309	28	28
SP49541	397	260	75	102
SP98164	638	203	41	0
SP49481	117	0	12	53
SP98078	548	103	24	110
SP106677	249	158	43	48
SP106743	104	95	24	44
SP98359	216	312	63	111
SP98192	14	377	17	34
SP98053	431	248	49	33
SP106631	309	64	18	34
SP49551	314	142	26	0
SP49651	15	166	5	612
SP98265	334	344	60	110
SP98297	617	88	41	8
SP98060	85	0	5	0
SP98289	450	182	33	93
SP115498	519	310	93	0
SP98096	377	277	52	29
SP49114	793	110	39	154
SP98090	748	997	134	0
SP49286	406	123	27	47
SP49469	216	241	75	150
SP49205	66	172	39	93
SP98327	387	155	28	40
SP49449	9	323	29	34
SP49391	159	88	12	73
SP49531	513	454	109	19
SP49322	175	358	65	35
SP49433	164	158	27	31
SP109384	154	104	23	63
SP98065	366	121	56	72
SP49591	179	121	59	40
SP49385	382	102	23	124
SP98313	64	472	47	47
SP49119	324	234	44	16
SP109301	493	200	58	0
SP115830	175	308	47	44
SP49229	0	844	23	32
SP98853	549	275	43	63
SP98855	191	223	17	52
SP98859	129	209	27	75
SP98865	93	109	37	44
SP98879	385	73	33	54
SP98871	212	135	25	33
SP98867	394	280	43	98
SP98861	528	101	55	89
SP98877	410	95	23	0
SP98889	417	249	52	95
SP98887	565	278	56	28
SP98875	447	261	32	69
SP98851	50	36	12	22
SP98833	251	42	20	41
SP98873	521	178	34	20
SP98883	307	346	54	34
SP98849	191	59	8	49
SP98869	118	263	52	58
SP98893	429	374	71	20
SP98847	279	150	32	16
SP98881	410	178	52	178
SP98841	275	81	22	0
SP98845	369	0	8845	0
SP98839	367	71	39	60
SP98843	301	100	21	8
SP98863	76	118	9	25
SP98891	374	128	47	55
SP98885	445	162	53	53
SP107047	618	143	32	14
SP107050	361	153	21	0
SP99261	387	129	37	48
SP107052	230	184	32	16
SP99269	354	107	22	1
SP99271	263	20	8	0
SP107056	548	323	51	4
SP107060	280	211	41	60
SP99279	365	179	22	20
SP107063	226	81	19	32
SP107068	237	274	41	0
SP107071	573	118	35	50
SP107073	42	6	1	0
SP98896	546	330	54	50
SP99003	252	442	61	87
SP107076	584	135	48	963
SP107078	163	85	25	53
SP107080	260	133	42	347
SP98898	427	231	29	19
SP107084	414	150	33	34
SP107088	112	63	25	62
SP107091	368	213	50	24
SP107094	121	67	16	0
SP112224	331	129	42	71
SP107097	303	161	29	41
SP107101	841	271	64	42
SP98900	315	187	30	28
SP107104	265	85	17	37
SP107109	104	135	21	32
SP107111	341	261	45	20
SP107115	9	3	5	0
SP98902	485	165	32	181
SP107119	368	315	40	5
SP98904	276	20	23	0
SP98909	675	147	32	0
SP107121	651	249	59	40
SP107123	311	217	25	47
SP98907	673	192	48	0
SP107132	73	18	9	0
SP107136	449	213	46	165
SP107141	141	65	19	31
SP98913	438	159	44	69
SP107146	320	198	40	36
SP107150	366	99	26	2
SP98915	172	209	34	11
SP107152	452	198	26	0
SP107155	245	151	20	19
SP112125	314	60	14	10
SP98921	238	95	19	37
SP112130	326	139	29	2
SP112133	417	103	34	102
SP98925	126	134	26	57
SP112138	111	218	91	44
SP112141	595	116	43	93
SP98927	434	176	35	41
SP112147	358	124	34	24
SP112152	150	207	77	23
SP112156	234	94	16	0
SP98933	300	148	38	8
SP112160	292	215	37	25
SP98937	132	16	2	0
SP112165	250	180	24	36
SP112168	638	201	27	0
SP98941	673	205	24	0
SP112170	686	206	48	0
SP112174	163	52	23	123
SP98945	126	111	18	79
SP112178	746	159	45	135
SP112180	299	257	49	70
SP98949	628	242	54	0
SP112182	349	89	26	0
SP98953	209	815	77	105
SP112186	364	162	32	15
SP98955	999	229	65	234
SP112188	253	57	15	0
SP112190	724	190	39	120
SP112192	444	98	66	75
SP112194	446	202	47	4
SP98959	131	116	12	33
SP112196	430	230	60	70
SP112198	373	60	26	0
SP112201	157	38	16	1
SP98965	355	282	51	28
SP112205	356	189	38	54
SP112208	389	323	73	95
SP98967	259	113	32	0
SP112210	495	311	49	67
SP112211	351	329	63	133
